信号时间,方向,突破基准价,入场KAMA,出场时间,出场价,实际涨跌幅,盘中最大涨跌幅,持仓K线数,持仓小时,最大回撤1,最大回撤1时间,最大回撤2,最大回撤2时间,最大回撤3,最大回撤3时间,KAMA止损出场,峰值到平仓回撤,触发保本切换,出场类型
2019-09-23 20:00,short,9878.51,9972.14340991178,2019-09-26 04:00,8435.32660184876,0.14609322642293635,0.17628367031060352,14,56.0,0.01193240600362527,2019-09-26 04:00,0.006196503211472373,2019-09-25 08:00,0.005341589209810876,2019-09-24 12:00,True,0.016839490461178646,True,kama_trail
2019-09-26 20:00,short,8223.71,8404.07001784498,2019-09-28 04:00,8202.830030141613,0.0025389963724871353,0.06360146454580708,8,32.0,0.023543384429395832,2019-09-28 04:00,0.004748778690537973,2019-09-27 12:00,0.0,2019-09-27 00:00,True,0.027518555097711273,True,kama_trail
2019-10-09 20:00,long,8242.52,8119.085813740536,2019-10-10 20:00,8424.971547678519,0.022135408549632658,0.0512561692297986,6,24.0,0.01006123370884913,2019-10-10 16:00,0.004110130509761123,2019-10-10 08:00,0.0019355508216180473,2019-10-10 04:00,True,0.02163425979228172,True,kama_trail
2019-10-23 04:00,short,8160.0,8185.8721262139115,2019-10-25 12:00,7458.955888254504,0.08591226859626172,0.12098529411764704,14,56.0,0.006607996247726405,2019-10-25 00:00,0.0065377177319581,2019-10-24 00:00,0.0013744800879667242,2019-10-23 16:00,True,0.0068221194784961504,True,kama_trail
2019-10-25 16:00,long,7495.81,7458.954742951922,2019-10-26 16:00,9046.348312358745,0.20685400408478127,0.3885730828289403,6,24.0,0.03482459084791795,2019-10-26 16:00,0.00784998959539139,2019-10-26 12:00,0.0,2019-10-25 20:00,True,0.054033034124110244,True,kama_trail
2019-11-21 16:00,short,8037.5,8121.547052779846,2019-11-22 16:00,7668.966019804903,0.0458518171315828,0.1390357698289269,6,24.0,1.53856714425492e-05,2019-11-22 00:00,0.0,2019-11-21 20:00,0.0,,True,0.0,True,kama_trail
2019-11-24 20:00,short,7079.13,7259.034366485867,2019-11-25 20:00,6974.711585432554,0.014750176161116724,0.08036863286872829,6,24.0,0.07776648446190912,2019-11-25 20:00,0.027896268670652275,2019-11-25 16:00,0.0008163199974389819,2019-11-25 12:00,True,0.04407230057721312,True,kama_trail
2019-11-27 20:00,long,7221.77,7021.0161306736845,2019-11-29 04:00,7384.038843754104,0.022469400680733907,0.06195572553542959,8,32.0,0.025520367936925102,2019-11-29 04:00,0.011269646521270157,2019-11-28 16:00,0.010184196052715162,2019-11-28 08:00,True,0.029692661793153198,True,kama_trail
2019-12-17 00:00,short,7037.03,7124.531372588965,2019-12-18 20:00,6707.452307188502,0.04683477160272124,0.08668856037277087,11,44.0,0.027814514518940743,2019-12-18 20:00,0.00893654330322309,2019-12-18 08:00,0.007940288805956684,2019-12-17 16:00,True,0.0,True,kama_trail
2019-12-19 00:00,long,6868.29,6709.0860678905065,2019-12-24 00:00,7461.2379598165335,0.08633123525892668,0.11978381809737214,30,120.0,0.025756309911177503,2019-12-19 12:00,0.016033110544367162,2019-12-19 08:00,0.0,2019-12-19 04:00,True,0.0,True,kama_trail
2020-01-06 08:00,long,7495.0,7352.317706151377,2020-01-09 00:00,8141.706797650372,0.0862850964176614,0.12987591727818545,16,64.0,0.04441722413644178,2020-01-09 00:00,0.01655092621894565,2020-01-07 20:00,0.003193633952254632,2020-01-06 20:00,True,0.02322335930522171,True,kama_trail
2020-01-14 08:00,long,8200.0,8034.3151067284625,2020-01-15 12:00,8671.819870510639,0.05753900859885839,0.08762195121951219,7,28.0,0.02191614730878185,2020-01-15 12:00,0.010718413597733727,2020-01-15 08:00,0.0,2020-01-14 12:00,True,0.006711039858306891,True,kama_trail
2020-02-05 16:00,long,9307.78,9256.431061841098,2020-02-07 04:00,9675.071959795509,0.0394607478685044,0.06190735062496098,9,36.0,0.005300930038465796,2020-02-06 04:00,0.0,2020-02-05 20:00,0.0,,True,0.012760855234011251,True,kama_trail
2020-02-15 20:00,short,10203.98,10262.804218936784,2020-02-17 04:00,9988.03994279262,0.021162336383193533,0.05657988353564003,8,32.0,0.015610581287391925,2020-02-17 04:00,0.010072513720098474,2020-02-16 08:00,0.0009397458211301884,2020-02-16 04:00,True,0.023274831110419343,True,kama_trail
2020-02-20 04:00,short,10026.08,10048.034504938698,2020-02-23 08:00,9743.159809488752,0.028218425397687603,0.06418161434977576,19,76.0,0.022557193356899867,2020-02-23 08:00,0.016097035759544978,2020-02-21 20:00,0.014555363931739593,2020-02-21 08:00,True,0.01910056009832788,True,kama_trail
2020-02-25 20:00,short,9487.38,9740.64661426037,2020-02-27 20:00,8873.346079474564,0.06472112643590064,0.10049982186862966,12,48.0,0.010327237747402978,2020-02-27 20:00,0.007192113603525536,2020-02-27 12:00,0.0012630957049652532,2020-02-26 16:00,True,0.014407877065709429,True,kama_trail
2020-03-08 00:00,short,9016.0,9034.31800550849,2020-03-10 04:00,7883.891550540815,0.12556659820975877,0.15314884649511978,13,52.0,0.015677277693259016,2020-03-10 04:00,0.007419564533058656,2020-03-10 00:00,0.0031430303976368555,2020-03-09 08:00,True,0.014282483443483034,True,kama_trail
2020-03-12 12:00,short,7575.0,7880.554426161416,2020-03-13 20:00,5681.101780749078,0.25001956689781146,0.5218732673267327,8,32.0,0.06127381359318658,2020-03-13 16:00,0.05866147987309049,2020-03-13 12:00,0.03758563746046113,2020-03-13 08:00,True,0.09260734995663254,True,kama_trail
2020-03-16 12:00,short,5169.6,5469.0271493017835,2020-03-17 08:00,5169.6,0.0,0.1462356855462706,5,20.0,0.13136795020921868,2020-03-17 08:00,0.10205831162793105,2020-03-16 20:00,0.0,2020-03-16 16:00,True,0.11919877746827608,True,breakeven
2020-03-19 16:00,long,5448.07,5277.7977263541825,2020-03-21 00:00,6270.536033162732,0.15096465962491892,0.2685226144304314,8,32.0,0.07074526416993396,2020-03-21 00:00,0.00898902469082093,2020-03-20 08:00,0.007727661548721872,2020-03-20 04:00,True,0.05801132195190833,True,kama_trail
2020-03-28 04:00,short,6566.0,6580.507513277345,2020-03-30 12:00,6125.554758869065,0.06707968948080031,0.10904660371611331,14,56.0,0.049934327765779524,2020-03-30 12:00,0.017253949637045414,2020-03-30 08:00,0.01713160915774807,2020-03-28 16:00,True,0.020258533921256823,True,kama_trail
2020-04-02 20:00,long,6750.0,6375.624151463547,2020-04-03 12:00,6750.0,0.0,0.08,4,16.0,0.0030821625723117156,2020-04-03 08:00,0.0012925672237891134,2020-04-03 04:00,0.0,2020-04-03 00:00,True,0.02541008577835079,True,breakeven
2020-04-06 12:00,long,6887.2,6789.390183584064,2020-04-07 20:00,7314.580011634267,0.062054247246234644,0.08273318620048789,8,32.0,0.009104336043360377,2020-04-07 20:00,0.0010060430837609256,2020-04-07 08:00,0.0,2020-04-06 16:00,True,0.0,True,kama_trail
2020-04-10 12:00,short,7105.98,7295.711310267938,2020-04-12 20:00,6950.619174774228,0.02186339185105669,0.051362373662745965,14,56.0,0.03323837422484762,2020-04-12 20:00,0.018649324205439445,2020-04-11 08:00,0.017592282927104512,2020-04-11 00:00,True,0.026468026825855247,True,kama_trail
2020-04-23 20:00,long,7178.0,7045.191051802019,2020-04-24 20:00,7420.741876155138,0.03381748065688744,0.061437726386179996,6,24.0,0.009742804241265156,2020-04-24 16:00,0.00501259797501676,2020-04-24 04:00,0.0,2020-04-24 00:00,True,0.01927786998997724,True,kama_trail
2020-04-29 08:00,long,7780.0,7614.071152600256,2020-04-30 16:00,8955.915795638894,0.15114598915667013,0.21847943444730084,8,32.0,0.049521654239240605,2020-04-30 16:00,0.013619126523340222,2020-04-30 12:00,0.0,2020-04-29 12:00,True,0.02433458408668942,True,kama_trail
2020-05-07 20:00,long,9405.0,9116.841209468925,2020-05-09 08:00,9758.203405156213,0.03755485434941129,0.07177033492822966,9,36.0,0.018760380190095075,2020-05-09 04:00,0.017656828414207064,2020-05-08 12:00,0.005518759379689835,2020-05-08 08:00,True,0.02369150523699718,True,kama_trail
2020-05-10 08:00,short,9528.23,9749.303873933746,2020-05-11 16:00,8890.318027868541,0.06694968237872703,0.13415188340331832,8,32.0,0.040118331648790174,2020-05-11 16:00,0.020824551448975416,2020-05-11 04:00,0.0,2020-05-10 12:00,True,0.043938588770844465,True,kama_trail
2020-05-13 16:00,long,8981.0,8870.799084936956,2020-05-15 08:00,9635.846999986627,0.07291470882826262,0.10789444382585459,10,40.0,0.03226795275268722,2020-05-15 08:00,0.008829394504489687,2020-05-15 00:00,0.0,2020-05-13 20:00,True,0.015424142724217594,True,kama_trail
2020-05-20 20:00,short,9555.0,9666.779996427142,2020-05-22 20:00,9196.71266638549,0.03749736615536467,0.07773940345368908,12,48.0,0.022541856459103185,2020-05-22 20:00,0.01685129529940675,2020-05-22 16:00,0.008478521047071244,2020-05-22 12:00,True,0.022314785057446815,True,kama_trail
2020-05-27 16:00,long,9011.82,8927.049359065526,2020-05-29 16:00,9412.175402038987,0.04442558795437408,0.06767001560173194,12,48.0,0.01813975311376978,2020-05-29 16:00,0.005783946856657423,2020-05-29 08:00,0.005558140849725679,2020-05-28 12:00,True,0.016449461049116314,True,kama_trail
2020-06-02 04:00,long,9615.0,9472.224356308587,2020-06-02 20:00,9796.762879738393,0.018904095656619154,0.06732189287571495,4,16.0,0.06501419577829902,2020-06-02 20:00,0.00045130230835696127,2020-06-02 16:00,0.0,2020-06-02 08:00,True,0.03253792077635915,True,kama_trail
2020-06-11 20:00,short,9681.21,9792.747454097902,2020-06-14 00:00,9494.511243975678,0.019284650991386564,0.06467579982254279,13,52.0,0.02087979540656396,2020-06-12 16:00,0.015434746177012161,2020-06-12 12:00,0.008090722393719416,2020-06-12 08:00,True,0.02280067276902069,True,kama_trail
2020-06-24 12:00,short,9585.0,9612.040510664196,2020-06-25 16:00,9325.854293488575,0.027036589098740176,0.0605112154407929,7,28.0,0.015248725218090679,2020-06-25 16:00,0.006930245721350385,2020-06-25 12:00,0.004671930994207643,2020-06-25 00:00,True,0.02425561094671127,True,kama_trail
2020-07-26 00:00,long,9650.0,9517.798549191712,2020-07-28 16:00,10634.693299253087,0.10204075639928367,0.1904663212435233,16,64.0,0.013606599816430351,2020-07-28 12:00,0.010627387562006003,2020-07-27 12:00,0.010285445153144248,2020-07-27 00:00,True,0.037373497249797015,True,kama_trail
2020-07-31 16:00,long,11195.52,10947.759710007376,2020-08-02 12:00,11760.247668706172,0.050442290193414084,0.08563514691590918,11,44.0,0.05809796938571021,2020-08-02 12:00,0.002526629120963684,2020-08-01 00:00,0.0,2020-07-31 20:00,True,0.0,True,kama_trail
2020-09-02 16:00,short,11730.02,11734.32122902387,2020-09-05 00:00,10509.208535917682,0.10407582119061337,0.1578317854530513,14,56.0,0.03208133367770462,2020-09-05 00:00,0.021485161003561817,2020-09-04 20:00,0.021035426189432205,2020-09-04 16:00,True,0.007799686878182622,True,kama_trail
2020-10-08 20:00,long,10675.0,10666.485368066638,2020-10-12 04:00,11294.452317235606,0.05802832011574761,0.07672131147540984,20,80.0,0.010381765802643916,2020-10-11 04:00,0.008413882775153215,2020-10-10 16:00,0.004440887563981096,2020-10-10 00:00,True,0.010411352631705777,True,kama_trail
2020-10-19 20:00,long,11543.0,11419.38266006708,2020-10-23 08:00,12886.481662280972,0.11638929760729205,0.14701550723382137,21,84.0,0.008599184374132221,2020-10-23 08:00,0.007902284012524265,2020-10-23 04:00,0.005575149245041654,2020-10-22 08:00,True,0.014204859462432627,True,kama_trail
2020-11-05 00:00,long,14070.0,13619.190010264021,2020-11-06 16:00,15319.18968510987,0.08878391507532836,0.13604832977967313,10,40.0,0.009531071292413273,2020-11-06 16:00,0.009402035419504753,2020-11-06 08:00,0.0,2020-11-05 04:00,True,0.026611406461439193,True,kama_trail
2020-11-08 00:00,short,15177.0,15445.372692480052,2020-11-08 16:00,15177.0,0.0,0.05449034723594914,4,16.0,0.022375248395650617,2020-11-08 16:00,0.00936659270067723,2020-11-08 08:00,0.0,2020-11-08 04:00,True,0.023236476246952617,True,breakeven
2020-11-16 12:00,long,16161.23,15990.456943990745,2020-11-18 12:00,17465.56035744559,0.08070736926865031,0.14595238109970593,12,48.0,0.012146265427223253,2020-11-17 08:00,0.004129622951357051,2020-11-17 04:00,0.0,2020-11-16 16:00,True,0.0,True,kama_trail
2020-11-26 08:00,short,18509.12,18799.913863013746,2020-11-28 04:00,17079.065322503753,0.07726216467861498,0.12578231704154488,11,44.0,0.030697138152728648,2020-11-28 04:00,0.030194816449908304,2020-11-27 04:00,0.0,2020-11-26 12:00,True,0.03304427448732409,True,kama_trail
2020-11-28 20:00,long,17274.97,17084.529935539,2020-12-01 16:00,19243.066509973207,0.11392763692053912,0.15519737516186707,17,68.0,0.014517748478701869,2020-12-01 08:00,0.005574990725186473,2020-11-29 04:00,0.0,2020-11-29 00:00,True,0.0,True,kama_trail
2020-12-08 16:00,short,18908.66,19215.158830493627,2020-12-10 04:00,18525.90022808357,0.020242564619408758,0.066565266920025,9,36.0,0.030866062411748184,2020-12-10 04:00,0.021165343026344922,2020-12-09 20:00,0.015678087724704234,2020-12-09 16:00,True,0.015657011238993143,True,kama_trail
2020-12-16 16:00,long,19549.99,19177.557448241318,2020-12-18 00:00,22495.975160047114,0.15068985508673466,0.22189525416637038,8,32.0,0.01874307231856966,2020-12-18 00:00,0.0,2020-12-16 20:00,0.0,,True,0.0365072681744194,True,kama_trail
2020-12-21 16:00,short,23076.25,23318.183581010922,2020-12-22 00:00,23268.252473235247,-0.008320349850397995,0.050105628080819024,2,8.0,0.0,2020-12-21 20:00,0.0,,0.0,,True,0.01883478244614008,False,kama_stop
2020-12-25 04:00,long,23637.99,23274.281674179983,2020-12-27 20:00,26775.196951366157,0.13271885432586084,0.2039873102577672,16,64.0,0.02324505806285903,2020-12-25 20:00,0.0,2020-12-25 08:00,0.0,,True,0.03265826619075529,True,kama_trail
2020-12-30 04:00,long,27188.0,26908.644261019832,2020-12-31 20:00,28370.924911397502,0.0435090816315103,0.08050242754156248,10,40.0,0.01984641341783248,2020-12-30 16:00,0.0,2020-12-30 08:00,0.0,,True,0.028060126365279138,True,kama_trail
