序号,信号时间,方向,成交价,ATR,ATR%,EMA70偏离度%,前3K涨幅%,是否确认,出场时间,出场价,持仓K数,R值,出场原因,年份
321,2024-05-17 12:00,做多,65848.43,894.7,1.365,4.45,-0.38,确认,2024-05-20 00:00,66466.2,15,-0.24,KAMA跟踪止损,2024
322,2024-05-17 00:00,做空,65357.3,908.4,1.381,5.05,0.24,弱突破,2024-05-17 00:00,65158.0,0,0.219,弱突破平仓,2024
323,2024-05-15 20:00,做多,62956.7,799.51,1.28,-0.19,1.45,确认,2024-05-16 20:00,65673.78,6,3.015,KAMA跟踪止损,2024
324,2024-05-15 16:00,做多,62245.73,786.31,1.265,-0.64,0.95,弱突破,2024-05-15 16:00,62445.7,0,0.254,弱突破平仓,2024
325,2024-05-15 12:00,做多,61998.0,803.69,1.298,-1.02,0.28,弱突破,2024-05-15 12:00,62161.81,0,0.204,弱突破平仓,2024
326,2024-05-14 12:00,做空,62383.22,819.22,1.311,0.02,0.81,弱突破,2024-05-14 12:00,62005.39,0,0.461,弱突破平仓,2024
327,2024-05-13 16:00,做多,62429.91,839.36,1.347,-0.28,1.49,弱突破,2024-05-13 16:00,62706.08,0,0.329,弱突破平仓,2024
328,2024-05-10 20:00,做空,62638.3,932.32,1.473,1.16,-0.36,确认,2024-05-13 00:00,61574.41,13,0.176,KAMA跟踪止损,2024
329,2024-05-10 04:00,做多,62633.9,989.66,1.585,-0.27,1.96,弱突破,2024-05-10 04:00,63050.1,0,0.421,弱突破平仓,2024
330,2024-05-10 00:00,做多,62254.0,993.39,1.599,-0.76,0.76,弱突破,2024-05-10 00:00,62430.0,0,0.177,弱突破平仓,2024
331,2024-05-09 04:00,做空,61758.24,997.89,1.606,-0.71,0.07,确认,2024-05-09 20:00,61758.24,4,0.0,KAMA跟踪止损,2024
332,2024-05-08 04:00,做空,62769.25,1054.72,1.673,0.65,0.96,弱突破,2024-05-08 04:00,62295.9,0,0.449,弱突破平仓,2024
333,2024-05-08 00:00,做空,63063.03,1052.03,1.651,1.73,-0.8,弱突破,2024-05-08 00:00,63038.59,0,0.023,弱突破平仓,2024
334,2024-05-06 20:00,做空,63672.1,1065.34,1.66,2.45,-0.29,弱突破,2024-05-06 20:00,63610.13,0,0.058,弱突破平仓,2024
335,2024-05-05 20:00,做多,64168.9,1102.94,1.728,1.94,-0.04,弱突破,2024-05-05 20:00,64401.3,0,0.211,弱突破平仓,2024
336,2024-05-04 04:00,做多,62135.6,1233.07,1.987,-0.8,4.89,确认,2024-05-05 08:00,63166.09,7,0.836,KAMA跟踪止损,2024
337,2024-04-30 04:00,做多,63194.39,821.2,1.304,0.21,0.95,确认,2024-04-30 16:00,62373.19,3,-1.0,前3K止损,2024
338,2024-04-29 08:00,做空,62769.31,812.0,1.287,0.46,0.59,确认,2024-04-30 00:00,62769.31,4,0.0,KAMA跟踪止损,2024
339,2024-04-29 04:00,做空,63343.32,804.87,1.263,1.45,0.27,弱突破,2024-04-29 04:00,63088.4,0,0.317,弱突破平仓,2024
340,2024-04-28 08:00,做多,63616.9,881.03,1.389,1.01,0.94,弱突破,2024-04-28 08:00,63989.9,0,0.423,弱突破平仓,2024
341,2024-04-27 08:00,做空,63300.4,953.49,1.496,1.56,0.72,弱突破,2024-04-27 08:00,63061.9,0,0.25,弱突破平仓,2024
342,2024-04-26 20:00,做空,63878.24,964.26,1.502,2.3,0.41,弱突破,2024-04-26 20:00,63481.2,0,0.412,弱突破平仓,2024
343,2024-04-24 20:00,做空,66178.06,990.04,1.488,6.15,-0.25,确认,2024-04-26 00:00,64456.72,7,1.238,KAMA跟踪止损,2024
344,2024-04-23 00:00,做多,66448.9,1229.82,1.864,5.47,0.43,弱突破,2024-04-23 00:00,66505.2,0,0.046,弱突破平仓,2024
345,2024-04-22 08:00,做多,65358.0,1293.68,1.993,4.0,-0.46,弱突破,2024-04-22 08:00,65679.9,0,0.249,弱突破平仓,2024
346,2024-04-22 00:00,做空,64754.61,1345.0,2.069,4.16,0.2,弱突破,2024-04-22 00:00,64509.05,0,0.183,弱突破平仓,2024
347,2024-04-20 20:00,做多,64232.2,1589.32,2.495,2.15,-0.16,弱突破,2024-04-20 20:00,64782.59,0,0.346,弱突破平仓,2024
348,2024-04-19 12:00,做多,63846.0,1717.75,2.781,-0.82,-2.7,弱突破,2024-04-19 12:00,64534.1,0,0.401,弱突破平仓,2024
349,2024-04-18 20:00,做多,63048.9,1615.36,2.582,0.56,2.16,弱突破,2024-04-18 20:00,63474.0,0,0.263,弱突破平仓,2024
350,2024-04-17 20:00,做空,62526.2,1543.05,2.466,0.6,1.9,确认,2024-04-18 16:00,62526.2,5,0.0,KAMA跟踪止损,2024
351,2024-04-17 04:00,做多,63643.6,1627.58,2.596,0.77,-1.24,弱突破,2024-04-17 04:00,63775.63,0,0.081,弱突破平仓,2024
352,2024-04-16 00:00,做空,63813.99,1585.96,2.457,3.81,0.86,弱突破,2024-04-16 00:00,63268.96,0,0.344,弱突破平仓,2024
353,2024-04-15 20:00,做空,64655.69,1534.92,2.331,5.91,-0.34,弱突破,2024-04-15 20:00,64542.88,0,0.074,弱突破平仓,2024
354,2024-04-15 12:00,做多,65838.6,1545.56,2.374,4.71,1.46,弱突破,2024-04-15 12:00,66235.27,0,0.257,弱突破平仓,2024
355,2024-04-15 04:00,做多,64861.9,1530.76,2.386,3.23,-0.48,弱突破,2024-04-15 04:00,65624.38,0,0.498,弱突破平仓,2024
356,2024-04-12 20:00,做空,70040.58,1061.1,1.496,14.47,-1.29,确认,2024-04-14 04:00,61635.71,8,12.835,止盈,2024
357,2024-04-11 00:00,做多,69561.19,1092.16,1.59,11.52,-0.73,弱突破,2024-04-11 00:00,70101.23,0,0.494,弱突破平仓,2024
358,2024-04-08 12:00,做多,70341.6,997.19,1.435,13.7,-0.12,弱突破,2024-04-08 12:00,70726.48,0,0.386,弱突破平仓,2024
359,2024-04-05 12:00,做空,67334.47,1161.65,1.711,12.56,-0.37,弱突破,2024-04-05 12:00,66930.45,0,0.348,弱突破平仓,2024
360,2024-02-26 20:00,做多,51836.63,491.91,0.962,12.49,-1.22,确认,2024-02-29 00:00,63240.69,13,40.888,止盈,2024
361,2024-02-22 04:00,做多,51806.17,694.19,1.359,14.95,-0.99,弱突破,2024-02-22 04:00,51877.9,0,0.103,弱突破平仓,2024
362,2024-02-12 20:00,做多,48818.91,566.31,1.182,13.27,-0.81,确认,2024-02-13 20:00,48842.52,6,-1.889,KAMA跟踪止损,2024
363,2024-02-11 00:00,做多,47417.6,542.35,1.146,12.99,-0.06,弱突破,2024-02-11 00:00,47520.54,0,0.19,弱突破平仓,2024
364,2024-02-08 00:00,做多,43310.2,432.6,1.005,3.84,0.63,确认,2024-02-10 16:00,47049.9,16,14.941,KAMA跟踪止损,2024
365,2024-02-07 00:00,做多,43254.45,460.1,1.064,4.48,0.94,弱突破,2024-02-07 00:00,43267.61,0,0.029,弱突破平仓,2024
366,2024-02-06 20:00,做多,43100.4,452.19,1.056,3.49,0.3,弱突破,2024-02-06 20:00,43232.22,0,0.292,弱突破平仓,2024
367,2024-02-05 16:00,做多,43164.8,453.71,1.054,4.19,1.02,弱突破,2024-02-05 16:00,43188.1,0,0.051,弱突破平仓,2024
368,2024-02-05 12:00,做多,42976.09,449.41,1.052,3.34,-0.5,弱突破,2024-02-05 12:00,43059.0,0,0.184,弱突破平仓,2024
369,2024-02-05 00:00,做空,42708.9,435.51,1.015,3.96,0.21,弱突破,2024-02-05 00:00,42623.9,0,0.195,弱突破平仓,2024
370,2024-02-04 12:00,做空,42876.73,454.31,1.056,4.18,0.19,弱突破,2024-02-04 12:00,42824.57,0,0.115,弱突破平仓,2024
371,2024-02-02 00:00,做多,42931.0,586.92,1.381,3.3,1.19,弱突破,2024-02-02 00:00,43206.2,0,0.469,弱突破平仓,2024
372,2024-02-01 08:00,做空,42278.07,578.09,1.358,3.59,0.17,弱突破,2024-02-01 08:00,42002.52,0,0.477,弱突破平仓,2024
373,2024-01-31 20:00,做多,43089.3,523.47,1.228,3.77,-0.68,弱突破,2024-01-31 20:00,43348.2,0,0.495,弱突破平仓,2024
374,2024-01-31 16:00,做空,42664.41,513.26,1.193,4.75,1.11,弱突破,2024-01-31 16:00,42635.81,0,0.056,弱突破平仓,2024
375,2024-01-30 00:00,做多,42628.46,509.43,1.195,4.0,0.74,确认,2024-01-31 04:00,42812.65,7,-0.994,KAMA跟踪止损,2024
376,2024-01-29 20:00,做多,42492.9,492.52,1.166,3.03,0.5,弱突破,2024-01-29 20:00,42628.46,0,0.275,弱突破平仓,2024
377,2024-01-29 00:00,做空,42147.57,493.97,1.169,3.23,-0.07,确认,2024-01-29 16:00,41958.32,4,0.383,KAMA跟踪止损,2024
378,2024-01-28 12:00,做多,42229.69,501.1,1.187,3.15,1.0,弱突破,2024-01-28 12:00,42369.9,0,0.28,弱突破平仓,2024
379,2024-01-28 08:00,做多,42182.75,511.24,1.214,2.96,0.86,弱突破,2024-01-28 08:00,42213.69,0,0.061,弱突破平仓,2024
380,2024-01-28 04:00,做多,41975.7,522.99,1.248,2.45,0.47,弱突破,2024-01-28 04:00,42102.2,0,0.242,弱突破平仓,2024
381,2024-01-28 00:00,做多,41880.0,537.84,1.287,2.21,-0.02,弱突破,2024-01-28 00:00,41894.6,0,0.027,弱突破平仓,2024
382,2024-01-27 00:00,做多,41574.53,597.25,1.442,1.35,3.37,确认,2024-01-27 16:00,41574.53,4,0.0,KAMA跟踪止损,2024
383,2024-01-26 20:00,做多,41332.0,593.38,1.438,1.0,3.29,弱突破,2024-01-26 20:00,41408.81,0,0.129,弱突破平仓,2024
384,2024-01-22 08:00,做空,41501.6,471.27,1.133,1.55,0.34,确认,2024-01-24 04:00,39609.17,11,6.473,KAMA跟踪止损,2024
385,2024-01-19 00:00,做空,42363.95,608.61,1.428,4.25,-0.05,确认,2024-01-20 04:00,42021.43,7,-0.602,KAMA跟踪止损,2024
386,2024-01-18 12:00,做多,42865.86,636.84,1.495,4.19,0.27,弱突破,2024-01-18 12:00,42915.94,0,0.079,弱突破平仓,2024
387,2024-01-17 20:00,做空,42565.8,683.19,1.601,4.43,1.07,弱突破,2024-01-17 20:00,42480.69,0,0.125,弱突破平仓,2024
388,2024-01-17 12:00,做空,42837.68,725.49,1.693,4.84,0.94,弱突破,2024-01-17 12:00,42657.93,0,0.248,弱突破平仓,2024
389,2024-01-16 20:00,做多,43155.38,741.74,1.729,5.11,0.89,弱突破,2024-01-16 20:00,43254.02,0,0.133,弱突破平仓,2024
390,2024-01-16 00:00,做多,42960.45,783.48,1.853,3.76,-0.68,弱突破,2024-01-16 00:00,42990.82,0,0.039,弱突破平仓,2024
391,2024-01-15 04:00,做空,42638.78,825.08,1.934,4.83,0.81,确认,2024-01-15 20:00,42638.78,4,0.0,KAMA跟踪止损,2024
392,2024-01-08 16:00,做多,44268.17,644.54,1.466,9.89,-0.6,确认,2024-01-09 20:00,45843.43,7,0.649,KAMA跟踪止损,2024
393,2024-01-01 04:00,做空,42381.5,499.95,1.172,9.7,-0.21,弱突破,2024-01-01 04:00,42310.0,0,0.143,弱突破平仓,2023
394,2023-12-30 20:00,做多,42245.49,544.2,1.298,8.12,-0.39,弱突破,2023-12-30 20:00,42413.41,0,0.309,弱突破平仓,2023
395,2023-12-29 16:00,做多,42822.06,516.45,1.221,9.37,-0.81,弱突破,2023-12-29 16:00,42908.8,0,0.168,弱突破平仓,2023
396,2023-12-20 12:00,做多,42671.45,596.87,1.406,13.6,-0.15,弱突破,2023-12-20 12:00,42950.1,0,0.467,弱突破平仓,2023
397,2023-12-18 04:00,做空,41565.37,562.15,1.334,14.27,-0.57,弱突破,2023-12-18 04:00,41390.59,0,0.311,弱突破平仓,2023
398,2023-12-18 00:00,做多,42079.74,551.92,1.319,13.44,-0.28,弱突破,2023-12-18 00:00,42136.4,0,0.103,弱突破平仓,2023
399,2023-12-13 20:00,做多,41523.35,657.34,1.602,13.25,-1.13,确认,2023-12-14 20:00,42201.67,6,0.216,KAMA跟踪止损,2023
400,2023-12-01 08:00,做多,37946.3,389.75,1.033,12.56,-0.42,弱突破,2023-12-01 08:00,38030.73,0,0.217,弱突破平仓,2023
401,2023-11-18 20:00,做多,36622.9,517.6,1.421,14.14,-0.56,弱突破,2023-11-18 20:00,36671.97,0,0.095,弱突破平仓,2023
402,2023-11-17 20:00,做空,36109.9,554.86,1.525,14.53,-0.58,弱突破,2023-11-17 20:00,36059.0,0,0.092,弱突破平仓,2023
403,2023-10-19 20:00,做多,28498.2,306.79,1.079,3.97,0.46,确认,2023-10-22 12:00,29705.02,16,5.503,KAMA跟踪止损,2023
404,2023-10-19 16:00,做多,28404.3,310.8,1.098,3.54,0.3,弱突破,2023-10-19 16:00,28436.1,0,0.102,弱突破平仓,2023
405,2023-10-18 20:00,做空,28242.19,340.25,1.201,3.73,0.19,弱突破,2023-10-18 20:00,28235.3,0,0.02,弱突破平仓,2023
406,2023-10-16 12:00,做多,27281.9,179.39,0.659,-0.1,1.25,确认,2023-10-17 12:00,28128.46,6,6.899,KAMA跟踪止损,2023
407,2023-10-16 04:00,做多,27073.0,174.39,0.645,-0.67,0.59,弱突破,2023-10-16 04:00,27140.01,0,0.384,弱突破平仓,2023
408,2023-10-16 00:00,做多,26950.7,173.46,0.645,-1.21,0.05,弱突破,2023-10-16 00:00,27032.56,0,0.472,弱突破平仓,2023
409,2023-10-13 20:00,做空,26726.38,222.11,0.828,-1.53,-0.23,弱突破,2023-10-13 20:00,26698.39,0,0.126,弱突破平仓,2023
410,2023-10-11 08:00,做空,27284.91,229.51,0.838,0.43,0.43,确认,2023-10-13 12:00,26922.78,13,0.913,KAMA跟踪止损,2023
411,2023-10-10 20:00,做空,27488.7,232.01,0.844,0.86,0.29,弱突破,2023-10-10 20:00,27395.5,0,0.402,弱突破平仓,2023
412,2023-10-09 16:00,做空,27784.93,226.3,0.814,1.99,0.29,确认,2023-10-10 16:00,27720.9,6,-0.989,KAMA跟踪止损,2023
413,2023-10-06 20:00,做多,27784.9,268.63,0.968,1.95,1.26,确认,2023-10-08 16:00,27858.06,11,0.272,KAMA跟踪止损,2023
414,2023-10-06 16:00,做多,27641.0,271.69,0.983,1.53,0.62,弱突破,2023-10-06 16:00,27742.7,0,0.374,弱突破平仓,2023
415,2023-10-06 12:00,做多,27607.6,276.06,1.002,1.23,0.02,弱突破,2023-10-06 12:00,27627.0,0,0.07,弱突破平仓,2023
416,2023-10-03 04:00,做空,27627.62,283.2,1.013,2.93,1.22,确认,2023-10-04 16:00,27593.93,9,0.119,KAMA跟踪止损,2023
417,2023-10-02 04:00,做多,27277.3,193.14,0.713,-0.22,-0.01,确认,2023-10-03 00:00,27889.96,5,1.995,KAMA跟踪止损,2023
418,2023-10-01 16:00,做多,27141.0,200.41,0.74,-0.21,0.31,弱突破,2023-10-01 16:00,27175.46,0,0.172,弱突破平仓,2023
419,2023-10-01 12:00,做多,27070.4,204.03,0.755,-0.44,0.17,弱突破,2023-10-01 12:00,27094.7,0,0.119,弱突破平仓,2023
420,2023-09-29 00:00,做多,27041.24,235.15,0.871,-0.48,2.44,弱突破,2023-09-29 00:00,27086.9,0,0.194,弱突破平仓,2023
421,2023-09-21 16:00,做空,26911.61,276.31,1.024,-1.13,-0.23,确认,2023-09-25 00:00,26643.09,20,0.223,KAMA跟踪止损,2023
422,2023-09-21 00:00,做空,26930.48,274.93,1.012,-0.52,-0.23,弱突破,2023-09-21 00:00,26917.04,0,0.049,弱突破平仓,2023
423,2023-09-19 16:00,做多,26869.2,241.12,0.898,-1.76,0.12,确认,2023-09-20 12:00,26938.82,5,-1.679,KAMA跟踪止损,2023
424,2023-09-18 20:00,做多,27222.02,232.51,0.855,-0.49,2.53,弱突破,2023-09-18 20:00,27258.8,0,0.158,弱突破平仓,2023
425,2023-08-16 00:00,做空,29300.28,153.92,0.525,0.67,0.25,确认,2023-08-18 04:00,25784.25,13,41.893,止盈,2023
426,2023-08-15 20:00,做空,29340.31,152.16,0.518,0.81,0.21,弱突破,2023-08-15 20:00,29316.0,0,0.16,弱突破平仓,2023
427,2023-08-14 20:00,做多,29481.9,139.88,0.476,0.97,0.36,确认,2023-08-15 00:00,29342.02,1,-1.0,前3K止损,2023
428,2023-08-14 04:00,做空,29317.37,133.67,0.454,1.09,-0.14,弱突破,2023-08-14 04:00,29293.6,0,0.178,弱突破平仓,2023
429,2023-08-14 00:00,做多,29403.95,133.04,0.453,0.87,-0.14,弱突破,2023-08-14 00:00,29426.1,0,0.166,弱突破平仓,2023
430,2023-08-13 12:00,做空,29386.9,148.39,0.505,1.01,0.08,弱突破,2023-08-13 12:00,29385.6,0,0.009,弱突破平仓,2023
431,2023-08-10 20:00,做空,29465.08,216.07,0.733,1.4,0.27,弱突破,2023-08-10 20:00,29452.9,0,0.056,弱突破平仓,2023
432,2023-08-08 16:00,做多,29313.76,180.1,0.617,0.4,0.11,确认,2023-08-10 00:00,29594.24,8,0.041,KAMA跟踪止损,2023
433,2023-08-08 04:00,做多,29177.0,186.46,0.64,0.36,0.21,弱突破,2023-08-08 04:00,29203.36,0,0.141,弱突破平仓,2023
434,2023-08-07 20:00,做空,29007.36,162.34,0.558,0.16,-0.03,确认,2023-08-08 00:00,29169.7,1,-1.0,前3K止损,2023
435,2023-08-06 20:00,做空,29025.28,170.64,0.587,0.11,-0.03,弱突破,2023-08-06 20:00,29004.86,0,0.12,弱突破平仓,2023
436,2023-08-05 00:00,做空,29120.53,219.39,0.75,0.77,-0.37,弱突破,2023-08-05 00:00,29023.7,0,0.441,弱突破平仓,2023
437,2023-08-04 20:00,做多,29248.3,220.64,0.757,0.44,-0.06,弱突破,2023-08-04 20:00,29258.8,0,0.048,弱突破平仓,2023
438,2023-08-03 00:00,做空,29169.53,234.91,0.801,0.98,1.05,弱突破,2023-08-03 00:00,29144.43,0,0.107,弱突破平仓,2023
439,2023-08-02 04:00,做多,29326.5,202.97,0.694,0.83,1.17,确认,2023-08-02 20:00,29326.5,4,0.0,KAMA跟踪止损,2023
440,2023-07-31 20:00,做空,29320.68,157.67,0.536,1.35,-0.42,确认,2023-08-02 00:00,29218.07,7,-1.854,KAMA跟踪止损,2023
441,2023-07-31 00:00,做空,29227.48,155.96,0.532,1.17,-0.13,弱突破,2023-07-31 00:00,29187.4,0,0.257,弱突破平仓,2023
442,2023-07-30 04:00,做多,29338.7,176.14,0.601,1.17,0.15,弱突破,2023-07-30 04:00,29340.39,0,0.01,弱突破平仓,2023
443,2023-07-29 16:00,做空,29270.1,193.53,0.661,1.01,0.09,弱突破,2023-07-29 16:00,29254.0,0,0.083,弱突破平仓,2023
444,2023-07-28 20:00,做多,29295.0,202.27,0.693,0.75,-0.06,弱突破,2023-07-28 20:00,29378.4,0,0.412,弱突破平仓,2023
445,2023-07-28 00:00,做空,29224.57,219.12,0.748,1.08,0.35,弱突破,2023-07-28 00:00,29151.9,0,0.332,弱突破平仓,2023
446,2023-07-27 20:00,做空,29286.37,216.43,0.734,1.8,-0.53,弱突破,2023-07-27 20:00,29284.11,0,0.01,弱突破平仓,2023
447,2023-07-27 00:00,做多,29339.8,215.09,0.734,1.19,0.27,弱突破,2023-07-27 00:00,29389.9,0,0.233,弱突破平仓,2023
448,2023-07-24 16:00,做空,29646.19,226.67,0.76,3.01,0.89,确认,2023-07-26 08:00,29343.92,10,0.194,KAMA跟踪止损,2023
449,2023-07-24 00:00,做多,29972.6,203.45,0.681,3.27,0.17,确认,2023-07-24 08:00,29769.15,2,-1.0,前3K止损,2023
450,2023-07-23 12:00,做多,29893.35,220.77,0.74,3.1,-0.16,弱突破,2023-07-23 12:00,29902.9,0,0.043,弱突破平仓,2023
451,2023-07-23 04:00,做空,29788.05,224.12,0.752,3.16,0.38,弱突破,2023-07-23 04:00,29787.4,0,0.003,弱突破平仓,2023
452,2023-07-20 20:00,做空,29868.3,269.71,0.891,4.93,-1.27,弱突破,2023-07-20 20:00,29794.44,0,0.274,弱突破平仓,2023
453,2023-07-20 16:00,做多,30226.4,270.38,0.895,4.66,0.54,弱突破,2023-07-20 16:00,30274.1,0,0.176,弱突破平仓,2023
454,2023-07-20 12:00,做多,30087.1,268.07,0.895,3.76,-0.01,弱突破,2023-07-20 12:00,30195.6,0,0.405,弱突破平仓,2023
455,2023-07-19 08:00,做多,30006.48,283.93,0.951,3.67,-0.08,弱突破,2023-07-19 08:00,30047.9,0,0.146,弱突破平仓,2023
456,2023-07-18 16:00,做空,29872.98,279.91,0.935,4.03,-0.23,弱突破,2023-07-18 16:00,29872.0,0,0.003,弱突破平仓,2023
457,2023-07-18 00:00,做空,29982.5,269.4,0.893,4.87,0.45,弱突破,2023-07-18 00:00,29882.51,0,0.371,弱突破平仓,2023
458,2023-07-16 20:00,做多,30338.3,293.58,0.969,5.47,0.06,弱突破,2023-07-16 20:00,30367.36,0,0.099,弱突破平仓,2023
459,2023-07-16 08:00,做空,30240.84,313.32,1.035,5.57,0.07,弱突破,2023-07-16 08:00,30174.0,0,0.213,弱突破平仓,2023
460,2023-07-12 12:00,做多,30680.9,284.93,0.932,7.3,-0.01,弱突破,2023-07-12 12:00,30730.0,0,0.172,弱突破平仓,2023
461,2023-07-05 16:00,做空,30660.89,298.96,0.972,9.47,-0.25,确认,2023-07-06 12:00,30655.02,5,0.02,KAMA跟踪止损,2023
462,2023-06-30 20:00,做空,30344.04,379.15,1.227,11.55,-1.52,确认,2023-07-01 12:00,30344.04,4,0.0,KAMA跟踪止损,2023
463,2023-06-24 20:00,做空,30414.81,443.8,1.446,12.8,-0.02,弱突破,2023-06-24 20:00,30394.54,0,0.046,弱突破平仓,2023
464,2023-06-21 00:00,做多,27118.8,284.35,1.051,0.86,0.65,确认,2023-06-22 16:00,29985.24,10,16.036,KAMA跟踪止损,2023
465,2023-06-20 00:00,做多,26568.8,252.65,0.956,-1.32,0.14,弱突破,2023-06-20 00:00,26671.5,0,0.406,弱突破平仓,2023
466,2023-06-19 04:00,做空,26435.3,266.41,1.0,-0.53,-0.26,弱突破,2023-06-19 04:00,26329.88,0,0.396,弱突破平仓,2023
467,2023-06-07 20:00,做空,26349.16,361.0,1.343,-0.64,1.22,弱突破,2023-06-07 20:00,26331.5,0,0.049,弱突破平仓,2023
468,2023-06-07 04:00,做多,27203.11,334.02,1.234,-0.02,5.32,弱突破,2023-06-07 04:00,27219.0,0,0.048,弱突破平仓,2023
469,2023-06-05 08:00,做空,27041.38,239.42,0.883,-0.03,0.31,确认,2023-06-06 20:00,25851.31,9,5.725,KAMA跟踪止损,2023
470,2023-06-05 04:00,做空,27111.47,231.21,0.85,0.33,-0.23,弱突破,2023-06-05 04:00,27108.69,0,0.012,弱突破平仓,2023
471,2023-06-04 16:00,做多,27154.0,251.11,0.925,0.09,0.21,弱突破,2023-06-04 16:00,27192.22,0,0.152,弱突破平仓,2023
472,2023-06-04 00:00,做空,27100.9,264.89,0.97,0.67,-0.62,弱突破,2023-06-04 00:00,27085.0,0,0.06,弱突破平仓,2023
473,2023-06-03 20:00,做多,27233.85,268.01,0.988,0.01,-0.41,弱突破,2023-06-03 20:00,27299.62,0,0.245,弱突破平仓,2023
474,2023-06-03 00:00,做多,27226.22,303.22,1.12,-0.13,0.33,弱突破,2023-06-03 00:00,27226.5,0,0.001,弱突破平仓,2023
475,2023-05-31 12:00,做空,27546.18,278.2,1.006,1.92,0.07,确认,2023-06-02 12:00,27138.67,12,1.282,KAMA跟踪止损,2023
476,2023-05-30 16:00,做多,27930.0,273.32,0.986,2.22,0.36,弱突破,2023-05-30 16:00,28015.35,0,0.312,弱突破平仓,2023
477,2023-05-28 08:00,做多,26882.25,232.11,0.865,-0.8,0.58,确认,2023-05-29 20:00,27727.86,9,5.641,KAMA跟踪止损,2023
478,2023-05-28 04:00,做多,26830.64,235.64,0.882,-1.25,0.02,弱突破,2023-05-28 04:00,26843.58,0,0.055,弱突破平仓,2023
479,2023-05-24 08:00,做空,27096.9,236.02,0.867,0.34,0.45,确认,2023-05-25 20:00,26407.73,9,4.012,KAMA跟踪止损,2023
480,2023-05-23 08:00,做多,27092.22,232.9,0.868,-1.01,0.08,确认,2023-05-24 00:00,27100.27,4,0.035,KAMA跟踪止损,2023
481,2023-05-21 16:00,做空,26956.44,246.09,0.91,-0.29,0.03,确认,2023-05-22 20:00,26956.44,7,0.0,KAMA跟踪止损,2023
482,2023-05-21 08:00,做多,27141.33,253.92,0.937,-0.15,0.83,弱突破,2023-05-21 08:00,27166.4,0,0.099,弱突破平仓,2023
483,2023-05-21 00:00,做多,26962.7,259.31,0.963,-0.73,0.31,弱突破,2023-05-21 00:00,27054.2,0,0.353,弱突破平仓,2023
484,2023-05-20 20:00,做多,26908.9,267.66,0.996,-0.98,-0.0,弱突破,2023-05-20 20:00,26936.0,0,0.101,弱突破平仓,2023
485,2023-05-19 00:00,做空,27043.55,310.87,1.148,-0.24,1.01,确认,2023-05-19 20:00,26972.34,5,0.229,KAMA跟踪止损,2023
486,2023-05-18 00:00,做多,27092.4,309.08,1.154,-1.34,-0.98,确认,2023-05-18 20:00,27092.4,5,0.0,KAMA跟踪止损,2023
487,2023-05-17 16:00,做空,26755.03,310.06,1.155,-1.17,0.32,弱突破,2023-05-17 16:00,26627.8,0,0.41,弱突破平仓,2023
488,2023-05-17 12:00,做空,26871.6,308.62,1.141,-0.37,-0.09,弱突破,2023-05-17 12:00,26834.91,0,0.119,弱突破平仓,2023
489,2023-05-14 20:00,做多,26888.7,334.82,1.249,-1.3,0.12,确认,2023-05-16 08:00,27050.15,9,-0.558,KAMA跟踪止损,2023
490,2023-05-12 08:00,做空,26714.1,407.03,1.51,-0.82,1.59,弱突破,2023-05-12 08:00,26573.8,0,0.345,弱突破平仓,2023
491,2023-05-12 00:00,做空,26959.1,410.96,1.512,-0.03,0.96,弱突破,2023-05-12 00:00,26825.9,0,0.324,弱突破平仓,2023
492,2023-05-11 20:00,做空,27282.99,397.98,1.453,0.78,0.7,弱突破,2023-05-11 20:00,27171.38,0,0.28,弱突破平仓,2023
493,2023-05-10 20:00,做多,27829.83,350.67,1.268,1.76,0.18,确认,2023-05-11 00:00,27479.16,1,-1.0,前3K止损,2023
494,2023-05-08 08:00,做空,28383.3,377.17,1.327,4.68,1.42,确认,2023-05-10 04:00,27760.39,11,0.508,KAMA跟踪止损,2023
495,2023-05-04 04:00,做多,28774.35,411.97,1.455,5.12,-1.13,确认,2023-05-04 20:00,28774.35,4,0.0,KAMA跟踪止损,2023
496,2023-05-02 20:00,做多,28148.6,412.48,1.469,4.47,0.08,确认,2023-05-03 20:00,28424.15,6,0.668,KAMA跟踪止损,2023
497,2023-05-02 00:00,做空,28071.52,432.43,1.536,4.97,1.36,确认,2023-05-02 16:00,28071.52,4,0.0,KAMA跟踪止损,2023
498,2023-04-30 20:00,做多,29336.3,388.28,1.33,8.95,-0.11,确认,2023-05-01 08:00,28948.02,3,-1.0,前3K止损,2023
499,2023-04-26 04:00,做多,27757.5,354.83,1.286,4.43,1.27,确认,2023-04-27 00:00,28604.2,5,3.25,KAMA跟踪止损,2023
500,2023-04-26 00:00,做多,27465.6,349.75,1.28,3.42,-0.02,弱突破,2023-04-26 00:00,27598.87,0,0.381,弱突破平仓,2023
501,2023-04-24 08:00,做多,27728.0,346.28,1.256,4.69,-0.2,弱突破,2023-04-24 08:00,27780.0,0,0.15,弱突破平仓,2023
502,2023-04-23 04:00,做多,27763.0,361.07,1.308,4.94,1.24,弱突破,2023-04-23 04:00,27804.7,0,0.115,弱突破平仓,2023
503,2023-04-23 00:00,做多,27548.1,364.79,1.328,4.45,0.61,弱突破,2023-04-23 00:00,27606.44,0,0.16,弱突破平仓,2023
