序号,信号时间,方向,成交4H开盘价,成交价,ATR,ATR%,EMA70偏离度%,前3K涨幅%,EMA斜率%,突破实体/ATR,入场基准,是否确认,初始止损,止盈价,出场时间,出场价,持仓K数,R值,是否加仓,出场原因,年份
30,2026-05-01 08:00,做多,76305.4,76630.3,797.56,1.045,3.17,0.36,0.6,0.97,回调极值,确认,75832.74,93488.97,2026-05-02 04:00,77743.03,5,0.577,加仓,KAMA跟踪止损,2026
31,2026-04-30 00:00,做空,75889.1,75675.2,852.92,1.124,2.71,1.39,0.67,0.43,突破K极值,弱突破,,,2026-04-30 00:00,75518.5,0,0.184,,弱突破平仓,2026
32,2026-04-29 20:00,做空,77552.5,76138.7,798.42,1.03,4.96,-1.64,0.67,2.08,回调极值,弱突破,,,2026-04-29 20:00,75889.1,0,0.313,,弱突破平仓,2026
33,2026-04-29 16:00,做多,77003.8,77432.1,790.19,1.026,4.21,0.93,0.67,0.69,突破K极值,弱突破,,,2026-04-29 16:00,77552.5,0,0.152,,弱突破平仓,2026
34,2026-04-27 20:00,做空,77804.3,77408.6,819.47,1.053,5.48,1.03,0.85,1.27,突破K极值,确认,78228.07,68119.57,2026-04-29 08:00,77058.09,9,-0.83,加仓,KAMA跟踪止损,2026
35,2026-04-26 12:00,做多,77349.3,77615.7,796.7,1.03,5.01,0.08,0.91,0.89,突破K极值,确认,76819.0,94691.15,2026-04-27 12:00,77692.14,6,-1.627,加仓,KAMA跟踪止损,2026
36,2026-04-22 08:00,做多,76288.3,76574.3,1016.41,1.332,4.51,-0.16,0.57,1.18,回调极值,确认,75557.89,93420.65,2026-04-23 16:00,76839.13,8,-1.141,加仓,KAMA跟踪止损,2026
37,2026-04-22 00:00,做空,75800.0,75355.2,973.18,1.284,3.84,-0.17,0.57,0.83,突破K极值,弱突破,,,2026-04-22 00:00,74988.6,0,0.377,,弱突破平仓,2026
38,2026-04-21 00:00,做多,75668.1,75750.0,969.82,1.282,3.8,1.44,0.54,0.6,突破K极值,确认,74780.18,92415.0,2026-04-21 20:00,75750.0,5,0.0,,KAMA跟踪止损,2026
39,2026-04-20 20:00,做多,75148.8,75539.3,962.41,1.281,3.08,1.88,0.54,0.54,突破K极值,弱突破,,,2026-04-20 20:00,75668.1,0,0.134,,弱突破平仓,2026
40,2026-04-20 04:00,做空,74918.0,74550.0,924.35,1.234,2.89,0.38,0.52,1.25,突破K极值,确认,75474.35,65604.0,2026-04-20 12:00,75474.35,2,-1.0,,前3K止损,2026
41,2026-04-19 20:00,做多,75557.5,75804.0,908.84,1.203,3.76,-0.13,0.52,0.28,回调极值,弱突破,,,2026-04-19 20:00,75807.6,0,0.004,,弱突破平仓,2026
42,2026-04-19 12:00,做空,75472.9,75314.0,918.24,1.217,3.65,0.86,0.52,0.29,突破K极值,弱突破,,,2026-04-19 12:00,75205.6,0,0.118,,弱突破平仓,2026
43,2026-04-19 00:00,做空,76124.8,75710.6,985.14,1.294,4.58,1.09,0.55,0.53,突破K极值,弱突破,,,2026-04-19 00:00,75604.2,0,0.108,,弱突破平仓,2026
44,2026-04-17 20:00,做多,75542.1,76350.0,973.28,1.288,3.9,0.58,0.51,2.25,突破K极值,确认,75376.72,93147.0,2026-04-18 16:00,76350.0,5,0.0,,KAMA跟踪止损,2026
45,2026-04-17 16:00,做多,75047.4,75500.0,950.91,1.267,3.22,-0.35,0.51,0.52,回调极值,弱突破,,,2026-04-17 16:00,75542.2,0,0.044,,弱突破平仓,2026
46,2026-04-17 00:00,做多,74659.5,75130.0,974.85,1.306,2.86,-0.26,0.27,0.67,回调极值,弱突破,,,2026-04-17 00:00,75309.4,0,0.184,,弱突破平仓,2026
47,2026-04-16 00:00,做多,73797.5,74473.5,952.38,1.291,1.78,-0.67,0.2,1.22,突破K极值,确认,73521.12,90857.67,2026-04-16 16:00,74473.5,4,0.0,,KAMA跟踪止损,2026
48,2026-04-15 12:00,做空,74296.8,73766.8,973.77,1.311,2.47,1.29,0.2,0.61,突破K极值,弱突破,,,2026-04-15 12:00,73705.1,0,0.063,,弱突破平仓,2026
49,2026-04-14 00:00,做多,71823.6,72431.0,863.73,1.203,-0.79,1.24,0.04,1.68,突破K极值,确认,71567.27,88365.82,2026-04-15 00:00,73994.79,6,1.359,加仓,KAMA跟踪止损,2026
50,2026-04-12 20:00,做空,71435.0,71259.0,884.03,1.238,-1.25,2.16,-0.09,0.65,回调极值,弱突破,,,2026-04-12 20:00,70856.2,0,0.456,,弱突破平仓,2026
51,2026-04-12 00:00,做多,72817.3,72945.0,887.48,1.219,0.6,-0.02,-0.05,0.92,突破K极值,确认,72057.52,88992.9,2026-04-12 08:00,72057.52,2,-1.0,,前3K止损,2026
52,2026-04-10 20:00,做多,72092.8,72350.0,997.15,1.383,-0.38,0.48,-0.22,0.33,回调极值,弱突破,,,2026-04-10 20:00,72421.0,0,0.071,,弱突破平仓,2026
53,2026-04-09 20:00,做多,71109.9,71533.0,958.84,1.348,-1.71,0.1,-0.38,1.04,突破K极值,确认,70574.16,87270.26,2026-04-10 12:00,71533.0,4,0.0,,KAMA跟踪止损,2026
54,2026-01-19 04:00,做空,95335.6,94850.4,770.59,0.808,1.74,-0.36,0.26,2.23,突破K极值,确认,95620.99,83468.35,2026-01-21 20:00,89741.66,16,10.412,加仓,KAMA跟踪止损,2026
55,2026-01-19 00:00,做多,95067.7,95326.4,786.87,0.828,1.46,-0.09,0.26,0.34,突破K极值,弱突破,,,2026-01-19 00:00,95335.6,0,0.012,,弱突破平仓,2026
56,2026-01-16 20:00,做空,95382.5,95111.1,1072.79,1.125,1.83,0.19,0.21,0.79,突破K极值,确认,96183.89,83697.77,2026-01-17 12:00,95111.1,4,0.0,,KAMA跟踪止损,2026
57,2026-01-13 20:00,做多,91962.1,92676.6,897.07,0.975,-1.6,0.78,-0.27,1.61,突破K极值,确认,91779.53,113065.45,2026-01-15 20:00,95879.35,12,5.465,加仓,KAMA跟踪止损,2026
58,2026-01-07 00:00,做空,93608.2,93088.0,870.88,0.93,-0.27,0.13,-0.31,1.78,回调极值,确认,93958.88,81917.44,2026-01-09 20:00,91543.17,17,1.498,加仓,KAMA跟踪止损,2026
59,2026-01-05 20:00,做多,93093.3,93382.5,804.72,0.864,-0.82,1.74,-0.47,1.0,回调极值,确认,92577.78,113926.65,2026-01-06 12:00,93382.5,4,0.0,,KAMA跟踪止损,2026
60,2025-11-02 16:00,做多,110844.0,110988.0,1240.02,1.119,-1.75,0.54,-0.43,0.24,突破K极值,弱突破,,,2025-11-02 16:00,111145.4,0,0.127,,弱突破平仓,2025
61,2025-10-30 00:00,做空,111460.7,111326.5,1260.6,1.131,-1.55,0.89,-0.09,0.68,突破K极值,确认,112587.1,97967.32,2025-10-30 16:00,111326.5,4,0.0,,KAMA跟踪止损,2025
62,2025-10-29 04:00,做空,113629.0,113500.0,1233.7,1.086,0.29,0.44,-0.06,0.64,突破K极值,确认,114733.7,99880.0,2025-10-29 20:00,113500.0,4,-1.653,加仓,KAMA跟踪止损,2025
63,2025-10-26 16:00,做多,111672.9,111866.7,1199.67,1.074,-1.43,0.09,-0.31,1.3,突破K极值,确认,110667.03,136477.37,2025-10-28 04:00,114561.54,9,2.299,加仓,KAMA跟踪止损,2025
64,2025-10-14 12:00,做空,113440.9,113210.6,1895.49,1.671,-1.17,0.72,-0.2,0.94,突破K极值,确认,115106.09,99625.33,2025-10-15 04:00,113210.6,4,0.0,,KAMA跟踪止损,2025
65,2025-10-14 08:00,做空,115112.0,113721.2,1882.11,1.635,0.24,-0.86,0.01,0.89,回调极值,弱突破,,,2025-10-14 08:00,113441.0,0,0.149,,弱突破平仓,2025
66,2025-10-14 00:00,做多,114260.8,115500.0,1948.04,1.705,-0.5,-0.45,0.01,0.75,回调极值,弱突破,,,2025-10-14 00:00,115726.6,0,0.116,,弱突破平仓,2025
67,2025-10-13 16:00,做空,115341.7,114200.0,1967.1,1.705,0.44,-0.92,0.01,0.62,回调极值,弱突破,,,2025-10-13 16:00,114129.3,0,0.036,,弱突破平仓,2025
68,2025-10-13 04:00,做多,114288.8,114654.5,2072.58,1.813,-0.47,2.53,0.22,0.29,突破K极值,弱突破,,,2025-10-13 04:00,114894.4,0,0.116,,弱突破平仓,2025
69,2025-10-13 00:00,做多,113119.0,113687.6,2100.85,1.857,-1.49,2.24,0.22,0.56,突破K极值,弱突破,,,2025-10-13 00:00,114288.7,0,0.286,,弱突破平仓,2025
70,2025-10-10 20:00,做空,121493.2,120814.0,1350.19,1.111,5.69,0.07,0.75,1.87,突破K极值,确认,122164.19,106316.32,2025-10-11 04:00,106316.32,2,18.358,加仓,止盈,2025
71,2025-10-08 16:00,做多,121550.5,122255.4,1271.57,1.046,5.86,-0.04,1.1,1.0,回调极值,弱突破,,,2025-10-08 16:00,122825.7,0,0.448,,弱突破平仓,2025
72,2025-10-03 20:00,做多,120307.2,120505.5,1018.08,0.846,5.93,-0.14,0.61,1.9,回调极值,确认,119487.42,147016.71,2025-10-06 00:00,122431.36,13,1.717,加仓,KAMA跟踪止损,2025
73,2025-10-01 16:00,做多,114480.8,114720.0,877.79,0.767,1.21,0.15,0.1,2.57,回调极值,确认,113842.21,139958.4,2025-10-03 08:00,119772.27,10,8.497,加仓,KAMA跟踪止损,2025
74,2025-09-30 16:00,做空,113662.3,113531.7,845.5,0.744,0.63,0.47,-0.13,0.78,突破K极值,确认,114377.2,99907.9,2025-10-01 00:00,114377.2,2,-1.0,,前3K止损,2025
75,2025-09-29 20:00,做多,112052.0,112381.3,791.62,0.706,-0.77,-0.06,-0.27,2.15,突破K极值,确认,111589.68,137105.19,2025-09-30 12:00,113591.41,4,0.754,加仓,KAMA跟踪止损,2025
76,2025-09-26 00:00,做空,111538.4,110555.0,951.46,0.853,-1.38,0.84,-0.11,2.33,突破K极值,确认,111506.46,97288.4,2025-09-27 00:00,110049.41,6,-0.64,加仓,KAMA跟踪止损,2025
77,2025-09-25 16:00,做空,111708.5,111389.0,939.91,0.841,-1.23,1.47,-0.11,0.42,突破K极值,弱突破,,,2025-09-25 16:00,111316.1,0,0.078,,弱突破平仓,2025
78,2025-09-25 12:00,做空,112485.7,112155.6,926.98,0.824,-0.55,0.72,-0.11,0.84,突破K极值,弱突破,,,2025-09-25 12:00,111708.5,0,0.482,,弱突破平仓,2025
79,2025-09-25 08:00,做空,113253.9,112760.0,907.0,0.801,0.03,-0.24,0.06,0.85,回调极值,弱突破,,,2025-09-25 08:00,112485.8,0,0.302,,弱突破平仓,2025
80,2025-09-24 20:00,做多,112982.0,113121.8,930.79,0.824,-0.21,0.92,0.06,0.34,突破K极值,弱突破,,,2025-09-24 20:00,113299.9,0,0.191,,弱突破平仓,2025
81,2025-09-24 16:00,做多,112544.7,112732.8,939.49,0.835,-0.6,0.84,0.06,0.47,突破K极值,弱突破,,,2025-09-24 16:00,112982.0,0,0.265,,弱突破平仓,2025
82,2025-09-24 00:00,做空,112828.6,111804.9,875.41,0.776,-0.35,-0.48,0.12,1.39,回调极值,弱突破,,,2025-09-24 00:00,111611.8,0,0.221,,弱突破平仓,2025
83,2025-09-22 08:00,做空,115183.9,115137.6,658.19,0.571,1.68,0.32,0.36,0.88,突破K极值,确认,115795.79,101321.09,2025-09-23 12:00,112905.65,7,2.705,加仓,KAMA跟踪止损,2025
84,2025-09-20 00:00,做空,115826.9,115408.4,911.05,0.787,2.36,0.93,0.42,0.82,突破K极值,弱突破,,,2025-09-20 00:00,115082.4,0,0.358,,弱突破平仓,2025
85,2025-09-19 20:00,做空,116343.3,116250.7,902.17,0.775,2.82,0.58,0.42,0.57,突破K极值,弱突破,,,2025-09-19 20:00,115826.9,0,0.47,,弱突破平仓,2025
86,2025-09-19 16:00,做空,116850.0,116489.7,907.56,0.777,3.26,0.47,0.42,0.56,回调极值,弱突破,,,2025-09-19 16:00,116343.1,0,0.162,,弱突破平仓,2025
87,2025-09-18 08:00,做多,116402.6,116940.0,940.49,0.808,3.04,0.17,0.4,1.2,突破K极值,确认,115999.51,142666.8,2025-09-19 04:00,116940.0,5,0.0,,KAMA跟踪止损,2025
88,2025-09-17 00:00,做多,115877.9,115968.0,825.7,0.713,2.66,0.54,0.4,1.07,回调极值,确认,115142.3,141480.96,2025-09-17 20:00,115968.0,5,0.0,,KAMA跟踪止损,2025
89,2025-09-16 12:00,做多,115250.8,115550.0,786.58,0.682,2.11,0.4,0.4,0.7,突破K极值,弱突破,,,2025-09-16 12:00,115799.4,0,0.317,,弱突破平仓,2025
90,2025-09-10 12:00,做多,111498.9,111692.3,948.88,0.851,-0.74,0.6,-0.08,1.06,突破K极值,确认,110743.42,136264.61,2025-09-14 20:00,115194.85,26,5.16,加仓,KAMA跟踪止损,2025
91,2025-09-09 20:00,做空,112397.5,111050.0,936.25,0.833,0.1,-0.34,-0.16,1.67,回调极值,弱突破,,,2025-09-09 20:00,110830.1,0,0.235,,弱突破平仓,2025
92,2025-09-09 12:00,做多,111657.7,112635.0,906.51,0.812,-0.56,-0.81,-0.16,1.43,回调极值,弱突破,,,2025-09-09 12:00,112950.1,0,0.348,,弱突破平仓,2025
93,2025-09-09 08:00,做空,112012.7,111800.0,901.29,0.805,-0.26,0.01,-0.19,0.39,回调极值,弱突破,,,2025-09-09 08:00,111657.6,0,0.158,,弱突破平仓,2025
94,2025-09-08 20:00,做多,112022.0,112144.0,920.03,0.821,-0.26,0.85,-0.19,0.6,突破K极值,弱突破,,,2025-09-08 20:00,112573.6,0,0.467,,弱突破平仓,2025
95,2025-09-08 16:00,做多,111236.5,111580.7,918.82,0.826,-0.95,0.02,-0.19,0.85,突破K极值,弱突破,,,2025-09-08 16:00,112022.0,0,0.48,,弱突破平仓,2025
96,2025-09-07 16:00,做多,110710.8,110880.8,1026.28,0.927,-1.43,0.66,-0.2,0.52,突破K极值,弱突破,,,2025-09-07 16:00,111249.5,0,0.359,,弱突破平仓,2025
97,2025-09-07 12:00,做多,110579.8,110700.0,1055.74,0.955,-1.55,0.23,-0.2,0.12,突破K极值,弱突破,,,2025-09-07 12:00,110710.8,0,0.01,,弱突破平仓,2025
98,2025-09-07 00:00,做空,110324.2,110285.2,1157.22,1.049,-1.81,0.64,-0.21,0.29,突破K极值,弱突破,,,2025-09-07 00:00,109986.7,0,0.258,,弱突破平仓,2025
99,2025-09-06 20:00,做空,110732.8,110504.9,1182.8,1.068,-1.44,-0.11,-0.21,0.35,回调极值,弱突破,,,2025-09-06 20:00,110324.1,0,0.153,,弱突破平仓,2025
100,2025-09-05 12:00,做多,111267.0,111743.8,1178.39,1.059,-1.02,1.66,-0.24,1.39,突破K极值,确认,110565.41,136327.44,2025-09-05 20:00,110565.41,2,-1.0,,前3K止损,2025
101,2025-09-04 12:00,做空,111107.1,111081.1,1146.44,1.032,-1.21,0.95,-0.31,0.6,突破K极值,确认,112227.54,97751.37,2025-09-05 04:00,110786.07,4,0.257,,KAMA跟踪止损,2025
102,2025-09-03 20:00,做多,111391.6,111732.9,1174.6,1.054,-1.0,0.18,-0.36,0.66,回调极值,弱突破,,,2025-09-03 20:00,112168.6,0,0.371,,弱突破平仓,2025
