序号,信号时间,成交时间,成交方式,方向,6K极值,回调突破线,回调偏移%,ATR,峰值价,峰值K时间,波段涨跌幅%_回调线基准,波段涨跌幅%_极值基准,入场后涨跌幅%,出场方式,出场时间,持仓K数,R值,年份
1,2026-08-19 20:00,2026-08-19 20:00,信号K触发,做多,65057.9,65057.9,0.0,425.81,79555.5,2026-08-21 16:00,22.284,22.284,21.489,固定止盈,2026-08-21 16:00,11,32.613,2026
2,2026-08-18 20:00,2026-08-18 20:00,信号K触发,做多,64600.8,64600.8,0.0,392.09,65057.9,2026-08-18 20:00,0.708,0.708,0.1,保护性平仓,2026-08-18 20:00,0,-0.431,2026
3,2026-08-17 08:00,2026-08-17 08:00,信号K触发,做多,63370.0,63132.2,0.375,358.53,63498.0,2026-08-17 08:00,0.579,0.202,0.011,保护性平仓,2026-08-17 08:00,0,-0.2257,2026
4,2026-08-11 20:00,2026-08-12 00:00,挂单触发,做空,63788.0,63788.0,0.0,453.67,63211.6,2026-08-12 00:00,0.904,0.904,0.194,保护性平仓,2026-08-12 00:00,0,-0.3839,2026
5,2026-08-11 00:00,2026-08-11 00:00,信号K触发,做空,64171.8,64794.4,0.97,417.51,63788.0,2026-08-11 00:00,1.553,0.598,0.915,成本线止损,2026-08-11 16:00,4,0.0,2026
6,2026-08-10 20:00,2026-08-10 20:00,信号K触发,做空,64794.4,64794.4,0.0,417.51,64171.8,2026-08-10 20:00,0.961,0.961,0.319,保护性平仓,2026-08-10 20:00,0,0.2589,2026
7,2026-08-03 12:00,2026-08-03 16:00,挂单触发,做空,62745.0,62961.1,0.344,559.66,62268.2,2026-08-03 16:00,1.101,0.76,0.214,保护性平仓,2026-08-03 16:00,0,-0.237,2026
8,2026-07-31 16:00,2026-07-31 20:00,挂单触发,做空,63835.6,63950.0,0.179,663.14,62228.8,2026-08-02 00:00,2.691,2.517,1.672,KAMA跟踪(跌破KAMA),2026-08-02 08:00,9,0.183,2026
9,2026-07-30 16:00,2026-07-31 08:00,挂单触发,做多,64715.9,64715.9,0.0,609.32,65391.3,2026-07-31 08:00,1.044,1.044,0.101,ATR止损,2026-07-31 08:00,0,-1.0,2026
10,2026-07-28 04:00,2026-07-28 04:00,信号K触发,做空,64374.4,64606.3,0.36,487.19,62660.1,2026-07-28 20:00,3.012,2.663,2.275,成本线止损,2026-07-29 08:00,7,0.0,2026
11,2026-07-24 20:00,2026-07-24 20:00,信号K触发,做空,64636.0,64636.0,0.0,600.72,63666.0,2026-07-24 20:00,1.501,1.501,0.577,保护性平仓,2026-07-24 20:00,0,-0.0496,2026
12,2026-07-23 12:00,2026-07-23 20:00,挂单触发,做空,65505.0,65505.0,0.0,625.63,64696.2,2026-07-23 20:00,1.235,1.235,0.282,保护性平仓,2026-07-23 20:00,0,-0.0975,2026
13,2026-07-21 12:00,2026-07-21 20:00,挂单触发,做多,65788.0,65788.0,0.0,672.53,66924.1,2026-07-21 20:00,1.727,1.727,0.698,保护性平仓,2026-07-21 20:00,0,0.2795,2026
14,2026-07-20 20:00,2026-07-20 20:00,信号K触发,做多,65084.6,65084.6,0.0,557.36,65688.0,2026-07-20 20:00,0.927,0.927,0.07,保护性平仓,2026-07-20 20:00,0,-0.1289,2026
15,2026-07-19 04:00,2026-07-19 08:00,挂单触发,做多,64666.0,64188.2,0.739,718.96,64948.8,2026-07-19 08:00,1.185,0.437,0.064,保护性平仓,2026-07-19 08:00,0,-0.3065,2026
16,2026-07-16 12:00,2026-07-17 04:00,挂单触发,做空,64362.2,64450.9,0.138,709.61,63712.6,2026-07-17 04:00,1.146,1.009,0.045,保护性平仓,2026-07-17 04:00,0,-0.0841,2026
17,2026-07-14 20:00,2026-07-14 20:00,信号K触发,做多,62970.7,62970.7,0.0,674.91,65589.7,2026-07-15 20:00,4.159,4.159,3.055,KAMA跟踪(跌破KAMA),2026-07-16 08:00,9,1.1253,2026
18,2026-07-13 08:00,2026-07-13 08:00,信号K触发,做空,63602.8,63602.8,0.0,678.04,62705.0,2026-07-13 08:00,1.412,1.412,0.349,保护性平仓,2026-07-13 08:00,0,0.2132,2026
19,2026-07-09 12:00,2026-07-10 08:00,挂单触发,做多,62921.8,62921.8,0.0,852.65,64022.0,2026-07-10 08:00,1.749,1.749,0.388,保护性平仓,2026-07-10 08:00,0,0.1674,2026
20,2026-07-08 20:00,2026-07-08 20:00,信号K触发,做空,61708.2,62638.0,1.507,837.24,61520.0,2026-07-08 20:00,1.785,0.305,0.454,保护性平仓,2026-07-08 20:00,0,0.1508,2026
21,2026-07-08 16:00,2026-07-08 16:00,信号K触发,做空,62434.9,62638.0,0.325,837.24,61708.2,2026-07-08 16:00,1.484,1.164,0.15,保护性平仓,2026-07-08 16:00,0,-0.5605,2026
22,2026-07-01 20:00,2026-07-01 20:00,信号K触发,做多,59444.5,59264.4,0.303,874.0,60520.0,2026-07-01 20:00,2.119,1.809,0.635,保护性平仓,2026-07-01 20:00,0,-0.0228,2026
23,2026-06-30 20:00,2026-07-01 08:00,挂单触发,做空,58988.0,58988.0,0.0,941.52,57758.6,2026-07-01 08:00,2.084,2.084,0.496,ATR止损,2026-07-01 08:00,0,-1.0,2026
24,2026-06-24 20:00,2026-06-24 20:00,信号K触发,做空,61916.9,61916.9,0.0,805.19,59060.0,2026-06-25 00:00,4.614,4.614,3.357,成本线止损,2026-06-25 12:00,4,0.0,2026
25,2026-06-23 16:00,2026-06-23 16:00,信号K触发,做空,62532.4,64014.9,2.371,749.87,61870.0,2026-06-23 16:00,3.351,1.059,2.205,KAMA跟踪(跌破KAMA),2026-06-24 16:00,6,0.0947,2026
26,2026-06-23 12:00,2026-06-23 12:00,信号K触发,做空,63758.3,63833.4,0.118,750.65,62532.4,2026-06-23 12:00,2.038,1.923,0.872,保护性平仓,2026-06-23 12:00,0,0.3111,2026
27,2026-06-22 20:00,2026-06-22 20:00,信号K触发,做多,64788.0,64337.3,0.696,723.63,65597.2,2026-06-22 20:00,1.958,1.249,0.824,保护性平仓,2026-06-22 20:00,0,-0.3495,2026
28,2026-06-20 04:00,2026-06-20 20:00,挂单触发,做多,63410.3,63266.8,0.226,913.54,64370.9,2026-06-20 20:00,1.745,1.515,0.297,保护性平仓,2026-06-20 20:00,0,-0.0447,2026
29,2026-06-17 16:00,2026-06-18 00:00,挂单触发,做空,65200.0,65328.8,0.198,841.67,64015.0,2026-06-18 00:00,2.011,1.817,0.732,保护性平仓,2026-06-18 00:00,0,0.2564,2026
30,2026-06-15 16:00,2026-06-15 16:00,信号K触发,做多,65996.8,64640.6,2.055,785.22,67255.4,2026-06-15 20:00,4.045,1.907,2.796,KAMA跟踪(跌破KAMA),2026-06-16 20:00,7,0.2543,2026
31,2026-06-15 08:00,2026-06-15 08:00,信号K触发,做多,65775.0,64682.2,1.661,831.9,65996.8,2026-06-15 08:00,2.032,0.337,0.737,保护性平仓,2026-06-15 08:00,0,0.4575,2026
32,2026-06-15 04:00,2026-06-15 04:00,信号K触发,做多,64738.0,64738.0,0.0,857.62,65775.0,2026-06-15 04:00,1.602,1.602,0.273,保护性平仓,2026-06-15 04:00,0,0.1242,2026
33,2026-06-09 20:00,2026-06-09 20:00,信号K触发,做空,62381.2,62658.4,0.444,1322.16,61001.0,2026-06-09 20:00,2.645,2.213,0.547,保护性平仓,2026-06-09 20:00,0,0.1782,2026
34,2026-06-07 08:00,2026-06-08 04:00,挂单触发,做多,61500.0,61500.0,0.0,1458.31,64250.0,2026-06-08 04:00,4.472,4.472,2.052,保护性平仓,2026-06-08 04:00,0,0.2333,2026
35,2026-06-05 20:00,2026-06-05 20:00,信号K触发,做空,61067.6,62344.1,2.09,1281.04,59080.0,2026-06-06 00:00,5.236,3.255,3.248,成本线止损,2026-06-06 12:00,4,0.0,2026
36,2026-06-04 04:00,2026-06-04 04:00,信号K触发,做空,65199.0,65359.1,0.246,1037.06,64050.8,2026-06-04 04:00,2.002,1.761,0.422,保护性平仓,2026-06-04 04:00,0,0.197,2026
37,2026-05-27 08:00,2026-05-27 08:00,信号K触发,做空,75641.2,76434.0,1.048,737.43,75555.1,2026-05-27 08:00,1.15,0.114,0.187,保护性平仓,2026-05-27 08:00,0,0.0827,2026
38,2026-05-26 08:00,2026-05-27 00:00,挂单触发,做空,76871.4,76871.4,0.0,783.08,75711.0,2026-05-27 00:00,1.51,1.51,0.496,保护性平仓,2026-05-27 00:00,0,0.0766,2026
39,2026-05-24 04:00,2026-05-24 04:00,信号K触发,做多,76054.1,76054.1,0.0,755.29,77427.0,2026-05-24 04:00,1.805,1.805,0.804,保护性平仓,2026-05-24 04:00,0,-0.1247,2026
40,2026-05-23 00:00,2026-05-23 00:00,信号K触发,做空,76528.0,76970.0,0.578,763.42,75620.0,2026-05-23 00:00,1.754,1.186,0.77,保护性平仓,2026-05-23 00:00,0,0.4971,2026
41,2026-05-18 04:00,2026-05-18 04:00,信号K触发,做空,77675.4,77675.4,0.0,755.39,76666.0,2026-05-18 04:00,1.3,1.3,0.33,保护性平仓,2026-05-18 04:00,0,-0.6757,2026
42,2026-05-15 20:00,2026-05-16 12:00,挂单触发,做空,79196.4,79196.4,0.0,874.52,78000.4,2026-05-16 12:00,1.51,1.51,0.41,保护性平仓,2026-05-16 12:00,0,-0.0142,2026
43,2026-05-14 20:00,2026-05-15 00:00,挂单触发,做多,80558.0,80558.0,0.0,807.53,81999.0,2026-05-15 00:00,1.789,1.789,0.779,保护性平仓,2026-05-15 00:00,0,0.0101,2026
44,2026-05-13 20:00,2026-05-13 20:00,信号K触发,做空,79801.0,79801.0,0.0,778.58,78753.1,2026-05-13 20:00,1.313,1.313,0.341,保护性平仓,2026-05-13 20:00,0,0.2925,2026
45,2026-05-10 20:00,2026-05-11 04:00,挂单触发,做多,81043.2,81043.2,0.0,763.27,82460.5,2026-05-11 04:00,1.749,1.749,0.799,保护性平仓,2026-05-11 04:00,0,0.4864,2026
46,2026-05-06 16:00,2026-05-06 16:00,信号K触发,做多,81745.4,81745.4,0.0,860.93,82828.7,2026-05-06 16:00,1.325,1.325,0.269,保护性平仓,2026-05-06 16:00,0,-0.1405,2026
47,2026-05-05 08:00,2026-05-05 20:00,挂单触发,做多,80771.7,80590.2,0.225,757.43,81656.6,2026-05-05 20:00,1.323,1.096,0.38,保护性平仓,2026-05-05 20:00,0,0.1862,2026
48,2026-05-01 20:00,2026-05-01 20:00,信号K触发,做多,77588.4,76630.3,1.235,841.03,78879.9,2026-05-01 20:00,2.936,1.665,1.818,KAMA跟踪(跌破KAMA),2026-05-02 12:00,4,0.6331,2026
49,2026-05-01 16:00,2026-05-01 16:00,信号K触发,做多,77421.2,76630.3,1.022,841.03,77588.4,2026-05-01 16:00,1.25,0.216,0.151,保护性平仓,2026-05-01 16:00,0,-0.0497,2026
50,2026-05-01 08:00,2026-05-01 08:00,信号K触发,做多,76630.3,76445.0,0.242,871.21,77421.2,2026-05-01 08:00,1.277,1.032,0.136,保护性平仓,2026-05-01 08:00,0,-0.2681,2026
51,2026-04-30 00:00,2026-04-30 00:00,信号K触发,做空,75675.2,75840.3,0.218,818.22,74868.0,2026-04-30 00:00,1.282,1.067,0.205,保护性平仓,2026-04-30 00:00,0,-0.6067,2026
52,2026-04-29 16:00,2026-04-29 16:00,信号K触发,做多,77432.1,76956.0,0.615,837.84,77873.2,2026-04-29 16:00,1.192,0.57,0.102,保护性平仓,2026-04-29 16:00,0,-0.2881,2026
53,2026-04-27 20:00,2026-04-27 20:00,信号K触发,做空,77408.6,77715.0,0.396,755.82,76524.0,2026-04-27 20:00,1.533,1.143,0.565,保护性平仓,2026-04-27 20:00,0,0.2635,2026
54,2026-04-26 12:00,2026-04-27 04:00,挂单触发,做多,77847.0,77847.0,0.0,896.43,78994.8,2026-04-27 04:00,1.474,1.474,0.319,ATR止损,2026-04-27 04:00,0,-1.0,2026
55,2026-04-22 20:00,2026-04-22 20:00,信号K触发,做多,78447.5,76574.3,2.388,973.18,79444.0,2026-04-23 00:00,3.748,1.27,2.446,成本线止损,2026-04-23 16:00,5,0.0,2026
56,2026-04-22 08:00,2026-04-22 12:00,挂单触发,做多,76999.0,76999.0,0.0,960.24,78447.5,2026-04-22 12:00,1.881,1.881,0.626,保护性平仓,2026-04-22 12:00,0,0.0214,2026
57,2026-04-21 00:00,2026-04-21 16:00,挂单触发,做多,75817.7,75817.7,0.0,924.35,76999.0,2026-04-21 16:00,1.558,1.558,0.335,保护性平仓,2026-04-21 16:00,0,-0.3611,2026
58,2026-04-20 04:00,2026-04-20 04:00,信号K触发,做空,74550.0,74824.3,0.368,918.48,73700.2,2026-04-20 04:00,1.502,1.14,0.278,保护性平仓,2026-04-20 04:00,0,0.1605,2026
59,2026-04-17 16:00,2026-04-17 20:00,挂单触发,做多,75500.0,75500.0,0.0,989.44,78300.0,2026-04-18 00:00,3.709,3.709,2.367,成本线止损,2026-04-18 16:00,5,0.0,2026
60,2026-04-14 00:00,2026-04-14 00:00,信号K触发,做多,72431.0,71423.9,1.39,867.41,76009.0,2026-04-14 20:00,6.42,4.94,5.143,KAMA跟踪(跌破KAMA),2026-04-15 00:00,6,1.9639,2026
61,2026-04-12 20:00,2026-04-12 20:00,信号K触发,做空,71259.0,72451.9,1.674,887.48,70458.2,2026-04-13 04:00,2.752,1.124,1.546,KAMA跟踪(跌破KAMA),2026-04-13 20:00,6,0.2244,2026
62,2026-04-12 08:00,2026-04-12 08:00,信号K触发,做空,72451.9,72451.9,0.0,887.48,71259.0,2026-04-12 08:00,1.646,1.646,0.427,保护性平仓,2026-04-12 08:00,0,0.0009,2026
63,2026-04-08 04:00,2026-04-08 04:00,信号K触发,做多,69940.0,69940.0,0.0,847.13,72858.5,2026-04-08 20:00,4.173,4.173,2.926,成本线止损,2026-04-08 20:00,4,0.0,2026
64,2026-04-06 04:00,2026-04-06 04:00,信号K触发,做多,67828.6,67452.7,0.554,749.62,69108.0,2026-04-06 04:00,2.454,1.886,1.328,ATR止损,2026-04-06 04:00,0,-1.0,2026
65,2026-04-02 08:00,2026-04-02 08:00,信号K触发,做空,67534.9,67534.9,0.0,1041.53,66455.9,2026-04-02 08:00,1.598,1.598,0.056,保护性平仓,2026-04-02 08:00,0,-0.0432,2026
66,2026-04-01 12:00,2026-04-01 12:00,信号K触发,做多,68600.0,67865.7,1.07,989.42,69288.0,2026-04-01 12:00,2.096,1.003,0.629,保护性平仓,2026-04-01 12:00,0,-0.2054,2026
67,2026-03-30 08:00,2026-03-30 20:00,挂单触发,做多,67100.0,67100.0,0.0,965.79,68148.4,2026-03-30 20:00,1.562,1.562,0.121,ATR止损,2026-03-30 20:00,0,-1.0,2026
68,2026-03-30 04:00,2026-03-30 04:00,信号K触发,做空,66111.0,66233.6,0.185,971.12,64918.2,2026-03-30 04:00,1.986,1.804,0.528,保护性平仓,2026-03-30 04:00,0,-0.7367,2026
69,2026-03-27 20:00,2026-03-27 20:00,信号K触发,做空,66175.4,68115.8,2.932,1117.29,65501.0,2026-03-28 00:00,3.839,1.019,2.235,KAMA跟踪(跌破KAMA),2026-03-28 20:00,6,0.325,2026
70,2026-03-27 16:00,2026-03-27 16:00,信号K触发,做空,68115.8,68115.8,0.0,1117.29,66175.4,2026-03-27 16:00,2.849,2.849,1.229,保护性平仓,2026-03-27 16:00,0,0.3001,2026
71,2026-03-26 20:00,2026-03-26 20:00,信号K触发,做空,69127.2,70531.4,2.031,1141.67,68553.4,2026-03-26 20:00,2.804,0.83,1.205,保护性平仓,2026-03-26 20:00,0,0.2934,2026
72,2026-03-26 12:00,2026-03-26 16:00,挂单触发,做空,70531.4,70531.4,0.0,1141.67,69127.2,2026-03-26 16:00,1.991,1.991,0.378,保护性平仓,2026-03-26 16:00,0,0.1318,2026
73,2026-03-25 00:00,2026-03-25 00:00,信号K触发,做空,69467.8,70100.5,0.911,1197.83,68884.5,2026-03-25 00:00,1.735,0.84,0.026,保护性平仓,2026-03-25 00:00,0,-0.3673,2026
74,2026-03-23 16:00,2026-03-23 16:00,信号K触发,做多,69000.0,69000.0,0.0,998.13,71468.0,2026-03-23 16:00,3.577,3.577,2.1,保护性平仓,2026-03-23 16:00,0,0.0994,2026
75,2026-03-22 04:00,2026-03-22 04:00,信号K触发,做空,69701.3,69701.3,0.0,1121.44,68511.3,2026-03-22 04:00,1.707,1.707,0.1,保护性平仓,2026-03-22 04:00,0,-0.269,2026
76,2026-03-18 16:00,2026-03-18 20:00,挂单触发,做空,73330.3,73330.3,0.0,1114.99,68750.0,2026-03-19 20:00,6.246,6.246,4.799,KAMA跟踪(跌破KAMA),2026-03-20 08:00,9,1.4802,2026
77,2026-03-15 08:00,2026-03-16 04:00,挂单触发,做多,71272.3,71272.3,0.0,1182.78,73199.9,2026-03-16 04:00,2.705,2.705,1.028,保护性平仓,2026-03-16 04:00,0,0.2738,2026
78,2026-03-13 08:00,2026-03-13 16:00,挂单触发,做多,70756.5,70756.5,0.0,1222.88,72547.0,2026-03-13 16:00,2.531,2.531,0.789,保护性平仓,2026-03-13 16:00,0,0.1722,2026
79,2026-03-09 20:00,2026-03-09 20:00,信号K触发,做多,68441.5,67623.0,1.196,1156.17,69449.1,2026-03-09 20:00,2.7,1.472,0.974,保护性平仓,2026-03-09 20:00,0,0.046,2026
80,2026-03-04 12:00,2026-03-04 16:00,挂单触发,做多,68972.9,68561.9,0.596,1406.66,74046.5,2026-03-05 00:00,7.999,7.356,5.828,KAMA跟踪(跌破KAMA),2026-03-06 08:00,10,0.3668,2026
81,2026-03-02 20:00,2026-03-02 20:00,信号K触发,做多,67333.0,67333.0,0.0,1297.26,69588.0,2026-03-02 20:00,3.349,3.349,1.396,保护性平仓,2026-03-02 20:00,0,0.3537,2026
82,2026-03-01 00:00,2026-03-01 04:00,挂单触发,做多,66095.2,66095.2,0.0,1189.48,67735.0,2026-03-01 04:00,2.481,2.481,0.669,保护性平仓,2026-03-01 04:00,0,-0.2922,2026
83,2026-02-27 16:00,2026-02-28 00:00,挂单触发,做空,66462.0,66462.0,0.0,1242.43,65080.0,2026-02-28 00:00,2.079,2.079,0.214,保护性平仓,2026-02-28 00:00,0,-0.1174,2026
84,2026-02-26 00:00,2026-02-26 00:00,信号K触发,做多,67548.0,66283.1,1.873,1107.32,69999.0,2026-02-26 04:00,5.606,3.629,3.871,成本线止损,2026-02-26 20:00,5,0.0,2026
85,2026-02-25 20:00,2026-02-25 20:00,信号K触发,做多,66283.1,66283.1,0.0,1107.32,67548.0,2026-02-25 20:00,1.908,1.908,0.234,保护性平仓,2026-02-25 20:00,0,-0.0254,2026
86,2026-02-22 20:00,2026-02-23 08:00,挂单触发,做空,67763.7,67763.7,0.0,919.41,62401.7,2026-02-24 20:00,7.913,7.913,6.646,KAMA跟踪(跌破KAMA),2026-02-25 08:00,12,2.0513,2026
87,2026-02-19 00:00,2026-02-19 20:00,挂单触发,做空,66666.2,66824.5,0.237,1215.7,65595.7,2026-02-19 20:00,1.839,1.606,0.02,保护性平仓,2026-02-19 20:00,0,-0.6201,2026
88,2026-02-16 00:00,2026-02-16 20:00,挂单触发,做空,68741.4,69212.2,0.685,1292.2,67250.0,2026-02-16 20:00,2.835,2.17,0.986,保护性平仓,2026-02-16 20:00,0,0.3208,2026
89,2026-02-13 20:00,2026-02-14 16:00,挂单触发,做多,68385.0,68385.0,0.0,1635.49,70557.7,2026-02-14 16:00,3.177,3.177,0.767,保护性平仓,2026-02-14 16:00,0,0.2717,2026
90,2026-02-11 12:00,2026-02-11 20:00,挂单触发,做空,67883.0,67883.0,0.0,1782.9,65718.5,2026-02-11 20:00,3.189,3.189,0.577,保护性平仓,2026-02-11 20:00,0,-0.2183,2026
91,2026-02-07 00:00,2026-02-07 00:00,信号K触发,做多,69157.9,68667.4,0.709,1997.6,71451.6,2026-02-07 00:00,4.055,3.317,1.113,保护性平仓,2026-02-07 00:00,0,0.0053,2026
92,2026-02-05 08:00,2026-02-05 08:00,信号K触发,做空,71838.0,75420.0,4.986,1781.88,65160.0,2026-02-06 00:00,13.604,9.296,11.513,固定止盈,2026-02-06 00:00,4,4.0791,2026
93,2026-02-04 00:00,2026-02-04 00:00,信号K触发,做空,77000.5,77566.5,0.735,1643.07,72889.2,2026-02-04 00:00,6.03,5.339,3.996,成本线止损,2026-02-04 16:00,4,-0.3381,2026
94,2026-01-31 20:00,2026-02-01 00:00,挂单触发,做空,81832.0,81832.0,0.0,1392.26,74555.0,2026-02-02 08:00,8.893,8.893,7.316,KAMA跟踪(跌破KAMA),2026-02-02 20:00,11,1.7631,2026
95,2026-01-29 20:00,2026-01-29 20:00,信号K触发,做空,87650.1,87650.1,0.0,1059.12,81000.0,2026-01-30 08:00,7.587,7.587,6.457,KAMA跟踪(跌破KAMA),2026-01-31 00:00,7,2.4708,2026
96,2026-01-29 08:00,2026-01-29 08:00,信号K触发,做空,88786.0,88786.0,0.0,946.02,87650.1,2026-01-29 08:00,1.279,1.279,0.216,保护性平仓,2026-01-29 08:00,0,-0.1725,2026
97,2026-01-28 04:00,2026-01-28 16:00,挂单触发,做多,88983.3,88983.3,0.0,966.84,90122.0,2026-01-28 16:00,1.28,1.28,0.191,保护性平仓,2026-01-28 16:00,0,0.0897,2026
98,2026-01-25 08:00,2026-01-25 16:00,挂单触发,做空,89116.9,89383.5,0.299,1067.05,88084.0,2026-01-25 16:00,1.454,1.159,0.263,保护性平仓,2026-01-25 16:00,0,-0.2011,2026
99,2026-01-19 08:00,2026-01-19 08:00,信号K触发,做空,93550.3,94819.5,1.357,861.13,87787.2,2026-01-21 04:00,7.417,6.16,6.568,KAMA跟踪(跌破KAMA),2026-01-21 20:00,15,4.8967,2026
100,2026-01-19 04:00,2026-01-19 04:00,信号K触发,做空,94819.5,94819.5,0.0,861.13,93550.3,2026-01-19 04:00,1.339,1.339,0.434,保护性平仓,2026-01-19 04:00,0,0.3999,2026
101,2026-01-14 00:00,2026-01-14 00:00,信号K触发,做多,93408.0,92299.0,1.187,906.93,97932.1,2026-01-15 04:00,6.103,4.843,5.071,KAMA跟踪(跌破KAMA),2026-01-15 20:00,11,2.9478,2026
102,2026-01-13 20:00,2026-01-13 20:00,信号K触发,做多,92676.6,92299.0,0.407,906.93,93408.0,2026-01-13 20:00,1.202,0.789,0.217,ATR止损,2026-01-13 20:00,0,-1.0,2026
103,2026-01-11 20:00,2026-01-12 08:00,挂单触发,做多,90818.0,90758.7,0.065,938.43,92488.0,2026-01-12 08:00,1.905,1.839,0.862,保护性平仓,2026-01-12 08:00,0,0.0736,2026
104,2026-01-07 00:00,2026-01-07 00:00,信号K触发,做空,93088.0,93201.0,0.121,867.33,91209.0,2026-01-07 00:00,2.137,2.019,1.218,保护性平仓,2026-01-07 00:00,0,0.313,2026
105,2026-01-05 20:00,2026-01-06 00:00,挂单触发,做多,93382.5,93382.5,0.0,802.08,94475.7,2026-01-06 00:00,1.171,1.171,0.309,ATR止损,2026-01-06 00:00,0,-1.0,2026
106,2026-01-05 08:00,2026-01-05 08:00,信号K触发,做多,91779.7,91779.7,0.0,799.15,93382.5,2026-01-05 08:00,1.746,1.746,0.868,保护性平仓,2026-01-05 08:00,0,0.3208,2026
107,2026-01-04 04:00,2026-01-04 08:00,挂单触发,做多,90456.0,90456.0,0.0,852.76,91597.6,2026-01-04 08:00,1.262,1.262,0.316,保护性平仓,2026-01-04 08:00,0,-0.1361,2026
108,2026-01-02 00:00,2026-01-02 08:00,挂单触发,做多,88079.3,88065.0,0.016,832.0,89088.0,2026-01-02 08:00,1.162,1.145,0.215,保护性平仓,2026-01-02 08:00,0,0.0028,2026
109,2025-12-30 20:00,2025-12-30 20:00,信号K触发,做多,88190.6,88150.0,0.046,915.78,89126.0,2025-12-30 20:00,1.107,1.061,0.068,保护性平仓,2025-12-30 20:00,0,-0.1081,2025
110,2025-12-29 08:00,2025-12-29 08:00,信号K触发,做多,88078.3,88078.3,0.0,750.7,90373.4,2025-12-29 12:00,2.606,2.606,1.739,ATR止损,2025-12-29 16:00,2,-1.0,2025
111,2025-12-25 20:00,2025-12-26 08:00,挂单触发,做多,88033.3,88033.3,0.0,1050.96,89432.0,2025-12-26 08:00,1.589,1.589,0.39,保护性平仓,2025-12-26 08:00,0,-0.2741,2025
112,2025-12-23 12:00,2025-12-23 12:00,信号K触发,做空,87738.3,88665.3,1.057,1085.2,86976.6,2025-12-23 12:00,1.905,0.868,0.689,保护性平仓,2025-12-23 12:00,0,0.045,2025
113,2025-12-22 16:00,2025-12-22 20:00,挂单触发,做多,89600.0,89050.0,0.614,1110.35,90599.0,2025-12-22 20:00,1.739,1.115,0.487,保护性平仓,2025-12-22 20:00,0,-0.425,2025
114,2025-12-18 00:00,2025-12-18 00:00,信号K触发,做空,86158.4,87015.8,0.995,1255.41,85261.3,2025-12-18 00:00,2.016,1.041,0.582,保护性平仓,2025-12-18 00:00,0,-0.1771,2025
115,2025-12-15 20:00,2025-12-16 00:00,挂单触发,做空,87504.3,87504.3,0.0,1083.35,85073.0,2025-12-16 00:00,2.778,2.778,1.56,保护性平仓,2025-12-16 00:00,0,0.2924,2025
116,2025-12-15 04:00,2025-12-15 04:00,信号K触发,做空,88412.8,89711.9,1.469,1134.38,87504.3,2025-12-15 04:00,2.461,1.028,1.212,保护性平仓,2025-12-15 04:00,0,0.4044,2025
117,2025-12-14 16:00,2025-12-14 16:00,信号K触发,做空,89711.9,89711.9,0.0,1134.38,88412.8,2025-12-14 16:00,1.448,1.448,0.186,保护性平仓,2025-12-14 16:00,0,-0.6441,2025
118,2025-12-11 08:00,2025-12-11 08:00,信号K触发,做空,91520.0,91520.0,0.0,1293.1,89321.0,2025-12-11 08:00,2.403,2.403,1.004,保护性平仓,2025-12-11 08:00,0,0.3045,2025
119,2025-12-09 20:00,2025-12-10 00:00,挂单触发,做多,92106.4,92106.4,0.0,1345.91,94555.0,2025-12-10 00:00,2.658,2.658,1.18,保护性平仓,2025-12-10 00:00,0,0.23,2025
120,2025-12-08 00:00,2025-12-08 00:00,信号K触发,做多,89940.3,89940.3,0.0,1234.21,91722.0,2025-12-08 00:00,1.981,1.981,0.6,保护性平仓,2025-12-08 00:00,0,0.1663,2025
121,2025-12-05 20:00,2025-12-06 00:00,挂单触发,做空,90822.5,90822.5,0.0,1468.46,87976.3,2025-12-06 00:00,3.134,3.134,1.542,保护性平仓,2025-12-06 00:00,0,-0.161,2025
122,2025-12-01 04:00,2025-12-01 08:00,挂单触发,做空,90363.0,90363.0,0.0,1184.02,83786.0,2025-12-01 20:00,7.278,7.278,6.047,KAMA跟踪(跌破KAMA),2025-12-02 04:00,5,2.0747,2025
123,2025-11-27 08:00,2025-11-27 08:00,信号K触发,做多,90655.4,88200.0,2.708,1583.77,93080.0,2025-11-28 20:00,5.533,2.675,3.671,KAMA跟踪(跌破KAMA),2025-11-29 00:00,10,0.5998,2025
124,2025-11-27 04:00,2025-11-27 04:00,信号K触发,做多,90362.7,88200.0,2.393,1583.77,90655.4,2025-11-27 04:00,2.784,0.324,0.971,保护性平仓,2025-11-27 04:00,0,0.4131,2025
125,2025-11-27 00:00,2025-11-27 00:00,信号K触发,做多,88200.0,88200.0,0.0,1583.77,90362.7,2025-11-27 00:00,2.452,2.452,0.645,保护性平仓,2025-11-27 00:00,0,0.0881,2025
126,2025-11-21 08:00,2025-11-21 08:00,信号K触发,做空,86066.6,91140.2,5.895,1681.22,80600.0,2025-11-21 20:00,11.565,6.352,9.903,KAMA跟踪(跌破KAMA),2025-11-23 08:00,12,2.2188,2025
127,2025-11-21 00:00,2025-11-21 00:00,信号K触发,做空,88564.4,88564.4,0.0,1684.45,86066.6,2025-11-21 00:00,2.82,2.82,0.936,保护性平仓,2025-11-21 00:00,0,-0.0002,2025
