突破K索引,突破K时间,起点KAMA值,ATR值,突破线价格,峰值价格,峰值K索引,终点K索引,涨跌幅%,持续K数,KAMA同向运行根数
173,2019-10-07 20:00,7993.04,144.49,8137.53,8611.27,189,195,5.82,22,22
467,2019-11-25 20:00,6976.98,192.24,7169.22,7803.96,491,500,8.85,33,33
605,2019-12-18 20:00,6709.09,100.59,6809.67,7590.4,632,636,11.46,31,31
699,2020-01-03 12:00,7087.83,80.83,7168.67,8335.28,730,732,16.27,33,33
745,2020-01-11 04:00,7934.5,152.6,8087.1,8825.0,769,771,9.12,26,28
840,2020-01-27 00:00,8431.26,111.88,8543.13,9525.67,865,878,11.5,38,39
1324,2020-04-16 16:00,6850.82,136.67,6987.49,7242.42,1339,1348,3.65,24,25
1361,2020-04-22 20:00,6942.91,124.75,7067.66,9306.03,1406,1408,31.67,47,48
1444,2020-05-06 16:00,8883.19,203.84,9087.03,9995.0,1453,1461,9.99,17,21
1809,2020-07-06 12:00,9110.39,80.08,9190.47,9436.08,1825,1829,2.67,20,20
1899,2020-07-21 12:00,9163.22,50.44,9213.66,11165.07,1943,1948,21.18,49,73
1900,2020-07-21 16:00,9212.29,57.7,9269.99,11174.78,1949,1949,20.55,49,71
1901,2020-07-21 20:00,9226.86,57.33,9284.19,11217.69,1950,1950,20.83,49,70
1911,2020-07-23 12:00,9371.23,65.8,9437.04,11231.87,1960,1960,19.02,49,60
1912,2020-07-23 16:00,9383.89,64.96,9448.85,11355.05,1961,1961,20.17,49,59
1915,2020-07-24 04:00,9486.04,73.93,9559.97,11373.99,1964,1964,18.98,49,56
1920,2020-07-25 00:00,9500.52,72.38,9572.9,11811.42,1969,1969,23.38,49,55
1925,2020-07-25 20:00,9512.32,73.54,9585.85,12026.41,1970,1971,25.46,46,50
2138,2020-08-30 08:00,11465.47,128.04,11593.52,12049.13,2153,2158,3.93,20,21
2375,2020-10-08 20:00,10703.65,86.66,10790.31,11413.28,2384,2398,5.77,23,23
2437,2020-10-19 04:00,11362.53,118.33,11480.86,13072.17,2460,2463,13.86,26,31
2580,2020-11-12 00:00,15374.21,352.64,15726.85,16432.35,2588,2596,4.49,16,20
2766,2020-12-13 00:00,18330.03,342.4,18672.44,23348.36,2795,2801,25.04,35,36
2870,2020-12-30 08:00,26908.64,729.64,27638.28,34472.24,2895,2901,24.73,31,33
2910,2021-01-06 00:00,32365.03,1341.25,33706.27,41399.98,2926,2938,22.83,28,28
3131,2021-02-11 20:00,45611.5,1571.48,47182.98,49144.99,3148,3152,4.16,21,22
3158,2021-02-16 08:00,47299.43,1429.45,48728.88,58181.35,3192,3194,19.4,36,39
3272,2021-03-07 08:00,47992.06,1564.61,49556.68,61432.39,3314,3319,23.96,47,49
3406,2021-03-29 16:00,55363.85,1253.2,56617.05,59979.99,3428,3439,5.94,33,35
3469,2021-04-09 04:00,56841.02,1043.22,57884.23,64623.03,3502,3503,11.64,34,36
3949,2021-06-28 04:00,32519.83,1307.4,33827.24,36375.62,3960,3965,7.53,16,21
4090,2021-07-21 16:00,30278.1,584.16,30862.27,39358.4,4122,4123,27.53,33,34
4182,2021-08-06 00:00,38536.47,921.12,39457.59,46448.42,4218,4222,17.72,40,41
4346,2021-09-02 08:00,48140.02,805.86,48945.88,52683.97,4375,4378,7.64,32,34
4514,2021-09-30 08:00,42311.67,984.47,43296.14,48774.37,4536,4538,12.65,24,24
4575,2021-10-10 12:00,54274.33,1112.71,55387.05,57501.9,4584,4590,3.82,15,22
4596,2021-10-14 00:00,55742.31,1222.7,56965.01,61782.64,4611,4617,8.46,21,22
4622,2021-10-18 08:00,60770.75,1164.75,61935.49,66914.74,4637,4643,8.04,21,22
5279,2022-02-04 20:00,37245.89,746.77,37992.66,44842.26,5301,5303,18.03,24,28
5552,2022-03-22 08:00,41291.05,650.72,41941.77,47923.0,5592,5593,14.26,41,41
6115,2022-06-24 04:00,20180.7,756.95,20937.65,21699.5,6130,6137,3.64,22,24
6186,2022-07-06 00:00,19805.94,443.49,20249.43,22119.7,6200,6208,9.24,22,22
6235,2022-07-14 04:00,19691.82,481.34,20173.16,24153.4,6275,6280,19.73,45,45
6318,2022-07-28 00:00,21147.15,463.11,21610.26,24522.8,6335,6337,13.48,19,20
6578,2022-09-09 08:00,19103.36,315.02,19418.37,22516.3,6604,6605,15.95,27,34
7025,2022-11-22 20:00,15932.29,267.78,16200.06,16703.2,7034,7051,3.11,26,26
7231,2022-12-27 04:00,16758.37,146.9,16905.26,16912.9,7231,7235,0.05,4,21
7296,2023-01-07 00:00,16773.73,91.62,16865.35,20996.3,7340,7345,24.49,49,73
7303,2023-01-08 04:00,16841.88,87.33,16929.21,21084.3,7352,7352,24.54,49,65
7307,2023-01-08 20:00,16868.32,84.11,16952.43,21314.4,7356,7356,25.73,49,64
7313,2023-01-09 20:00,17083.78,91.46,17175.24,21337.2,7362,7362,24.23,49,55
7686,2023-03-13 00:00,20095.62,374.09,20469.71,25911.3,7697,7703,26.58,17,23
7728,2023-03-20 00:00,27037.42,662.79,27700.21,28586.2,7745,7746,3.2,18,20
7962,2023-04-28 00:00,28591.36,580.81,29172.17,29659.9,7962,7982,1.67,20,24
8066,2023-05-15 08:00,26648.17,451.99,27100.15,27410.1,8070,8074,1.14,8,21
8135,2023-05-26 20:00,26373.3,286.25,26659.54,28055.7,8149,8153,5.24,18,23
8202,2023-06-07 00:00,25877.98,284.03,26162.01,27221.5,8203,8223,4.05,21,22
8363,2023-07-03 20:00,30446.49,438.15,30884.64,31254.1,8364,8370,1.2,7,20
8786,2023-09-12 08:00,25429.77,235.11,25664.88,26679.9,8801,8807,3.95,21,21
8885,2023-09-28 20:00,26319.75,234.23,26553.99,28299.1,8907,8911,6.57,26,29
9012,2023-10-20 00:00,28354.78,344.72,28699.5,34841.4,9047,9053,21.4,41,43
9126,2023-11-08 00:00,34949.91,402.48,35352.4,37330.4,9145,9163,5.6,37,37
9199,2023-11-20 04:00,36374.84,598.61,36973.45,37584.5,9204,9209,1.65,10,20
9216,2023-11-23 00:00,36712.78,545.72,37258.49,38217.3,9227,9240,2.57,24,24
9267,2023-12-01 12:00,37658.18,412.33,38070.51,44081.7,9295,9304,15.79,37,38
9373,2023-12-19 04:00,41789.1,622.44,42411.54,44079.0,9383,9409,3.93,36,36
9384,2023-12-21 00:00,42572.02,661.34,43233.37,44044.3,9392,9409,1.88,25,25
9604,2024-01-26 16:00,39629.5,660.19,40289.7,42456.6,9616,9618,5.38,14,27
9678,2024-02-08 00:00,42876.53,452.54,43329.06,50019.9,9711,9713,15.44,35,37
9715,2024-02-14 04:00,48842.17,717.82,49559.99,52379.9,9722,9737,5.69,22,23
9858,2024-03-09 00:00,67065.73,1567.94,68633.66,73399.9,9888,9893,6.94,35,37
10033,2024-04-07 04:00,67503.63,1290.03,68793.66,72472.6,10042,10047,5.35,14,20
10124,2024-04-22 08:00,63887.42,1645.1,65532.51,66778.0,10129,10139,1.9,15,24
10193,2024-05-03 20:00,59163.79,1224.89,60388.68,64509.6,10209,10212,6.82,19,20
10377,2024-06-03 12:00,68197.25,697.9,68895.15,71625.1,10391,10398,3.96,21,22
10655,2024-07-19 20:00,64055.53,1018.47,65074.0,68193.5,10674,10677,4.79,22,23
10775,2024-08-08 20:00,55783.75,1713.09,57496.84,61659.8,10777,10794,7.24,19,22
10854,2024-08-22 00:00,59241.26,964.13,60205.39,64269.3,10869,10883,6.75,29,30
10968,2024-09-10 00:00,54793.75,878.62,55672.37,60456.2,10993,11005,8.59,37,42
11015,2024-09-17 20:00,58585.14,763.99,59349.13,63723.3,11030,11044,7.37,29,31
11068,2024-09-26 16:00,63247.07,778.97,64026.04,66041.0,11078,11090,3.15,22,24
11174,2024-10-14 08:00,62545.27,705.7,63250.97,67872.3,11188,11194,7.31,20,22
11201,2024-10-18 20:00,67090.9,880.17,67971.07,69020.1,11215,11219,1.54,18,21
11312,2024-11-06 08:00,68998.66,985.24,69983.9,89095.4,11349,11351,27.31,39,40
11370,2024-11-16 00:00,88158.11,2108.47,90266.58,99252.6,11409,11418,9.95,48,50
11442,2024-11-28 00:00,94178.34,1592.48,95770.82,98076.2,11453,11470,2.41,28,29
11540,2024-12-14 08:00,100151.65,1595.26,101746.9,106824.4,11558,11564,4.99,24,26
11655,2025-01-02 12:00,94249.53,1304.09,95553.62,102180.4,11683,11687,6.94,32,33
11728,2025-01-14 16:00,93476.49,1471.23,94947.71,106247.9,11760,11761,11.9,33,36
11789,2025-01-24 20:00,103337.97,2088.36,105426.33,105821.8,11789,11803,0.38,14,20
11811,2025-01-28 12:00,100897.13,1822.38,102719.51,105659.8,11826,11832,2.86,21,23
12249,2025-04-11 12:00,79067.6,1981.95,81049.56,85691.3,12273,12276,5.73,27,29
12308,2025-04-21 08:00,84507.32,802.81,85310.13,94102.5,12321,12326,10.31,18,20
12334,2025-04-25 16:00,92821.56,1198.55,94020.11,95229.2,12336,12349,1.29,15,20
12403,2025-05-07 04:00,94703.83,902.87,95606.7,104788.8,12427,12437,9.6,34,35
12480,2025-05-20 00:00,103752.89,1276.96,105029.85,111755.9,12494,12502,6.4,22,23
12587,2025-06-06 20:00,103537.29,1156.57,104693.86,110235.4,12613,12618,5.29,31,31
12786,2025-07-10 00:00,108566.01,772.01,109338.02,118072.7,12798,12803,7.99,17,20
12958,2025-08-07 16:00,114352.05,1038.01,115390.06,121700.1,12980,12984,5.47,26,31
13163,2025-09-10 20:00,111828.69,948.88,112777.57,116561.1,13176,13187,3.35,24,26
13301,2025-10-03 20:00,119900.5,1004.07,120904.58,125357.3,13320,13325,3.68,24,25
13778,2025-12-22 08:00,87227.46,1499.84,88727.31,89905.2,13780,13782,1.33,4,21
13855,2026-01-04 04:00,89705.92,852.76,90558.69,94248.6,13866,13872,4.07,17,20
14057,2026-02-06 20:00,65504.82,2304.11,67808.93,71381.0,14070,14084,5.27,27,28
14191,2026-03-01 04:00,65224.36,1226.08,66450.44,73580.2,14214,14224,10.73,33,34
14264,2026-03-13 08:00,69468.98,1223.26,70692.24,74846.4,14287,14296,5.88,32,36
14419,2026-04-08 04:00,68864.65,853.8,69718.45,73635.9,14442,14444,5.62,25,26
14504,2026-04-22 08:00,75303.85,993.38,76297.23,79234.3,14507,14535,3.85,31,32
14508,2026-04-23 00:00,76639.4,1035.99,77675.39,79065.1,14534,14535,1.79,27,27
14576,2026-05-04 08:00,78318.27,642.94,78961.21,82485.4,14590,14597,4.46,21,22
14808,2026-06-12 00:00,62111.92,1175.42,63287.34,64515.0,14822,14825,1.94,17,21
14930,2026-07-02 08:00,59777.87,862.07,60639.93,63268.1,14946,14950,4.33,20,23
15126,2026-08-04 00:00,63213.64,551.74,63765.37,65207.7,15161,15167,2.26,41,42
