序号,信号时间,方向,6K极值,入场基准,基准类型,回调偏移%,ATR,ATR%,是否成交,是否确认,初始止损,止盈目标,出场时间,出场价,持仓K数,R值,出场原因,是否加仓,加仓价,MFE%,MAE%,是否歧义,年份
1,2019-09-10 20:00,做空,10183.31,10183.31,回调基准,0.0,276.37,2.714,成交,弱突破,,,2019-09-10 20:00,10179.1,0,0.015,弱突破平仓,否,,0.0,0.0,否,2019
2,2019-09-11 00:00,做空,10167.91,10183.31,回调基准,0.151,267.69,2.629,成交,确认,10451.0,8961.31,2019-09-12 00:00,10120.92,6,0.233,KAMA跟踪止损,否,,2.94,-1.08,否,2019
3,2019-09-12 20:00,做多,10205.46,10205.46,回调基准,0.0,219.29,2.149,成交,确认,9986.17,12450.66,2019-09-14 00:00,10218.17,7,0.058,KAMA跟踪止损,否,,2.4,-0.19,否,2019
4,2019-09-14 20:00,做多,10355.85,10355.85,回调基准,0.0,169.99,1.642,成交,弱突破,,,2019-09-14 20:00,10358.0,0,0.013,弱突破平仓,否,,0.0,0.0,否,2019
5,2019-09-16 20:00,做空,10252.28,10252.28,回调基准,0.0,130.52,1.273,成交,确认,10382.8,9022.01,2019-09-17 12:00,10225.02,4,0.209,KAMA跟踪止损,否,,1.67,-0.75,否,2019
6,2019-09-19 08:00,做空,10097.92,10097.92,回调基准,0.0,106.74,1.057,成交,确认,10204.66,8886.17,2019-09-20 00:00,10008.77,4,-0.443,KAMA跟踪止损,是,9872.38,3.14,-0.11,否,2019
7,2019-09-20 04:00,做多,10211.9,10211.9,回调基准,0.0,132.5,1.298,成交,弱突破,,,2019-09-20 04:00,10245.3,0,0.252,弱突破平仓,否,,0.0,0.0,否,2019
8,2019-09-22 08:00,做空,9912.63,9912.63,回调基准,0.0,122.64,1.237,成交,弱突破,,,2019-09-22 08:00,9872.07,0,0.331,弱突破平仓,否,,0.0,0.0,否,2019
9,2019-09-23 20:00,做空,9878.51,9932.01,回调基准,0.542,117.27,1.181,成交,确认,10049.28,8740.17,2019-09-25 00:00,8740.17,7,18.364,止盈,是,9701.96,12.95,0.48,否,2019
10,2019-09-26 20:00,做空,8223.71,8223.71,回调基准,0.0,200.85,2.442,成交,确认,8424.56,7236.86,2019-09-28 04:00,8202.83,8,0.104,KAMA跟踪止损,否,,6.36,-0.44,否,2019
11,2019-09-29 20:00,做空,8001.14,8001.14,回调基准,0.0,183.36,2.292,成交,弱突破,,,2019-09-29 20:00,7965.7,0,0.193,弱突破平仓,否,,0.0,0.0,否,2019
12,2019-09-30 12:00,做空,7888.98,7888.98,回调基准,0.0,177.5,2.25,成交,确认,8066.48,6942.3,2019-09-30 16:00,8066.48,1,-1.0,前3K止损,否,,1.44,-2.6,否,2019
13,2019-09-30 20:00,做多,8127.06,8127.06,回调基准,0.0,188.79,2.323,成交,确认,7938.27,9915.01,2019-10-02 08:00,8220.92,9,0.497,KAMA跟踪止损,否,,4.58,0.43,否,2019
14,2019-10-02 12:00,做空,8201.0,8201.0,回退6K极值,,185.67,2.264,成交,弱突破,,,2019-10-02 12:00,8194.52,0,0.035,弱突破平仓,否,,0.0,0.0,否,2019
15,2019-10-03 20:00,做空,8177.29,8177.29,回调基准,0.0,158.92,1.943,成交,弱突破,,,2019-10-03 20:00,8104.71,0,0.457,弱突破平仓,否,,0.0,0.0,否,2019
16,2019-10-05 16:00,做空,8080.81,8080.81,回调基准,0.0,136.39,1.688,成交,弱突破,,,2019-10-05 16:00,8077.76,0,0.022,弱突破平仓,否,,0.0,0.0,否,2019
17,2019-10-06 12:00,做空,8009.0,8010.0,回调基准,0.012,126.21,1.576,成交,弱突破,,,2019-10-06 12:00,7958.19,0,0.411,弱突破平仓,否,,0.0,0.0,否,2019
18,2019-10-09 20:00,做多,8242.52,8242.52,回调基准,0.0,128.28,1.556,成交,确认,8114.24,10055.87,2019-10-10 20:00,8424.97,6,0.242,KAMA跟踪止损,是,8576.37,5.13,2.15,否,2019
19,2019-10-11 12:00,做空,8419.34,8419.34,回调基准,0.0,134.46,1.597,成交,弱突破,,,2019-10-11 12:00,8385.26,0,0.253,弱突破平仓,否,,0.0,0.0,否,2019
20,2019-10-13 20:00,做多,8397.45,8397.45,回调基准,0.0,116.32,1.385,成交,弱突破,,,2019-10-13 20:00,8401.39,0,0.034,弱突破平仓,否,,0.0,0.0,否,2019
21,2019-10-14 04:00,做空,8277.32,8277.32,回调基准,0.0,112.52,1.359,成交,弱突破,,,2019-10-14 04:00,8274.66,0,0.024,弱突破平仓,否,,0.0,0.0,否,2019
22,2019-10-16 00:00,做空,8205.02,8205.02,回调基准,0.0,107.7,1.313,成交,弱突破,,,2019-10-16 00:00,8177.46,0,0.256,弱突破平仓,否,,0.0,0.0,否,2019
23,2019-10-16 16:00,做空,8080.0,8080.0,回调基准,0.0,105.34,1.304,成交,弱突破,,,2019-10-16 16:00,8060.33,0,0.187,弱突破平仓,否,,0.0,0.0,否,2019
24,2019-10-18 12:00,做空,7930.0,7930.0,回调基准,0.0,97.74,1.233,成交,弱突破,,,2019-10-18 12:00,7909.6,0,0.209,弱突破平仓,否,,0.0,0.0,否,2019
25,2019-10-23 04:00,做空,8160.0,8164.78,回调基准,0.059,92.66,1.135,成交,确认,8257.44,7185.01,2019-10-24 00:00,7185.01,5,18.864,止盈,是,7953.2,12.15,1.43,否,2019
26,2019-10-25 16:00,做多,7495.81,7495.81,回调基准,0.0,111.27,1.484,成交,确认,7384.54,9144.89,2019-10-26 08:00,9144.89,4,22.732,止盈,是,8264.52,38.86,1.04,否,2019
27,2019-10-28 00:00,做多,9666.0,9666.0,回退6K极值,,303.54,3.14,成交,弱突破,,,2019-10-28 00:00,9719.99,0,0.178,弱突破平仓,否,,0.0,0.0,否,2019
28,2019-10-29 04:00,做空,9254.47,9254.47,回退6K极值,,300.28,3.245,成交,弱突破,,,2019-10-29 04:00,9217.36,0,0.124,弱突破平仓,否,,0.0,0.0,否,2019
29,2019-11-02 20:00,做多,9270.0,9270.0,回调基准,0.0,190.33,2.053,成交,弱突破,,,2019-11-02 20:00,9320.0,0,0.263,弱突破平仓,否,,0.0,0.0,否,2019
30,2019-11-03 16:00,做空,9200.01,9200.01,回调基准,0.0,168.51,1.832,成交,弱突破,,,2019-11-03 16:00,9160.31,0,0.236,弱突破平仓,否,,0.0,0.0,否,2019
31,2019-11-04 16:00,做多,9250.4,9250.4,回调基准,0.0,150.58,1.628,成交,弱突破,,,2019-11-04 16:00,9259.38,0,0.06,弱突破平仓,否,,0.0,0.0,否,2019
32,2019-11-04 20:00,做多,9268.0,9240.0,回调基准,0.302,148.55,1.608,成交,弱突破,,,2019-11-04 20:00,9292.66,0,0.355,弱突破平仓,否,,0.0,0.0,否,2019
33,2019-11-07 16:00,做空,9220.0,9259.48,回调基准,0.428,131.63,1.422,成交,弱突破,,,2019-11-07 16:00,9206.51,0,0.402,弱突破平仓,否,,0.0,0.0,否,2019
34,2019-11-08 16:00,做空,9091.2,9091.2,回调基准,0.0,126.52,1.392,成交,弱突破,,,2019-11-08 16:00,9033.3,0,0.458,弱突破平仓,否,,0.0,0.0,否,2019
35,2019-11-11 00:00,做多,8889.02,8889.02,回调基准,0.0,118.01,1.328,成交,确认,8771.01,10844.6,2019-11-11 12:00,8771.01,3,-1.0,前3K止损,否,,2.37,-1.9,否,2019
36,2019-11-14 12:00,做空,8712.0,8712.0,回调基准,0.0,107.17,1.23,成交,弱突破,,,2019-11-14 12:00,8667.46,0,0.416,弱突破平仓,否,,0.0,0.0,否,2019
37,2019-11-15 20:00,做空,8515.0,8605.85,回调基准,1.067,104.97,1.22,成交,确认,8710.82,7573.15,2019-11-17 16:00,8524.57,11,-0.154,KAMA跟踪止损,是,8427.14,2.91,0.21,否,2019
38,2019-11-18 20:00,做空,8417.0,8417.0,回调基准,0.0,95.59,1.136,成交,弱突破,,,2019-11-18 20:00,8410.0,0,0.073,弱突破平仓,否,,0.0,0.0,否,2019
39,2019-11-19 00:00,做空,8372.07,8417.0,回调基准,0.537,95.48,1.134,成交,确认,8512.48,7406.96,2019-11-20 00:00,8149.97,6,3.145,KAMA跟踪止损,是,8183.26,4.95,2.11,否,2019
40,2019-11-21 16:00,做空,8037.5,8037.5,回调基准,0.0,96.51,1.201,成交,确认,8134.01,7073.0,2019-11-22 16:00,7668.97,6,3.369,KAMA跟踪止损,是,7625.58,13.9,1.52,是,2019
41,2019-11-24 20:00,做空,7079.13,7132.27,回调基准,0.751,164.57,2.307,成交,确认,7296.84,6276.4,2019-11-25 20:00,6974.71,6,-0.948,KAMA跟踪止损,是,6661.2,8.72,-2.09,否,2019
42,2019-11-27 20:00,做多,7221.77,7221.77,回调基准,0.0,194.13,2.688,成交,弱突破,,,2019-11-27 20:00,7300.02,0,0.403,弱突破平仓,否,,0.0,0.0,否,2019
43,2019-11-29 20:00,做多,7643.0,7643.0,回调基准,0.0,185.19,2.423,成交,确认,7457.81,9324.46,2019-11-30 16:00,7643.0,5,0.0,KAMA跟踪止损,否,,2.71,-0.25,否,2019
44,2019-12-04 08:00,做空,7231.35,7231.35,回调基准,0.0,138.88,1.921,成交,确认,7370.23,6363.59,2019-12-04 20:00,7370.23,3,-1.0,前3K止损,否,,2.23,-7.86,否,2019
45,2019-12-08 08:00,做空,7467.44,7467.44,回调基准,0.0,132.75,1.778,成交,弱突破,,,2019-12-08 08:00,7403.21,0,0.484,弱突破平仓,否,,0.0,0.0,否,2019
46,2019-12-09 20:00,做空,7434.57,7493.63,回调基准,0.794,111.57,1.489,成交,确认,7605.2,6594.39,2019-12-11 20:00,7251.21,12,2.009,KAMA跟踪止损,是,7232.93,5.02,0.52,否,2019
47,2019-12-14 16:00,做空,7203.43,7203.43,回调基准,0.0,79.79,1.108,成交,弱突破,,,2019-12-14 16:00,7183.45,0,0.25,弱突破平仓,否,,0.0,0.0,否,2019
48,2019-12-17 00:00,做空,7037.03,7037.03,回调基准,0.0,79.89,1.135,成交,确认,7116.92,6192.59,2019-12-18 20:00,6707.45,11,6.379,KAMA跟踪止损,是,6887.54,8.67,1.38,否,2019
49,2019-12-24 04:00,做空,7342.28,7375.0,回调基准,0.446,118.87,1.612,成交,确认,7493.87,6490.0,2019-12-24 20:00,7375.0,4,0.0,KAMA跟踪止损,否,,2.03,-0.81,否,2019
50,2019-12-27 00:00,做多,7265.0,7265.0,回调基准,0.0,101.02,1.39,成交,弱突破,,,2019-12-27 00:00,7293.31,0,0.28,弱突破平仓,否,,0.0,0.0,否,2019
51,2019-12-27 16:00,做空,7151.0,7151.0,回调基准,0.0,106.61,1.491,成交,弱突破,,,2019-12-27 16:00,7132.01,0,0.178,弱突破平仓,否,,0.0,0.0,否,2019
52,2019-12-28 08:00,做多,7270.0,7238.16,回调基准,0.438,106.92,1.477,成交,弱突破,,,2019-12-28 08:00,7284.59,0,0.434,弱突破平仓,否,,0.0,0.0,否,2019
53,2019-12-29 20:00,做多,7359.15,7359.15,回调基准,0.0,89.83,1.221,成交,弱突破,,,2019-12-29 20:00,7391.22,0,0.357,弱突破平仓,否,,0.0,0.0,否,2019
54,2019-12-30 20:00,做空,7287.25,7322.26,回调基准,0.48,92.33,1.261,成交,确认,7414.59,6443.59,2019-12-31 20:00,7313.39,6,0.096,KAMA跟踪止损,否,,1.92,0.04,否,2019
55,2020-01-01 00:00,做空,7181.78,7190.0,回调基准,0.114,85.35,1.187,成交,弱突破,,,2020-01-01 00:00,7168.24,0,0.255,弱突破平仓,否,,0.0,0.0,否,2019
56,2020-01-02 08:00,做空,7170.15,7170.15,回调基准,0.0,75.94,1.059,成交,确认,7246.09,6309.73,2020-01-03 12:00,7086.8,7,-0.316,KAMA跟踪止损,是,6979.44,4.28,-1.81,否,2020
57,2020-01-06 08:00,做多,7495.0,7495.0,回调基准,0.0,93.03,1.241,成交,弱突破,,,2020-01-06 08:00,7538.65,0,0.469,弱突破平仓,否,,0.0,0.0,否,2020
58,2020-01-07 04:00,做多,7611.81,7580.08,回调基准,0.417,96.04,1.267,成交,确认,7484.04,9247.7,2020-01-09 00:00,8141.71,11,8.38,KAMA跟踪止损,是,7898.59,11.72,2.02,否,2020
59,2020-01-10 20:00,做多,8006.83,8006.83,回调基准,0.0,152.6,1.906,成交,弱突破,,,2020-01-10 20:00,8066.68,0,0.392,弱突破平仓,否,,0.0,0.0,否,2020
60,2020-01-11 04:00,做多,8145.41,8006.83,回调基准,1.701,162.63,2.031,成交,确认,7844.2,9768.33,2020-01-12 04:00,8010.19,6,0.021,KAMA跟踪止损,否,,3.56,-0.04,否,2020
61,2020-01-14 08:00,做多,8200.0,8200.0,回调基准,0.0,127.66,1.557,成交,确认,8072.34,10004.0,2020-01-15 12:00,8671.82,7,4.92,KAMA跟踪止损,是,8515.53,8.76,3.27,否,2020
62,2020-01-17 12:00,做多,8843.49,8793.77,回调基准,0.562,155.69,1.77,成交,确认,8638.08,10728.4,2020-01-19 16:00,8891.39,13,-1.131,KAMA跟踪止损,是,9165.18,4.68,-3.28,否,2020
63,2020-01-22 00:00,做空,8608.71,8612.51,回调基准,0.044,137.05,1.591,成交,确认,8749.56,7579.01,2020-01-22 04:00,8749.56,1,-1.0,前3K止损,否,,0.91,-2.06,否,2020
64,2020-01-23 16:00,做空,8504.0,8504.0,回退6K极值,,129.26,1.52,成交,确认,8633.26,7483.52,2020-01-24 20:00,8444.39,7,0.461,KAMA跟踪止损,否,,3.02,-0.19,否,2020
65,2020-01-26 16:00,做多,8425.0,8390.0,回调基准,0.415,112.42,1.34,成交,确认,8277.58,10235.8,2020-01-27 16:00,8582.95,6,1.876,KAMA跟踪止损,是,8565.04,4.46,0.62,否,2020
66,2020-01-27 20:00,做多,8764.0,8764.0,回退6K极值,,110.61,1.262,成交,弱突破,,,2020-01-27 20:00,8780.28,0,0.147,弱突破平仓,否,,0.0,0.0,否,2020
67,2020-01-28 00:00,做多,8794.13,8794.13,回退6K极值,,109.44,1.244,成交,确认,8684.69,10728.84,2020-01-28 16:00,8954.09,4,-0.096,KAMA跟踪止损,是,9124.53,4.35,1.15,否,2020
68,2020-01-29 04:00,做多,9207.81,9176.68,回调基准,0.338,134.36,1.464,成交,确认,9042.32,11195.55,2020-01-30 08:00,9223.66,7,-0.962,KAMA跟踪止损,是,9399.96,3.09,0.37,否,2020
69,2020-01-31 00:00,做多,9460.52,9460.52,回调基准,0.0,142.28,1.504,成交,弱突破,,,2020-01-31 00:00,9515.38,0,0.386,弱突破平仓,否,,0.0,0.0,否,2020
70,2020-02-02 08:00,做空,9306.0,9306.0,回调基准,0.0,129.36,1.39,成交,弱突破,,,2020-02-02 08:00,9274.37,0,0.245,弱突破平仓,否,,0.0,0.0,否,2020
71,2020-02-02 16:00,做多,9438.07,9438.07,回调基准,0.0,135.26,1.433,成交,弱突破,,,2020-02-02 16:00,9442.87,0,0.035,弱突破平仓,否,,0.0,0.0,否,2020
72,2020-02-03 20:00,做空,9290.0,9290.0,回调基准,0.0,136.18,1.466,成交,弱突破,,,2020-02-03 20:00,9283.16,0,0.05,弱突破平仓,否,,0.0,0.0,否,2020
73,2020-02-04 16:00,做空,9226.4,9250.0,回调基准,0.256,127.65,1.38,成交,弱突破,,,2020-02-04 16:00,9193.76,0,0.441,弱突破平仓,否,,0.0,0.0,否,2020
74,2020-02-05 16:00,做多,9307.78,9305.0,回调基准,0.03,120.41,1.294,成交,确认,9184.59,11352.1,2020-02-07 04:00,9675.07,9,4.525,KAMA跟踪止损,是,9500.27,6.22,1.27,否,2020
75,2020-02-08 08:00,做空,9736.66,9743.21,回调基准,0.067,124.85,1.281,成交,弱突破,,,2020-02-08 08:00,9726.32,0,0.135,弱突破平仓,否,,0.0,0.0,否,2020
76,2020-02-09 04:00,做多,9898.57,9840.0,回调基准,0.592,121.11,1.231,成交,确认,9718.89,12004.8,2020-02-10 12:00,10056.22,8,1.764,KAMA跟踪止损,是,10058.79,3.8,-0.91,否,2020
77,2020-02-11 08:00,做空,9750.0,9750.0,回调基准,0.0,133.29,1.367,成交,弱突破,,,2020-02-11 08:00,9749.24,0,0.006,弱突破平仓,否,,0.0,0.0,否,2020
78,2020-02-11 20:00,做多,9931.89,9931.89,回调基准,0.0,127.88,1.288,成交,确认,9804.01,12116.91,2020-02-13 16:00,10276.4,11,2.607,KAMA跟踪止损,是,10287.46,5.85,1.7,否,2020
79,2020-02-15 20:00,做空,10203.98,10233.0,回调基准,0.284,145.71,1.424,成交,确认,10378.71,9005.04,2020-02-17 04:00,9988.04,8,1.112,KAMA跟踪止损,是,9905.12,5.93,1.3,否,2020
80,2020-02-18 20:00,做多,9821.0,9821.0,回退6K极值,,166.41,1.694,成交,弱突破,,,2020-02-18 20:00,9837.99,0,0.102,弱突破平仓,否,,0.0,0.0,否,2020
81,2020-02-19 00:00,做多,9876.4,9876.4,回退6K极值,,172.01,1.742,成交,确认,9704.39,12049.21,2020-02-20 04:00,10048.03,7,0.264,KAMA跟踪止损,是,10174.32,4.15,-5.91,否,2020
82,2020-02-21 08:00,做多,9700.0,9654.64,回调基准,0.468,194.67,2.016,成交,弱突破,,,2020-02-21 08:00,9709.82,0,0.283,弱突破平仓,否,,0.0,0.0,否,2020
83,2020-02-23 08:00,做多,9710.7,9710.7,回调基准,0.0,147.14,1.515,成交,确认,9563.56,11847.05,2020-02-24 08:00,9823.66,6,-0.044,KAMA跟踪止损,是,9943.12,3.17,-1.55,否,2020
84,2020-02-25 20:00,做空,9487.38,9487.38,回调基准,0.0,151.77,1.6,成交,确认,9639.15,8348.89,2020-02-27 20:00,8873.35,12,6.059,KAMA跟踪止损,是,9178.92,10.05,0.22,否,2020
85,2020-02-28 16:00,做空,8684.46,8742.2,回调基准,0.665,178.68,2.044,成交,确认,8920.88,7693.14,2020-02-29 08:00,8742.2,4,0.0,KAMA跟踪止损,否,,3.34,-0.76,否,2020
86,2020-03-01 04:00,做空,8576.13,8576.13,回调基准,0.0,173.87,2.027,成交,弱突破,,,2020-03-01 04:00,8531.98,0,0.254,弱突破平仓,否,,0.0,0.0,否,2020
87,2020-03-02 20:00,做多,8779.88,8762.24,回调基准,0.201,163.78,1.869,成交,弱突破,,,2020-03-02 20:00,8828.53,0,0.405,弱突破平仓,否,,0.0,0.0,否,2020
88,2020-03-05 08:00,做多,8853.88,8853.88,回调基准,0.0,139.52,1.576,成交,弱突破,,,2020-03-05 08:00,8878.52,0,0.177,弱突破平仓,否,,0.0,0.0,否,2020
89,2020-03-08 00:00,做空,9016.0,9016.0,回调基准,0.0,116.94,1.297,成交,确认,9132.94,7934.08,2020-03-09 12:00,7934.08,9,16.287,止盈,是,8756.73,14.9,0.93,否,2020
90,2020-03-10 16:00,做多,7996.28,7996.28,回调基准,0.0,171.17,2.141,成交,弱突破,,,2020-03-10 16:00,8068.62,0,0.423,弱突破平仓,否,,0.0,0.0,否,2020
91,2020-03-12 12:00,做空,7575.0,7575.0,回退6K极值,,194.49,2.568,成交,确认,7769.49,6666.0,2020-03-12 16:00,6666.0,1,1.447,止盈,是,6038.38,31.36,1.39,否,2020
92,2020-03-13 04:00,做空,5199.17,5199.17,回调基准,0.0,317.32,6.103,成交,确认,5516.49,4575.27,2020-03-13 08:00,4575.27,1,1.966,止盈,否,,30.34,-6.36,是,2020
93,2020-03-16 12:00,做空,5169.6,5173.15,回调基准,0.069,416.82,8.057,成交,确认,5589.97,4552.37,2020-03-16 16:00,4552.37,1,1.489,止盈,否,,14.68,4.51,否,2020
94,2020-03-19 16:00,做多,5448.07,5448.07,回退6K极值,,337.78,6.2,成交,弱突破,,,2020-03-19 16:00,5616.23,0,0.498,弱突破平仓,否,,0.0,0.0,否,2020
95,2020-03-19 20:00,做多,5660.0,5660.0,回退6K极值,,335.64,5.93,成交,确认,5324.36,6905.2,2020-03-20 16:00,6905.2,5,5.788,止盈,是,6207.57,22.1,2.12,否,2020
96,2020-03-23 04:00,做空,5855.68,6073.02,回调基准,3.712,320.52,5.278,成交,确认,6393.54,5344.26,2020-03-23 20:00,6073.02,4,0.0,KAMA跟踪止损,否,,6.64,-9.01,否,2020
97,2020-03-24 16:00,做多,6689.51,6619.9,回调基准,1.041,313.31,4.733,成交,弱突破,,,2020-03-24 16:00,6732.6,0,0.36,弱突破平仓,否,,0.0,0.0,否,2020
98,2020-03-27 08:00,做多,6777.5,6777.5,回调基准,0.0,248.42,3.665,成交,弱突破,,,2020-03-27 08:00,6790.17,0,0.051,弱突破平仓,否,,0.0,0.0,否,2020
99,2020-03-28 04:00,做空,6566.0,6566.0,回退6K极值,,219.76,3.347,成交,确认,6785.76,5778.08,2020-03-30 12:00,6125.55,14,1.938,KAMA跟踪止损,是,6111.06,10.9,3.22,否,2020
100,2020-04-01 20:00,做空,6240.0,6320.0,回调基准,1.282,170.43,2.697,成交,确认,6490.43,5561.6,2020-04-02 04:00,6490.43,2,-1.0,前3K止损,否,,2.85,-5.9,否,2020
101,2020-04-02 20:00,做多,6750.0,6750.0,回调基准,0.0,177.94,2.636,成交,弱突破,,,2020-04-02 20:00,6801.0,0,0.287,弱突破平仓,否,,0.0,0.0,否,2020
102,2020-04-09 16:00,做空,7192.0,7192.0,回调基准,0.0,157.45,2.189,成交,弱突破,,,2020-04-09 16:00,7179.77,0,0.078,弱突破平仓,否,,0.0,0.0,否,2020
103,2020-04-10 12:00,做空,7105.98,7105.98,回调基准,0.0,154.76,2.178,成交,确认,7260.74,6253.26,2020-04-12 20:00,6950.62,14,-0.185,KAMA跟踪止损,是,6766.65,5.14,1.1,否,2020
104,2020-04-16 16:00,做多,6984.7,6878.02,回调基准,1.527,148.27,2.156,成交,确认,6729.75,8391.18,2020-04-19 20:00,7067.97,19,0.129,KAMA跟踪止损,是,7238.83,5.99,0.68,否,2020
105,2020-04-20 16:00,做空,7055.0,7055.0,回调基准,0.0,118.12,1.674,成交,确认,7173.12,6208.4,2020-04-22 12:00,6942.34,11,-0.533,KAMA跟踪止损,是,6766.71,4.52,-0.5,否,2020
106,2020-04-22 20:00,做多,6970.0,6940.0,回调基准,0.43,121.27,1.747,成交,确认,6818.73,8466.8,2020-04-23 12:00,7026.31,4,0.712,KAMA跟踪止损,否,,3.43,1.15,否,2020
107,2020-04-23 20:00,做多,7178.0,7178.0,回调基准,0.0,117.16,1.632,成交,确认,7060.84,8757.16,2020-04-24 20:00,7420.74,6,1.216,KAMA跟踪止损,是,7521.05,6.14,2.93,否,2020
108,2020-04-27 08:00,做多,7709.57,7709.57,回调基准,0.0,127.13,1.649,成交,弱突破,,,2020-04-27 08:00,7733.26,0,0.186,弱突破平仓,否,,0.0,0.0,否,2020
109,2020-04-29 08:00,做多,7780.0,7780.0,回调基准,0.0,108.75,1.398,成交,弱突破,,,2020-04-29 08:00,7813.51,0,0.308,弱突破平仓,否,,0.0,0.0,否,2020
110,2020-04-29 12:00,做多,7879.99,7879.99,回退6K极值,,111.81,1.419,成交,确认,7768.18,9613.59,2020-04-30 16:00,8955.92,7,17.055,KAMA跟踪止损,是,8124.86,20.3,0.59,否,2020
111,2020-05-03 08:00,做多,9020.0,9020.0,回退6K极值,,205.35,2.277,成交,确认,8814.65,11004.4,2020-05-03 20:00,8814.65,3,-1.0,前3K止损,否,,1.52,-3.25,否,2020
112,2020-05-05 12:00,做多,8954.94,8954.94,回退6K极值,,198.13,2.212,成交,弱突破,,,2020-05-05 12:00,9020.52,0,0.331,弱突破平仓,否,,0.0,0.0,否,2020
113,2020-05-06 16:00,做多,9078.51,9078.51,回调基准,0.0,189.4,2.086,成交,确认,8889.11,11075.78,2020-05-07 08:00,9078.51,4,0.0,KAMA跟踪止损,否,,3.6,-0.62,否,2020
114,2020-05-07 20:00,做多,9405.0,9405.0,回调基准,0.0,201.13,2.139,成交,确认,9203.87,11474.1,2020-05-09 08:00,9758.2,9,1.191,KAMA跟踪止损,是,9871.77,7.18,1.07,否,2020
115,2020-05-09 12:00,做空,9726.0,9726.0,回调基准,0.0,218.85,2.25,成交,确认,9944.85,8558.88,2020-05-10 04:00,9754.19,4,-0.129,KAMA跟踪止损,否,,2.03,-0.81,否,2020
116,2020-05-10 08:00,做空,9528.23,9528.23,回调基准,0.0,213.86,2.245,成交,确认,9742.09,8384.84,2020-05-11 00:00,8384.84,4,7.324,止盈,是,8807.73,13.42,6.59,否,2020
117,2020-05-11 16:00,做多,8900.2,8900.2,回调基准,0.0,279.28,3.138,成交,弱突破,,,2020-05-11 16:00,8923.21,0,0.082,弱突破平仓,否,,0.0,0.0,否,2020
118,2020-05-13 16:00,做多,8981.0,8981.0,回调基准,0.0,275.28,3.065,成交,弱突破,,,2020-05-13 16:00,9034.48,0,0.194,弱突破平仓,否,,0.0,0.0,否,2020
119,2020-05-17 20:00,做多,9572.38,9529.53,回调基准,0.448,239.58,2.514,成交,确认,9289.95,11626.03,2020-05-18 16:00,9668.25,5,0.579,KAMA跟踪止损,否,,4.5,-0.83,否,2020
120,2020-05-20 20:00,做空,9555.0,9555.0,回调基准,0.0,209.8,2.196,成交,确认,9764.8,8408.4,2020-05-22 20:00,9196.71,12,1.162,KAMA跟踪止损,是,9082.3,7.77,-0.42,否,2020
121,2020-05-23 08:00,做多,9259.38,9259.38,回退6K极值,,204.32,2.207,成交,弱突破,,,2020-05-23 08:00,9280.0,0,0.101,弱突破平仓,否,,0.0,0.0,否,2020
122,2020-05-24 20:00,做空,9076.9,9076.9,回调基准,0.0,176.42,1.944,成交,弱突破,,,2020-05-24 20:00,9050.0,0,0.152,弱突破平仓,否,,0.0,0.0,否,2020
123,2020-05-25 04:00,做空,8851.24,8851.24,回退6K极值,,177.31,2.003,成交,确认,9028.55,7789.09,2020-05-25 20:00,8851.24,4,0.0,KAMA跟踪止损,否,,2.57,-0.29,否,2020
124,2020-05-26 20:00,做空,8724.34,8724.34,回调基准,0.0,176.91,2.028,成交,弱突破,,,2020-05-26 20:00,8720.48,0,0.022,弱突破平仓,否,,0.0,0.0,否,2020
125,2020-05-27 16:00,做多,9011.82,9011.82,回调基准,0.0,161.26,1.789,成交,确认,8850.56,10994.42,2020-05-29 16:00,9412.18,12,3.434,KAMA跟踪止损,是,9258.68,6.77,0.38,否,2020
126,2020-05-31 04:00,做多,9596.0,9596.0,回调基准,0.0,144.54,1.506,成交,确认,9451.46,11707.12,2020-05-31 20:00,9586.7,4,-0.064,KAMA跟踪止损,否,,1.06,-1.67,否,2020
127,2020-06-02 04:00,做多,9615.0,9615.0,回调基准,0.0,137.13,1.426,成交,确认,9477.87,11730.3,2020-06-02 20:00,9796.76,4,-0.959,KAMA跟踪止损,是,10109.99,6.73,-3.65,否,2020
128,2020-06-07 16:00,做空,9579.0,9579.0,回调基准,0.0,137.89,1.439,成交,弱突破,,,2020-06-07 16:00,9573.97,0,0.036,弱突破平仓,否,,0.0,0.0,否,2020
129,2020-06-07 20:00,做空,9540.0,9579.0,回调基准,0.409,137.9,1.44,成交,确认,9716.9,8429.52,2020-06-08 00:00,9716.9,1,-1.0,前3K止损,否,,1.29,-2.55,否,2020
130,2020-06-11 00:00,做多,9832.52,9832.52,回调基准,0.0,122.9,1.25,成交,弱突破,,,2020-06-11 00:00,9855.04,0,0.183,弱突破平仓,否,,0.0,0.0,否,2020
131,2020-06-11 20:00,做空,9681.21,9681.21,回调基准,0.0,128.92,1.332,成交,确认,9810.13,8519.46,2020-06-14 00:00,9494.51,13,-0.208,KAMA跟踪止损,是,9280.99,6.47,1.12,否,2020
132,2020-06-15 08:00,做空,9240.97,9240.97,回退6K极值,,123.39,1.335,成交,确认,9364.36,8132.05,2020-06-16 00:00,9290.01,4,-0.397,KAMA跟踪止损,否,,3.81,-2.26,否,2020
