序号,信号时间,方向,入场线类型,成交价,ATR,ATR%,EMA70偏离度%,突破K数,前3K方向涨幅%,量比,状态,不做原因,是否确认,是否加仓,加仓价,出场时间,出场价,持仓K数,底仓R值,加仓R值,R值,基础档位,出场原因,年份
1021,2024-12-05 08:00,做多,6K极值,99080.14,1371.68,1.39,22.72,10852,2.51,4.02,未做,持仓中跳过,确认,是,102281.23,2024-12-06 00:00,99987.23,4,0.661,-0.502,0.16,,KAMA跟踪止损,2024
1022,2024-12-05 04:00,做多,6K极值,97305.2,1344.35,1.382,20.92,31,0.61,2.43,做上,,确认,是,103075.9,2024-12-06 00:00,99987.23,5,1.995,-0.434,1.561,2.0x,KAMA跟踪止损,2024
1023,2024-12-05 00:00,做多,6K极值,97033.58,1275.41,1.331,19.13,11,-0.05,2.05,做上,,弱突破,,,2024-12-05 00:00,97241.9,0,0.163,,0.163,2.0x,弱突破平仓,2024
1024,2024-12-03 16:00,做空,基准值,95171.5,1281.42,1.34,19.69,3,0.27,1.03,做上,,弱突破,,,2024-12-03 16:00,95047.45,0,0.097,,0.097,1.5x,弱突破平仓,2024
1025,2024-12-02 16:00,做空,6K极值,95800.2,1167.43,1.215,20.93,20,1.23,1.87,做上,,确认,,,2024-12-02 20:00,96967.63,1,-1.0,,-1.0,1.5x,前3K止损,2024
1026,2024-12-02 12:00,做空,6K极值,96406.4,1166.57,1.208,21.57,6,0.55,1.76,做上,,弱突破,,,2024-12-02 12:00,96046.45,0,0.309,,0.309,1.5x,弱突破平仓,2024
1027,2024-12-02 08:00,做空,基准值,96719.9,1131.1,1.163,23.21,3,-0.1,1.37,做上,,弱突破,,,2024-12-02 08:00,96549.9,0,0.15,,0.15,1.5x,弱突破平仓,2024
1028,2024-12-01 16:00,做多,基准值,97105.72,1209.77,1.253,22.26,6,-0.57,0.91,做上,,弱突破,,,2024-12-01 16:00,97163.7,0,0.048,,0.048,2.0x,弱突破平仓,2024
1029,2024-11-30 16:00,做空,6K极值,96403.6,1409.65,1.456,23.5,5,0.54,0.54,做上,,弱突破,,,2024-11-30 16:00,96321.3,0,0.058,,0.058,1.5x,弱突破平仓,2024
1030,2024-11-30 08:00,做空,基准值,96822.0,1464.61,1.502,25.2,3,-0.23,0.69,做上,,弱突破,,,2024-11-30 08:00,96706.3,0,0.079,,0.079,1.5x,弱突破平仓,2024
1031,2024-11-29 20:00,做多,6K极值,97427.62,1484.38,1.526,24.91,23,1.67,1.57,做上,,弱突破,,,2024-11-29 20:00,98076.2,0,0.437,,0.437,2.0x,弱突破平仓,2024
1032,2024-11-29 16:00,做多,6K极值,96907.14,1470.83,1.537,22.85,22,0.53,0.77,做上,,弱突破,,,2024-11-29 16:00,97295.85,0,0.264,,0.264,2.0x,弱突破平仓,2024
1033,2024-11-29 08:00,做多,基准值,96280.11,1494.62,1.562,23.76,6,0.19,0.57,做上,,弱突破,,,2024-11-29 08:00,96646.5,0,0.245,,0.245,2.0x,弱突破平仓,2024
1034,2024-11-28 00:00,做多,6K极值,95897.33,1636.79,1.712,24.54,12,3.24,1.14,做上,,弱突破,,,2024-11-28 00:00,96673.85,0,0.474,,0.474,2.0x,弱突破平仓,2024
1035,2024-11-27 20:00,做多,6K极值,93932.95,1565.5,1.676,21.65,10,1.52,1.5,未做,持仓中跳过,确认,是,96673.85,2024-12-02 12:00,95947.62,28,1.287,-0.169,1.118,,KAMA跟踪止损,2024
1036,2024-11-26 16:00,做空,基准值,92686.3,1523.66,1.624,23.08,36,0.95,2.63,未做,持仓中跳过,弱突破,,,2024-11-26 16:00,92447.1,0,0.157,,0.157,,弱突破平仓,2024
1037,2024-11-26 04:00,做空,6K极值,94504.0,1433.03,1.513,25.02,32,3.44,2.14,未做,持仓中跳过,确认,是,91768.95,2024-11-27 00:00,94504.0,5,0.0,-1.0,-1.0,,KAMA跟踪止损,2024
1038,2024-11-25 20:00,做空,基准值,96932.1,1279.17,1.302,29.69,4,-0.33,3.78,做上,,确认,是,94735.5,2024-11-27 20:00,94079.41,12,2.23,0.189,2.419,1.5x,KAMA跟踪止损,2024
1039,2024-11-24 20:00,做空,6K极值,97293.1,1272.19,1.307,29.31,17,0.4,1.52,做上,,确认,,,2024-11-25 08:00,97936.3,3,-0.506,,-0.506,1.5x,3K收盘认赔,2024
1040,2024-11-24 00:00,做空,基准值,98315.0,1368.59,1.39,31.9,6,0.28,0.82,未做,持仓中跳过,确认,,,2024-11-24 12:00,98483.96,3,-0.123,,-0.123,,3K收盘认赔,2024
1041,2024-11-21 16:00,做多,6K极值,97864.52,1603.54,1.654,32.38,10770,3.13,1.02,未做,持仓中跳过,弱突破,,,2024-11-21 16:00,97995.96,0,0.082,,0.082,,弱突破平仓,2024
1042,2024-11-21 12:00,做多,6K极值,95921.97,1578.92,1.648,30.82,10769,1.12,1.64,未做,持仓中跳过,确认,是,98365.12,2024-11-24 00:00,97719.11,15,1.138,-0.264,0.874,,KAMA跟踪止损,2024
1043,2024-11-21 08:00,做多,6K极值,94839.9,1562.19,1.657,30.04,10768,0.85,1.24,未做,持仓中跳过,确认,是,97995.96,2024-11-24 00:00,97719.11,16,1.843,-0.059,1.784,,KAMA跟踪止损,2024
1044,2024-11-20 20:00,做多,6K极值,93688.19,1600.18,1.712,28.95,10765,1.27,2.24,做上,,确认,是,96940.0,2024-11-24 00:00,97719.11,19,2.519,0.24,2.759,2.0x,KAMA跟踪止损,2024
1045,2024-11-20 00:00,做多,6K极值,92865.13,1675.43,1.812,28.63,35,1.04,2.08,做上,,弱突破,,,2024-11-20 00:00,93282.21,0,0.249,,0.249,2.0x,弱突破平仓,2024
1046,2024-11-19 20:00,做多,6K极值,92084.12,1666.93,1.817,27.62,4,1.34,2.83,做上,,弱突破,,,2024-11-19 20:00,92445.5,0,0.217,,0.217,2.0x,弱突破平仓,2024
1047,2024-11-18 12:00,做多,6K极值,90999.9,1613.59,1.778,27.3,11,0.46,1.11,做上,,弱突破,,,2024-11-18 12:00,91789.0,0,0.489,,0.489,2.0x,弱突破平仓,2024
1048,2024-11-16 20:00,做空,基准值,90900.1,1904.19,2.087,30.05,3,-0.18,0.61,做上,,弱突破,,,2024-11-16 20:00,90577.9,0,0.169,,0.169,1.0x,弱突破平仓,2024
1049,2024-11-16 04:00,做多,6K极值,90884.49,2133.32,2.36,29.95,7,3.09,0.6,做上,,弱突破,,,2024-11-16 04:00,91074.6,0,0.089,,0.089,1.0x,弱突破平仓,2024
1050,2024-11-15 16:00,做多,基准值,89494.09,2057.99,2.347,26.05,4,-2.01,0.56,做上,,弱突破,,,2024-11-15 16:00,89783.7,0,0.141,,0.141,1.0x,弱突破平仓,2024
1051,2024-11-15 04:00,做空,6K极值,87581.7,2109.81,2.357,29.81,8,1.46,0.69,做上,,弱突破,,,2024-11-15 04:00,87369.1,0,0.101,,0.101,1.0x,弱突破平仓,2024
1052,2024-11-14 20:00,做空,6K极值,89133.45,2014.5,2.201,32.77,5,-1.25,1.12,未做,持仓中跳过,确认,,,2024-11-15 12:00,88185.41,4,0.471,,0.471,,KAMA跟踪止损,2024
1053,2024-11-14 16:00,做多,基准值,91189.43,2050.83,2.258,31.73,3,0.66,0.62,未做,持仓中跳过,弱突破,,,2024-11-14 16:00,91538.84,0,0.17,,0.17,,弱突破平仓,2024
1054,2024-11-13 20:00,做多,基准值,88593.31,1825.01,2.08,28.24,10723,-0.27,2.03,做上,,确认,是,91538.84,2024-11-14 20:00,88593.31,6,0.0,-1.0,-1.0,1.0x,KAMA跟踪止损,2024
1055,2024-11-12 04:00,做多,6K极值,86629.58,1377.32,1.598,28.27,10713,6.2,3.07,未做,持仓中跳过,确认,是,89097.45,2024-11-12 20:00,87022.82,4,0.286,-0.54,-0.254,,KAMA跟踪止损,2024
1056,2024-11-12 00:00,做多,6K极值,84319.27,1306.33,1.553,25.18,10712,2.99,3.18,做上,,确认,是,88729.0,2024-11-12 16:00,86978.03,4,2.035,-0.306,1.729,2.0x,KAMA跟踪止损,2024
1057,2024-11-11 20:00,做多,6K极值,82400.0,1226.7,1.493,22.29,10711,2.18,3.26,未做,持仓中跳过,确认,是,86180.53,2024-11-12 16:00,86978.03,5,3.732,0.159,3.891,,KAMA跟踪止损,2024
1058,2024-11-11 16:00,做多,6K极值,81895.05,1220.29,1.504,20.78,10710,1.7,1.24,未做,持仓中跳过,弱突破,,,2024-11-11 16:00,82160.84,0,0.218,,0.218,,弱突破平仓,2024
1059,2024-11-11 08:00,做多,6K极值,81546.07,1194.65,1.486,20.8,10708,0.62,1.06,未做,持仓中跳过,弱突破,,,2024-11-11 08:00,81663.1,0,0.098,,0.098,,弱突破平仓,2024
1060,2024-11-10 16:00,做多,6K极值,79851.8,1063.42,1.349,18.47,10704,3.49,1.24,未做,持仓中跳过,弱突破,,,2024-11-10 16:00,79914.0,0,0.058,,0.058,,弱突破平仓,2024
1061,2024-11-10 12:00,做多,6K极值,77497.78,976.8,1.265,15.99,10703,1.18,3.07,未做,持仓中跳过,确认,是,79914.0,2024-11-12 16:00,86978.03,13,9.705,2.082,11.787,,KAMA跟踪止损,2024
1062,2024-11-10 08:00,做多,6K极值,76903.56,975.76,1.273,15.89,10702,0.26,1.19,未做,持仓中跳过,弱突破,,,2024-11-10 08:00,77208.71,0,0.313,,0.313,,弱突破平仓,2024
1063,2024-11-10 00:00,做空,6K极值,76258.54,987.89,1.295,15.33,3,0.04,0.8,未做,持仓中跳过,弱突破,,,2024-11-10 00:00,76195.1,0,0.064,,0.064,,弱突破平仓,2024
1064,2024-11-09 00:00,做多,6K极值,76592.53,1127.09,1.475,16.04,10694,0.69,1.11,未做,持仓中跳过,弱突破,,,2024-11-09 00:00,76899.38,0,0.272,,0.272,,弱突破平仓,2024
1065,2024-11-08 20:00,做多,基准值,76350.1,1136.1,1.496,15.32,3,0.12,0.92,未做,持仓中跳过,弱突破,,,2024-11-08 20:00,76422.7,0,0.064,,0.064,,弱突破平仓,2024
1066,2024-11-08 00:00,做多,6K极值,76075.6,1218.53,1.602,16.06,10688,1.35,1.33,未做,持仓中跳过,弱突破,,,2024-11-08 00:00,76523.9,0,0.368,,0.368,,弱突破平仓,2024
1067,2024-11-07 20:00,做多,基准值,76030.11,1201.59,1.607,14.06,3,-1.07,0.85,未做,持仓中跳过,弱突破,,,2024-11-07 20:00,76075.6,0,0.038,,0.038,,弱突破平仓,2024
1068,2024-11-07 00:00,做多,基准值,75451.17,1286.17,1.731,13.87,10682,-0.06,1.18,未做,持仓中跳过,弱突破,,,2024-11-07 00:00,75820.99,0,0.288,,0.288,,弱突破平仓,2024
1069,2024-11-06 08:00,做多,6K极值,70531.71,969.33,1.398,6.78,10678,0.82,5.76,未做,持仓中跳过,确认,是,73419.0,2024-11-12 00:00,86048.69,34,16.008,3.275,19.283,,止盈,2024
1070,2024-11-05 20:00,做多,6K极值,69086.0,880.87,1.281,5.91,16,1.4,2.78,做上,,确认,是,74343.8,2024-11-11 20:00,84284.92,36,17.254,1.619,18.874,2.0x,止盈,2024
1071,2024-11-05 12:00,做多,基准值,68770.4,909.0,1.332,5.05,3,-0.58,0.82,做上,,弱突破,,,2024-11-05 12:00,68871.68,0,0.111,,0.111,2.0x,弱突破平仓,2024
1072,2024-11-05 00:00,做空,6K极值,68193.13,864.08,1.259,5.86,5,0.59,1.91,做上,,弱突破,,,2024-11-05 00:00,67845.8,0,0.402,,0.402,1.5x,弱突破平仓,2024
1073,2024-11-04 04:00,做多,6K极值,68688.0,853.48,1.243,6.08,3,0.4,0.82,未做,持仓中跳过,弱突破,,,2024-11-04 04:00,68762.5,0,0.087,,0.087,,弱突破平仓,2024
1074,2024-11-03 08:00,做空,基准值,69026.82,841.9,1.214,7.35,33,0.34,1.38,做上,,确认,,,2024-11-04 04:00,69026.82,5,0.0,,0.0,1.5x,KAMA跟踪止损,2024
1075,2024-11-02 20:00,做空,6K极值,69419.08,900.77,1.294,7.71,3,-0.15,0.61,做上,,弱突破,,,2024-11-02 20:00,69396.8,0,0.025,,0.025,1.5x,弱突破平仓,2024
1076,2024-11-01 08:00,做空,6K极值,69705.2,842.51,1.198,9.3,19,2.63,1.27,未做,持仓中跳过,弱突破,,,2024-11-01 08:00,69390.38,0,0.374,,0.374,,弱突破平仓,2024
1077,2024-11-01 00:00,做空,6K极值,70460.0,835.27,1.182,9.79,15,2.37,1.1,未做,持仓中跳过,弱突破,,,2024-11-01 00:00,70116.19,0,0.412,,0.412,,弱突破平仓,2024
1078,2024-10-31 20:00,做空,基准值,72037.29,784.19,1.086,12.25,14,0.19,2.4,做上,,确认,是,70116.19,2024-11-01 20:00,70579.16,6,1.859,-0.171,1.688,1.5x,KAMA跟踪止损,2024
1079,2024-10-30 00:00,做多,6K极值,72401.0,802.25,1.108,13.23,1224,2.06,3.56,未做,持仓中跳过,弱突破,,,2024-10-30 00:00,72521.9,0,0.151,,0.151,,弱突破平仓,2024
1080,2024-10-29 20:00,做多,6K极值,71579.9,766.03,1.072,11.75,1223,2.14,3.8,未做,持仓中跳过,确认,是,72738.79,2024-10-30 16:00,72071.57,5,0.642,-0.347,0.295,,KAMA跟踪止损,2024
1081,2024-10-29 08:00,做多,6K极值,70299.23,733.0,1.048,9.85,859,1.76,2.23,未做,持仓中跳过,确认,是,71440.0,2024-10-30 16:00,72071.57,8,2.418,0.337,2.755,,KAMA跟踪止损,2024
1082,2024-10-29 04:00,做多,6K极值,69891.8,724.34,1.041,9.31,547,1.75,0.94,未做,持仓中跳过,弱突破,,,2024-10-29 04:00,69940.0,0,0.067,,0.067,,弱突破平仓,2024
1083,2024-10-29 00:00,做多,6K极值,69267.2,685.48,1.001,7.53,546,1.13,2.25,未做,持仓中跳过,弱突破,,,2024-10-29 00:00,69595.4,0,0.479,,0.479,,弱突破平仓,2024
1084,2024-10-28 16:00,做多,6K极值,68665.9,680.49,0.995,7.42,16,0.84,1.09,未做,持仓中跳过,弱突破,,,2024-10-28 16:00,68731.0,0,0.096,,0.096,,弱突破平仓,2024
1085,2024-10-28 12:00,做多,6K极值,68302.62,659.95,0.975,6.33,15,-0.09,1.07,未做,持仓中跳过,弱突破,,,2024-10-28 12:00,68395.71,0,0.141,,0.141,,弱突破平仓,2024
1086,2024-10-28 04:00,做多,6K极值,67976.3,675.68,0.996,6.83,13,0.97,0.73,未做,持仓中跳过,弱突破,,,2024-10-28 04:00,67997.2,0,0.031,,0.031,,弱突破平仓,2024
1087,2024-10-27 20:00,做多,基准值,67299.87,684.77,1.021,5.69,10,0.04,0.81,做上,,确认,是,68395.71,2024-10-30 16:00,72071.57,17,6.968,4.121,11.089,2.0x,KAMA跟踪止损,2024
1088,2024-10-26 00:00,做空,基准值,67230.7,769.73,1.138,6.98,7,0.46,3.39,做上,,确认,,,2024-10-26 16:00,67230.7,4,0.0,,0.0,1.5x,KAMA跟踪止损,2024
1089,2024-10-25 00:00,做多,6K极值,67969.7,728.39,1.076,7.16,18,0.7,0.89,做上,,弱突破,,,2024-10-25 00:00,68271.9,0,0.415,,0.415,2.0x,弱突破平仓,2024
1090,2024-10-24 20:00,做多,基准值,67607.0,729.21,1.084,6.53,9,0.94,1.52,做上,,弱突破,,,2024-10-24 20:00,67672.12,0,0.089,,0.089,2.0x,弱突破平仓,2024
1091,2024-10-24 08:00,做多,基准值,66873.73,733.41,1.1,5.78,4,0.37,0.98,未做,持仓中跳过,弱突破,,,2024-10-24 08:00,67199.51,0,0.444,,0.444,,弱突破平仓,2024
1092,2024-10-23 16:00,做空,6K极值,66781.91,697.32,1.043,6.08,44,0.94,1.55,做上,,确认,,,2024-10-24 08:00,66781.91,4,0.0,,0.0,1.5x,KAMA跟踪止损,2024
1093,2024-10-23 12:00,做空,6K极值,66871.38,707.28,1.055,6.43,3,0.32,0.62,做上,,弱突破,,,2024-10-23 12:00,66837.9,0,0.047,,0.047,1.5x,弱突破平仓,2024
1094,2024-10-21 20:00,做空,6K极值,68142.7,638.49,0.936,8.73,20,1.12,4.16,做上,,确认,,,2024-10-23 04:00,67620.43,8,0.818,,0.818,1.5x,KAMA跟踪止损,2024
1095,2024-10-21 16:00,做空,基准值,68442.24,644.54,0.941,9.15,4,-0.04,1.15,做上,,弱突破,,,2024-10-21 16:00,68250.8,0,0.297,,0.297,1.5x,弱突破平仓,2024
1096,2024-10-21 04:00,做多,6K极值,68747.0,608.32,0.888,9.34,499,0.2,1.68,做上,,弱突破,,,2024-10-21 04:00,69021.9,0,0.452,,0.452,2.0x,弱突破平仓,2024
1097,2024-10-20 20:00,做多,6K极值,68482.0,630.39,0.922,9.2,8,0.07,0.98,做上,,弱突破,,,2024-10-20 20:00,68605.0,0,0.195,,0.195,2.0x,弱突破平仓,2024
1098,2024-10-19 16:00,做空,基准值,68179.38,785.86,1.15,9.41,4,0.37,0.36,做上,,弱突破,,,2024-10-19 16:00,68074.9,0,0.133,,0.133,1.5x,弱突破平仓,2024
1099,2024-10-18 20:00,做多,6K极值,68367.46,843.73,1.246,8.69,485,0.42,1.71,做上,,弱突破,,,2024-10-18 20:00,68707.97,0,0.404,,0.404,2.0x,弱突破平仓,2024
1100,2024-10-17 16:00,做空,6K极值,67061.49,871.26,1.295,8.34,6,0.63,0.66,做上,,弱突破,,,2024-10-17 16:00,66867.19,0,0.223,,0.223,1.5x,弱突破平仓,2024
1101,2024-10-17 12:00,做空,6K极值,67378.09,890.06,1.317,8.81,3,0.22,0.51,做上,,弱突破,,,2024-10-17 12:00,67281.32,0,0.109,,0.109,1.5x,弱突破平仓,2024
1102,2024-10-16 16:00,做多,6K极值,67544.0,904.49,1.351,8.07,4,-0.01,1.43,做上,,弱突破,,,2024-10-16 16:00,67877.84,0,0.369,,0.369,2.0x,弱突破平仓,2024
1103,2024-10-14 20:00,做多,6K极值,65111.88,758.72,1.169,5.31,87,3.28,3.05,未做,持仓中跳过,确认,,,2024-10-15 20:00,65111.88,6,0.0,,0.0,,KAMA跟踪止损,2024
1104,2024-10-14 16:00,做多,6K极值,64660.7,756.79,1.171,4.83,85,3.03,1.75,未做,持仓中跳过,弱突破,,,2024-10-14 16:00,64902.81,0,0.32,,0.32,,弱突破平仓,2024
1105,2024-10-14 12:00,做多,6K极值,64367.02,749.26,1.166,4.28,83,3.33,2.21,未做,持仓中跳过,弱突破,,,2024-10-14 12:00,64606.1,0,0.319,,0.319,,弱突破平仓,2024
1106,2024-10-14 08:00,做多,6K极值,63109.0,686.49,1.092,2.17,38,0.5,1.6,做上,,确认,是,64606.1,2024-10-15 20:00,65027.25,9,2.794,0.193,2.987,2.0x,KAMA跟踪止损,2024
1107,2024-10-13 20:00,做空,6K极值,62492.66,689.0,1.102,1.67,10,1.02,1.0,做上,,弱突破,,,2024-10-13 20:00,62195.2,0,0.432,,0.432,1.5x,弱突破平仓,2024
1108,2024-10-13 16:00,做空,6K极值,62632.78,701.82,1.117,2.14,7,0.24,0.4,未做,持仓中跳过,弱突破,,,2024-10-13 16:00,62528.5,0,0.149,,0.149,,弱突破平仓,2024
1109,2024-10-13 08:00,做空,基准值,62786.0,729.04,1.154,2.78,3,-0.44,0.62,未做,持仓中跳过,弱突破,,,2024-10-13 08:00,62686.2,0,0.137,,0.137,,弱突破平仓,2024
1110,2024-10-12 00:00,做多,6K极值,62428.9,789.92,1.269,1.32,18,2.71,1.88,未做,持仓中跳过,确认,,,2024-10-13 16:00,62548.21,10,0.151,,0.151,,KAMA跟踪止损,2024
1111,2024-10-11 20:00,做多,6K极值,61229.42,761.78,1.246,-0.45,10,1.4,2.33,做上,,确认,是,63052.54,2024-10-13 16:00,62548.21,11,1.731,-0.195,1.536,2.0x,KAMA跟踪止损,2024
1112,2024-10-11 16:00,做多,6K极值,60893.3,769.78,1.269,-1.25,4,1.59,0.77,未做,持仓中跳过,弱突破,,,2024-10-11 16:00,61140.0,0,0.32,,0.32,,弱突破平仓,2024
1113,2024-10-11 00:00,做空,6K极值,60425.87,733.7,1.207,-1.0,130,0.12,2.48,未做,持仓中跳过,确认,,,2024-10-11 12:00,60648.44,3,-0.303,,-0.303,,3K收盘认赔,2024
1114,2024-10-10 16:00,做多,6K极值,61120.5,728.51,1.197,-0.83,3,-0.22,0.71,未做,持仓中跳过,弱突破,,,2024-10-10 16:00,61235.9,0,0.158,,0.158,,弱突破平仓,2024
1115,2024-10-10 04:00,做空,6K极值,60812.84,755.87,1.239,-0.66,34,1.98,1.09,未做,持仓中跳过,弱突破,,,2024-10-10 04:00,60607.72,0,0.271,,0.271,,弱突破平仓,2024
1116,2024-10-10 00:00,做空,6K极值,61616.78,716.33,1.15,1.42,30,0.13,1.67,做上,,确认,是,59700.0,2024-10-11 16:00,61031.02,10,0.818,-0.711,0.107,1.5x,KAMA跟踪止损,2024
1117,2024-10-08 04:00,做空,基准值,62622.23,757.17,1.195,3.12,7,0.27,1.4,做上,,确认,,,2024-10-08 20:00,62622.23,4,0.0,,0.0,1.5x,KAMA跟踪止损,2024
1118,2024-10-07 08:00,做多,6K极值,62939.9,648.71,1.033,2.27,32,1.16,2.23,未做,持仓中跳过,确认,,,2024-10-08 00:00,62939.9,4,0.0,,0.0,,KAMA跟踪止损,2024
1119,2024-10-06 20:00,做多,6K极值,62139.8,658.97,1.062,1.1,28,0.06,1.09,做上,,确认,是,63499.2,2024-10-08 00:00,62728.86,7,0.894,-0.382,0.512,2.0x,KAMA跟踪止损,2024
1120,2024-10-05 00:00,做多,6K极值,61981.5,874.83,1.415,0.82,11,1.5,0.79,做上,,弱突破,,,2024-10-05 00:00,62343.3,0,0.414,,0.414,2.0x,弱突破平仓,2024
1121,2024-10-04 20:00,做多,6K极值,61615.9,857.29,1.396,0.14,10,1.15,1.78,做上,,弱突破,,,2024-10-04 20:00,61840.0,0,0.261,,0.261,2.0x,弱突破平仓,2024
1122,2024-10-04 12:00,做多,6K极值,61247.4,899.25,1.476,-0.66,5,0.53,0.39,做上,,弱突破,,,2024-10-04 12:00,61405.55,0,0.176,,0.176,2.0x,弱突破平仓,2024
1123,2024-10-03 00:00,做空,6K极值,60545.74,847.96,1.371,0.84,82,-0.21,1.89,未做,持仓中跳过,弱突破,,,2024-10-03 00:00,60157.1,0,0.458,,0.458,,弱突破平仓,2024
1124,2024-10-02 04:00,做空,6K极值,61113.61,764.3,1.238,0.62,77,3.57,2.08,未做,持仓中跳过,弱突破,,,2024-10-02 04:00,60791.6,0,0.421,,0.421,,弱突破平仓,2024
1125,2024-10-02 00:00,做空,6K极值,61815.72,717.37,1.145,2.08,75,1.69,3.77,未做,持仓中跳过,弱突破,,,2024-10-02 00:00,61733.5,0,0.115,,0.115,,弱突破平仓,2024
1126,2024-10-01 20:00,做空,基准值,63000.0,651.53,1.023,3.83,50,-0.62,5.6,做上,,确认,是,61733.5,2024-10-03 00:00,62324.71,7,1.036,-0.308,0.728,1.5x,KAMA跟踪止损,2024
1127,2024-10-01 12:00,做多,6K极值,63840.0,676.52,1.062,3.84,3,0.27,0.9,未做,持仓中跳过,弱突破,,,2024-10-01 12:00,64017.0,0,0.262,,0.262,,弱突破平仓,2024
1128,2024-09-30 16:00,做空,6K极值,64177.9,623.09,0.965,5.17,23,2.11,3.05,做上,,确认,,,2024-10-01 12:00,64014.48,5,0.262,,0.262,1.5x,KAMA跟踪止损,2024
1129,2024-09-30 08:00,做空,6K极值,65494.2,595.16,0.908,6.95,20,0.15,2.84,未做,持仓中跳过,确认,是,64539.1,2024-10-01 12:00,64014.48,7,2.486,0.338,2.825,,KAMA跟踪止损,2024
1130,2024-09-30 00:00,做多,6K极值,65832.9,611.66,0.931,7.19,3,-0.09,0.4,未做,持仓中跳过,弱突破,,,2024-09-30 00:00,65932.71,0,0.163,,0.163,,弱突破平仓,2024
1131,2024-09-29 04:00,做多,基准值,65794.28,682.23,1.038,7.37,3,-0.14,0.43,未做,持仓中跳过,弱突破,,,2024-09-29 04:00,65826.65,0,0.047,,0.047,,弱突破平仓,2024
1132,2024-09-27 20:00,做多,6K极值,65968.0,769.67,1.177,7.13,346,0.41,1.91,未做,持仓中跳过,弱突破,,,2024-09-27 20:00,65974.86,0,0.009,,0.009,,弱突破平仓,2024
1133,2024-09-26 20:00,做多,6K极值,64480.6,766.05,1.19,5.67,329,1.98,3.8,未做,持仓中跳过,确认,是,65974.86,2024-09-30 08:00,65293.37,21,1.061,-0.456,0.605,,KAMA跟踪止损,2024
1134,2024-09-26 16:00,做多,6K极值,63843.1,758.39,1.188,4.77,6,1.07,1.31,做上,,确认,是,65195.99,2024-09-30 08:00,65293.37,22,1.912,0.046,1.958,2.0x,KAMA跟踪止损,2024
1135,2024-09-26 12:00,做多,基准值,63642.4,770.56,1.214,4.21,3,0.02,0.6,做上,,弱突破,,,2024-09-26 12:00,63823.5,0,0.235,,0.235,2.0x,弱突破平仓,2024
1136,2024-09-26 00:00,做空,6K极值,63295.13,779.15,1.228,4.39,5,1.49,1.04,做上,,弱突破,,,2024-09-26 00:00,63145.63,0,0.192,,0.192,1.5x,弱突破平仓,2024
1137,2024-09-25 00:00,做多,6K极值,63919.9,774.89,1.227,3.95,8,0.04,1.69,做上,,弱突破,,,2024-09-25 00:00,64294.23,0,0.483,,0.483,2.0x,弱突破平仓,2024
1138,2024-09-23 08:00,做多,6K极值,63995.84,752.53,1.184,4.96,167,1.28,2.64,未做,持仓中跳过,弱突破,,,2024-09-23 08:00,64322.65,0,0.434,,0.434,,弱突破平仓,2024
1139,2024-09-23 04:00,做多,6K极值,63199.9,705.8,1.118,4.27,14,0.35,1.83,做上,,确认,是,64322.65,2024-09-23 20:00,63199.9,4,0.0,-0.614,-0.614,2.0x,KAMA跟踪止损,2024
1140,2024-09-22 16:00,做空,6K极值,62802.44,728.3,1.158,3.9,6,0.42,0.67,做上,,弱突破,,,2024-09-22 16:00,62751.5,0,0.07,,0.07,1.5x,弱突破平仓,2024
1141,2024-09-19 20:00,做多,6K极值,62680.0,947.6,1.513,3.84,139,1.43,1.7,做上,,弱突破,,,2024-09-19 20:00,63129.89,0,0.475,,0.475,2.0x,弱突破平仓,2024
1142,2024-09-19 16:00,做多,6K极值,62554.9,954.18,1.538,2.91,137,3.38,0.79,做上,,弱突破,,,2024-09-19 16:00,62612.79,0,0.061,,0.061,2.0x,弱突破平仓,2024
1143,2024-09-19 08:00,做多,6K极值,61764.6,983.85,1.594,2.5,133,3.2,1.42,做上,,弱突破,,,2024-09-19 08:00,62086.5,0,0.327,,0.327,2.0x,弱突破平仓,2024
1144,2024-09-19 04:00,做多,6K极值,61296.1,915.27,1.525,-0.33,131,-0.63,1.09,做上,,弱突破,,,2024-09-19 04:00,61728.59,0,0.473,,0.473,2.0x,弱突破平仓,2024
1145,2024-09-17 20:00,做多,6K极值,59272.4,741.84,1.256,-1.87,113,1.49,4.97,做上,,确认,是,60491.27,2024-09-19 00:00,59272.4,7,0.0,-0.622,-0.622,2.0x,KAMA跟踪止损,2024
1146,2024-09-17 16:00,做多,6K极值,58758.3,745.78,1.271,-2.51,5,1.32,1.41,做上,,弱突破,,,2024-09-17 16:00,59055.1,0,0.398,,0.398,2.0x,弱突破平仓,2024
1147,2024-09-17 12:00,做多,6K极值,58395.0,745.12,1.284,-3.56,3,0.3,0.87,做上,,弱突破,,,2024-09-17 12:00,58666.72,0,0.365,,0.365,2.0x,弱突破平仓,2024
1148,2024-09-16 20:00,做空,基准值,58099.97,716.97,1.223,-2.56,17,0.79,2.36,做上,,弱突破,,,2024-09-16 20:00,57861.15,0,0.333,,0.333,1.5x,弱突破平仓,2024
1149,2024-09-16 08:00,做空,6K极值,58661.73,704.48,1.192,-1.88,14,1.46,1.87,做上,,弱突破,,,2024-09-16 08:00,58546.5,0,0.164,,0.164,1.5x,弱突破平仓,2024
