突破K索引,突破K时间,起点KAMA值,ATR值,突破线价格,峰值价格,峰值K索引,终点K索引,涨跌幅%,持续K数,KAMA同向运行根数
7302,2023-01-07 16:00:00+00:00,16829.18,90.39,16919.57,20996.3,7340,7351,24.09,49,66
3272,2021-03-07 00:00:00+00:00,47992.06,1564.61,49556.68,61432.39,3314,3319,23.96,47,49
7314,2023-01-09 16:00:00+00:00,17124.63,94.05,17218.67,21337.2,7362,7363,23.92,49,54
7318,2023-01-10 08:00:00+00:00,17127.96,95.75,17223.71,21337.2,7362,7367,23.88,49,53
3273,2021-03-07 04:00:00+00:00,48036.49,1565.17,49601.66,61432.39,3314,3319,23.85,46,48
2769,2020-12-13 04:00:00+00:00,18518.64,337.81,18856.45,23348.36,2795,2801,23.82,32,33
1370,2020-04-24 00:00:00+00:00,7369.34,147.62,7516.96,9306.03,1406,1408,23.8,38,38
7318,2023-01-10 08:00:00+00:00,17135.47,100.17,17235.64,21337.2,7362,7367,23.8,49,52
7318,2023-01-10 08:00:00+00:00,17139.9,99.52,17239.42,21337.2,7362,7367,23.77,49,51
7319,2023-01-10 12:00:00+00:00,17157.38,96.86,17254.24,21337.2,7362,7368,23.66,49,50
3273,2021-03-07 04:00:00+00:00,48141.16,1536.93,49678.09,61432.39,3314,3319,23.66,46,47
4094,2021-07-22 00:00:00+00:00,31193.24,662.09,31855.34,39358.4,4122,4123,23.55,29,29
7319,2023-01-10 12:00:00+00:00,17174.95,96.85,17271.8,21337.2,7362,7368,23.54,49,49
2871,2020-12-30 04:00:00+00:00,27188.87,735.29,27924.16,34472.24,2895,2901,23.45,30,30
1920,2020-07-24 16:00:00+00:00,9500.52,72.38,9572.9,11811.42,1969,1969,23.38,49,55
3273,2021-03-07 04:00:00+00:00,48279.53,1511.56,49791.1,61432.39,3314,3319,23.38,46,46
1920,2020-07-24 16:00:00+00:00,9501.98,72.47,9574.45,11811.42,1969,1969,23.36,49,54
1920,2020-07-24 16:00:00+00:00,9505.2,74.05,9579.25,11811.42,1969,1969,23.3,49,53
2873,2020-12-30 12:00:00+00:00,27215.81,743.45,27959.26,34472.24,2895,2901,23.29,28,29
1920,2020-07-24 16:00:00+00:00,9506.24,74.09,9580.34,11811.42,1969,1969,23.29,49,52
7320,2023-01-10 16:00:00+00:00,17207.52,100.23,17307.75,21337.2,7362,7368,23.28,48,48
1371,2020-04-24 04:00:00+00:00,7408.2,144.6,7552.8,9306.03,1406,1408,23.21,37,37
3274,2021-03-07 08:00:00+00:00,48393.56,1491.13,49884.69,61432.39,3314,3319,23.15,45,45
1930,2020-07-26 08:00:00+00:00,9695.45,75.38,9770.83,12026.41,1970,1971,23.08,41,41
1382,2020-04-26 00:00:00+00:00,7420.74,142.25,7563.0,9306.03,1406,1408,23.05,26,36
7321,2023-01-10 20:00:00+00:00,17236.76,103.95,17340.71,21337.2,7362,7368,23.05,47,47
2873,2020-12-30 12:00:00+00:00,27264.91,767.73,28032.64,34472.24,2895,2901,22.97,28,28
7322,2023-01-11 00:00:00+00:00,17251.56,103.36,17354.92,21337.2,7362,7368,22.95,46,46
1384,2020-04-26 08:00:00+00:00,7432.38,142.21,7574.59,9306.03,1406,1408,22.86,24,35
2910,2021-01-05 16:00:00+00:00,32365.03,1341.25,33706.27,41399.98,2926,2938,22.83,28,28
4095,2021-07-22 04:00:00+00:00,31386.96,658.49,32045.45,39358.4,4122,4123,22.82,28,28
7323,2023-01-11 04:00:00+00:00,17267.72,105.19,17372.91,21337.2,7362,7368,22.82,45,45
3275,2021-03-07 12:00:00+00:00,48557.1,1472.45,50029.54,61432.39,3314,3319,22.79,44,44
2769,2020-12-13 04:00:00+00:00,18685.65,328.84,19014.49,23348.36,2795,2801,22.79,32,32
7324,2023-01-11 08:00:00+00:00,17278.46,103.73,17382.19,21337.2,7362,7368,22.75,44,44
7326,2023-01-11 16:00:00+00:00,17282.17,101.77,17383.94,21337.2,7362,7368,22.74,42,43
11314,2024-11-06 08:00:00+00:00,71287.79,1315.78,72603.57,89095.4,11349,11351,22.71,37,37
1384,2020-04-26 08:00:00+00:00,7445.85,142.13,7587.99,9306.03,1406,1408,22.64,24,34
3276,2021-03-07 16:00:00+00:00,48677.69,1457.04,50134.73,61432.39,3314,3319,22.53,43,43
4097,2021-07-22 12:00:00+00:00,31476.79,647.84,32124.63,39358.4,4122,4123,22.52,26,27
1384,2020-04-26 08:00:00+00:00,7457.21,138.63,7595.84,9306.03,1406,1408,22.51,24,33
7326,2023-01-11 16:00:00+00:00,17322.92,102.85,17425.76,21337.2,7362,7368,22.45,42,42
1384,2020-04-26 08:00:00+00:00,7470.1,131.3,7601.4,9306.03,1406,1408,22.43,24,30
1384,2020-04-26 08:00:00+00:00,7471.82,129.39,7601.21,9306.03,1406,1408,22.43,24,29
1384,2020-04-26 08:00:00+00:00,7469.64,133.27,7602.92,9306.03,1406,1408,22.4,24,31
1384,2020-04-26 08:00:00+00:00,7468.21,135.48,7603.69,9306.03,1406,1408,22.39,24,32
1384,2020-04-26 08:00:00+00:00,7474.09,131.65,7605.74,9306.03,1406,1408,22.36,24,27
1384,2020-04-26 08:00:00+00:00,7472.57,133.44,7606.01,9306.03,1406,1408,22.35,24,28
2911,2021-01-05 20:00:00+00:00,32441.72,1399.07,33840.79,41399.98,2926,2938,22.34,27,27
1384,2020-04-26 08:00:00+00:00,7485.4,124.63,7610.04,9306.03,1406,1408,22.29,24,25
1384,2020-04-26 08:00:00+00:00,7483.16,127.96,7611.12,9306.03,1406,1408,22.27,24,26
3277,2021-03-07 20:00:00+00:00,48865.08,1439.69,50304.76,61432.39,3314,3319,22.12,42,42
1384,2020-04-26 08:00:00+00:00,7508.07,120.57,7628.65,9306.03,1406,1408,21.99,24,24
1386,2020-04-26 16:00:00+00:00,7508.66,122.14,7630.8,9306.03,1406,1408,21.95,22,23
2874,2020-12-30 16:00:00+00:00,27527.49,766.26,28293.75,34472.24,2895,2901,21.84,27,27
1386,2020-04-26 16:00:00+00:00,7516.19,127.67,7643.86,9306.03,1406,1408,21.75,22,22
4097,2021-07-22 12:00:00+00:00,31687.48,642.45,32329.93,39358.4,4122,4123,21.74,26,26
1931,2020-07-26 12:00:00+00:00,9783.41,101.37,9884.77,12026.41,1970,1971,21.67,40,40
3278,2021-03-08 00:00:00+00:00,49051.04,1451.7,50502.74,61432.39,3314,3319,21.64,41,41
11315,2024-11-06 12:00:00+00:00,71924.41,1338.32,73262.73,89095.4,11349,11351,21.61,36,36
1387,2020-04-26 20:00:00+00:00,7526.32,127.64,7653.96,9306.03,1406,1408,21.58,21,21
1933,2020-07-26 20:00:00+00:00,9796.81,105.68,9902.49,12026.41,1970,1971,21.45,38,39
2770,2020-12-13 08:00:00+00:00,18887.39,339.3,19226.69,23348.36,2795,2801,21.44,31,31
3281,2021-03-08 12:00:00+00:00,49132.83,1459.0,50591.83,61432.39,3314,3319,21.43,38,40
9012,2023-10-19 16:00:00+00:00,28354.78,344.72,28699.5,34841.4,9047,9053,21.4,41,43
9012,2023-10-19 16:00:00+00:00,28373.05,339.03,28712.08,34841.4,9047,9053,21.35,41,42
2912,2021-01-06 00:00:00+00:00,32736.88,1383.87,34120.75,41399.98,2926,2938,21.33,26,26
7327,2023-01-11 20:00:00+00:00,17480.87,109.23,17590.1,21337.2,7362,7368,21.3,41,41
1388,2020-04-27 00:00:00+00:00,7546.9,127.13,7674.03,9306.03,1406,1408,21.27,20,20
9012,2023-10-19 16:00:00+00:00,28391.43,342.04,28733.47,34841.4,9047,9053,21.26,41,41
4100,2021-07-23 00:00:00+00:00,31806.22,653.0,32459.23,39358.4,4122,4123,21.25,23,25
1899,2020-07-21 04:00:00+00:00,9163.22,50.44,9213.66,11165.07,1943,1948,21.18,49,73
9014,2023-10-20 00:00:00+00:00,28404.21,349.77,28753.98,34841.4,9047,9053,21.17,39,40
4100,2021-07-23 00:00:00+00:00,31856.44,638.78,32495.22,39358.4,4122,4123,21.12,23,24
3281,2021-03-08 12:00:00+00:00,49269.92,1455.05,50724.96,61432.39,3314,3319,21.11,38,39
