序号,组别,信号时间,方向,6K极值,入场基准,是否有回调突破线,回调偏移%,ATR,ATR%,突破K收盘价,入场价,初始止损,止盈目标,出场时间,出场价,持仓K数,R值,收益率%,MFE%,出场原因,同信号对方R值,年份
1,A_原策略_6K极值,2026-08-19 20:00,做多,65057.9,65057.9,是,0.0,396.31,0.609,68523.7,65057.9,64661.59,79370.64,2026-08-21 16:00,79370.64,11,36.1148,22.0,22.284,固定止盈,,2026
2,A_原策略_6K极值,2026-08-17 20:00,做多,63753.0,63753.0,否,0.0,356.63,0.559,64169.9,63753.0,63396.37,77778.66,2026-08-19 08:00,64315.38,9,1.5769,0.882,2.047,KAMA跟踪,,2026
3,A_原策略_6K极值,2026-08-17 04:00,做空,62928.5,62928.5,是,0.0,324.91,0.516,62876.0,62928.5,63253.41,55377.08,2026-08-17 08:00,63253.41,1,-1.0,-0.516,0.325,ATR止损,,2026
4,A_原策略_6K极值,2026-08-10 20:00,做空,64794.4,64794.4,是,0.0,417.42,0.644,64268.8,64794.4,65211.82,57019.07,2026-08-12 16:00,64089.11,11,1.6896,1.089,2.443,KAMA跟踪,,2026
5,A_原策略_6K极值,2026-08-09 08:00,做空,64784.3,64784.3,是,0.0,447.35,0.691,64759.0,64784.3,65231.65,57010.18,2026-08-09 20:00,65231.65,3,-1.0,-0.691,0.057,ATR止损,,2026
6,A_原策略_6K极值,2026-08-07 16:00,做多,64971.0,64971.0,是,0.0,539.87,0.831,64996.1,64971.0,64431.13,79264.62,2026-08-08 08:00,64885.5,4,-0.1584,-0.132,0.596,保本平仓,,2026
7,A_原策略_6K极值,2026-08-06 00:00,做多,64728.5,64728.5,是,0.333,593.51,0.917,64805.7,64728.5,64134.99,78968.77,2026-08-06 16:00,64728.5,4,0.0,0.0,0.453,保本平仓,,2026
8,A_原策略_6K极值,2026-08-03 12:00,做空,62745.0,62745.0,是,0.344,555.27,0.885,62591.0,62745.0,63300.27,55215.6,2026-08-03 20:00,63300.27,2,-1.0,-0.885,0.76,ATR止损,,2026
9,A_原策略_6K极值,2026-07-31 16:00,做空,63835.6,63835.6,是,0.179,660.67,1.035,63779.4,63835.6,64496.27,56175.33,2026-08-02 08:00,63165.51,10,1.0143,1.05,2.517,KAMA跟踪,,2026
10,A_原策略_6K极值,2026-07-30 16:00,做多,64715.9,64715.9,是,0.0,649.62,1.004,64766.8,64715.9,64066.28,78953.4,2026-07-31 08:00,64715.9,4,0.0,0.0,1.044,保本平仓,,2026
11,A_原策略_6K极值,2026-07-28 04:00,做空,64374.4,64374.4,是,0.36,529.13,0.822,63720.8,64374.4,64903.53,56649.47,2026-07-29 12:00,64374.4,8,0.0,0.0,2.663,保本平仓,,2026
12,A_原策略_6K极值,2026-07-27 04:00,做多,64909.0,64909.0,否,0.0,462.9,0.713,65375.1,64909.0,64446.1,79188.98,2026-07-27 20:00,64938.45,4,0.0636,0.045,1.253,KAMA跟踪,,2026
13,A_原策略_6K极值,2026-07-24 20:00,做空,64636.0,64636.0,是,0.0,597.19,0.924,64065.1,64636.0,65233.19,56879.68,2026-07-26 20:00,64558.3,12,0.1301,0.12,1.355,KAMA跟踪,,2026
14,A_原策略_6K极值,2026-07-23 12:00,做空,65505.0,65505.0,是,0.0,622.66,0.951,65405.3,65505.0,66127.66,57644.4,2026-07-24 08:00,65346.98,5,0.2538,0.241,1.327,KAMA跟踪,,2026
15,A_原策略_6K极值,2026-07-20 20:00,做多,65084.6,65084.6,是,0.0,615.13,0.945,65570.1,65084.6,64469.47,79403.21,2026-07-22 20:00,65611.39,12,0.8564,0.809,2.826,KAMA跟踪,,2026
16,A_原策略_6K极值,2026-07-20 12:00,做空,64259.5,64259.5,是,0.0,557.36,0.867,64250.0,64259.5,64816.86,56548.36,2026-07-20 16:00,64816.86,1,-1.0,-0.867,0.625,ATR止损,,2026
17,A_原策略_6K极值,2026-07-19 00:00,做多,64356.7,64356.7,是,0.0,620.3,0.964,64526.3,64356.7,63736.4,78515.17,2026-07-19 20:00,64376.34,5,0.0317,0.031,0.92,KAMA跟踪,,2026
18,A_原策略_6K极值,2026-07-16 12:00,做空,64362.2,64362.2,是,0.138,681.15,1.058,64200.0,64362.2,65043.35,56638.74,2026-07-18 00:00,63824.06,9,0.79,0.836,2.885,KAMA跟踪,,2026
19,A_原策略_6K极值,2026-07-15 04:00,做多,64950.0,64950.0,否,0.0,709.04,1.092,65014.7,64950.0,64240.96,79239.0,2026-07-15 20:00,64707.4,4,-0.3422,-0.374,0.985,保本平仓,,2026
20,A_原策略_6K极值,2026-07-13 08:00,做空,63602.8,63602.8,是,0.0,625.17,0.983,62780.2,63602.8,64227.97,55970.46,2026-07-14 20:00,62900.63,9,1.1232,1.104,2.825,KAMA跟踪,,2026
21,A_原策略_6K极值,2026-07-10 16:00,做多,64185.0,64185.0,否,0.0,814.16,1.268,64394.2,64185.0,63370.84,78305.7,2026-07-11 08:00,64129.5,4,-0.0682,-0.086,0.771,保本平仓,,2026
22,A_原策略_6K极值,2026-07-09 12:00,做多,62921.8,62921.8,是,0.0,830.8,1.32,62973.7,62921.8,62091.0,76764.6,2026-07-10 08:00,62921.8,5,0.0,0.0,1.749,保本平仓,,2026
23,A_原策略_6K极值,2026-07-08 16:00,做空,62434.9,62434.9,是,0.325,833.66,1.335,62270.0,62434.9,63268.56,54942.71,2026-07-09 08:00,62434.9,4,0.0,0.0,1.465,保本平仓,,2026
24,A_原策略_6K极值,2026-07-07 04:00,做多,63990.7,63990.7,是,0.0,794.37,1.241,64023.6,63990.7,63196.33,78068.65,2026-07-07 08:00,63196.33,1,-1.0,-1.241,0.48,ATR止损,,2026
25,A_原策略_6K极值,2026-07-06 04:00,做多,63430.0,63430.0,是,0.0,698.83,1.102,63617.1,63430.0,62731.17,77384.6,2026-07-06 16:00,62731.17,3,-1.0,-1.102,0.741,ATR止损,,2026
26,A_原策略_6K极值,2026-07-01 20:00,做多,59444.5,59444.5,是,0.303,862.07,1.45,60118.5,59444.5,58582.43,72522.29,2026-07-05 08:00,62594.59,21,3.6541,5.299,6.738,KAMA跟踪,,2026
27,A_原策略_6K极值,2026-06-30 20:00,做空,58988.0,58988.0,是,0.0,861.88,1.461,58356.2,58988.0,59849.88,51909.44,2026-07-01 12:00,59169.7,4,-0.2108,-0.308,2.084,保本平仓,,2026
28,A_原策略_6K极值,2026-06-29 00:00,做空,59714.8,59714.8,是,0.0,892.71,1.495,59451.4,59714.8,60607.51,52549.02,2026-06-29 16:00,59998.9,4,-0.3182,-0.476,1.448,保本平仓,,2026
29,A_原策略_6K极值,2026-06-27 20:00,做多,60580.0,60580.0,是,0.0,1021.14,1.686,60817.2,60580.0,59558.86,73907.6,2026-06-28 12:00,60169.5,4,-0.402,-0.678,0.446,KAMA跟踪,,2026
30,A_原策略_6K极值,2026-06-24 20:00,做空,61916.9,61916.9,是,0.0,775.53,1.253,60254.9,61916.9,62692.43,54486.87,2026-06-25 12:00,61592.38,4,0.4184,0.524,4.614,KAMA跟踪,,2026
31,A_原策略_6K极值,2026-06-23 12:00,做空,63758.3,63758.3,是,0.118,746.67,1.171,62849.2,63758.3,64504.97,56107.3,2026-06-24 16:00,63194.02,7,0.7557,0.885,2.962,KAMA跟踪,,2026
32,A_原策略_6K极值,2026-06-22 20:00,做多,64788.0,64788.0,是,0.696,749.87,1.157,64808.0,64788.0,64038.13,79041.36,2026-06-23 04:00,64038.13,2,-1.0,-1.157,0.073,ATR止损,,2026
33,A_原策略_6K极值,2026-06-22 04:00,做空,63820.0,63820.0,是,0.0,706.33,1.107,63287.1,63820.0,64526.33,56161.6,2026-06-22 08:00,64526.33,1,-1.0,-1.107,0.836,ATR止损,,2026
34,A_原策略_6K极值,2026-06-20 20:00,做多,63894.0,63894.0,否,0.0,802.08,1.255,64139.5,63894.0,63091.92,77950.68,2026-06-21 16:00,63979.14,5,0.1061,0.133,1.055,KAMA跟踪,,2026
35,A_原策略_6K极值,2026-06-18 20:00,做空,63660.1,63660.1,否,0.0,876.51,1.377,62337.8,63660.1,64536.61,56020.89,2026-06-20 08:00,63660.1,9,0.0,0.0,2.235,保本平仓,,2026
36,A_原策略_6K极值,2026-06-17 16:00,做空,65200.0,65200.0,是,0.198,804.47,1.234,64774.5,65200.0,66004.47,57376.0,2026-06-18 00:00,66004.47,2,-1.0,-1.234,1.817,ATR止损,,2026
37,A_原策略_6K极值,2026-06-15 08:00,做多,65775.0,65775.0,是,1.661,830.88,1.263,65894.7,65775.0,64944.12,80245.5,2026-06-16 08:00,65775.0,6,0.0,0.0,2.251,保本平仓,,2026
38,A_原策略_6K极值,2026-06-15 00:00,做空,63830.0,63830.0,是,0.052,781.02,1.224,63777.3,63830.0,64611.02,56170.4,2026-06-15 04:00,64611.02,1,-1.0,-1.224,0.107,ATR止损,,2026
39,A_原策略_6K极值,2026-06-14 04:00,做多,64323.0,64323.0,否,0.0,873.89,1.359,64418.2,64323.0,63449.11,78474.06,2026-06-14 20:00,64323.0,4,0.0,0.0,0.558,保本平仓,,2026
40,A_原策略_6K极值,2026-06-11 16:00,做多,62993.4,62993.4,是,0.243,1153.42,1.831,63078.0,62993.4,61839.98,76851.95,2026-06-12 12:00,62993.4,5,0.0,0.0,1.463,保本平仓,,2026
41,A_原策略_6K极值,2026-06-09 20:00,做空,62381.2,62381.2,是,0.444,1203.28,1.929,61100.7,62381.2,63584.48,54895.46,2026-06-10 20:00,62137.32,6,0.2027,0.391,2.708,KAMA跟踪,,2026
42,A_原策略_6K极值,2026-06-07 16:00,做多,62380.0,62380.0,是,1.451,1317.41,2.112,62598.8,62380.0,61062.59,76103.6,2026-06-08 12:00,62380.0,5,0.0,0.0,2.998,保本平仓,,2026
43,A_原策略_6K极值,2026-06-04 04:00,做空,65199.0,65199.0,是,0.246,1069.29,1.64,64117.7,65199.0,66268.29,57375.12,2026-06-07 12:00,61889.77,20,3.0948,5.076,9.385,KAMA跟踪,,2026
44,A_原策略_6K极值,2026-06-01 12:00,做空,73171.0,73171.0,否,0.0,673.03,0.92,72776.1,73171.0,73844.03,64390.48,2026-06-03 12:00,67343.88,12,8.658,7.964,10.676,KAMA跟踪,,2026
45,A_原策略_6K极值,2026-05-27 00:00,做空,76234.7,76234.7,是,0.261,796.61,1.045,76028.3,76234.7,77031.31,67086.54,2026-05-29 04:00,73833.6,13,3.0141,3.15,4.825,KAMA跟踪,,2026
46,A_原策略_6K极值,2026-05-24 04:00,做多,76054.1,76054.1,是,0.0,770.65,1.013,76715.2,76054.1,75283.45,92786.0,2026-05-26 08:00,76624.03,13,0.7395,0.749,2.411,KAMA跟踪,,2026
47,A_原策略_6K极值,2026-05-23 00:00,做空,76528.0,76528.0,是,0.578,720.01,0.941,75827.1,76528.0,77248.01,67344.64,2026-05-24 00:00,75808.08,6,0.9999,0.941,3.037,KAMA跟踪,,2026
48,A_原策略_6K极值,2026-05-21 08:00,做多,77825.8,77825.8,是,0.0,739.59,0.95,78039.1,77825.8,77086.21,94947.48,2026-05-21 20:00,77086.21,3,-1.0,-0.95,0.455,ATR止损,,2026
49,A_原策略_6K极值,2026-05-18 04:00,做空,77675.4,77675.4,是,0.0,720.81,0.928,77430.4,77675.4,78396.21,68354.35,2026-05-18 20:00,77675.4,4,0.0,0.0,2.139,保本平仓,,2026
50,A_原策略_6K极值,2026-05-15 20:00,做空,79196.4,79196.4,是,0.0,842.53,1.064,79118.0,79196.4,80038.93,69692.83,2026-05-17 12:00,78229.76,10,1.1473,1.221,2.013,KAMA跟踪,,2026
51,A_原策略_6K极值,2026-05-14 20:00,做多,80558.0,80558.0,是,0.0,811.4,1.007,81245.5,80558.0,79746.6,98280.76,2026-05-15 12:00,80558.0,4,0.0,0.0,1.789,保本平仓,,2026
52,A_原策略_6K极值,2026-05-13 20:00,做空,79801.0,79801.0,是,0.0,755.04,0.946,78794.7,79801.0,80556.04,70224.88,2026-05-14 12:00,79801.0,4,0.0,0.0,1.362,保本平仓,,2026
53,A_原策略_6K极值,2026-05-12 20:00,做空,80394.0,80394.0,是,0.0,761.87,0.948,80301.6,80394.0,81155.87,70746.72,2026-05-13 08:00,81155.87,3,-1.0,-0.948,0.738,ATR止损,,2026
54,A_原策略_6K极值,2026-05-10 20:00,做多,81043.2,81043.2,是,0.0,674.51,0.832,81381.4,81043.2,80368.69,98872.7,2026-05-11 04:00,80368.69,2,-1.0,-0.832,1.749,ATR止损,,2026
55,A_原策略_6K极值,2026-05-10 00:00,做多,80641.8,80641.8,是,0.0,771.69,0.957,80896.9,80641.8,79870.11,98383.0,2026-05-10 16:00,80641.8,4,0.0,0.0,0.369,保本平仓,,2026
56,A_原策略_6K极值,2026-05-07 20:00,做空,80521.8,80521.8,否,0.0,902.12,1.12,79861.6,80521.8,81423.92,70859.18,2026-05-08 16:00,80284.83,5,0.2627,0.294,1.719,KAMA跟踪,,2026
57,A_原策略_6K极值,2026-05-06 16:00,做多,81745.4,81745.4,是,0.0,857.25,1.049,82485.4,81745.4,80888.15,99729.39,2026-05-07 08:00,81390.0,4,-0.4146,-0.435,0.934,保本平仓,,2026
58,A_原策略_6K极值,2026-05-05 08:00,做多,80771.7,80771.7,是,0.225,876.52,1.085,80836.9,80771.7,79895.18,98541.47,2026-05-06 04:00,80771.7,5,0.0,0.0,1.205,保本平仓,,2026
59,A_原策略_6K极值,2026-05-04 08:00,做多,79428.9,79428.9,否,0.0,660.24,0.831,80278.7,79428.9,78768.66,96903.26,2026-05-04 16:00,78768.66,2,-1.0,-0.831,1.462,ATR止损,,2026
60,A_原策略_6K极值,2026-05-03 04:00,做多,78565.9,78565.9,是,0.079,699.65,0.891,78652.9,78565.9,77866.25,95850.4,2026-05-03 20:00,78565.9,4,0.0,0.0,0.362,保本平仓,,2026
61,A_原策略_6K极值,2026-05-01 08:00,做多,76630.3,76630.3,是,0.242,797.56,1.041,77082.6,76630.3,75832.74,93488.97,2026-05-02 04:00,77743.03,5,1.3952,1.452,2.936,KAMA跟踪,,2026
62,A_原策略_6K极值,2026-04-30 00:00,做空,75675.2,75675.2,是,0.218,852.92,1.127,75518.5,75675.2,76528.12,66594.18,2026-04-30 16:00,76129.9,4,-0.5331,-0.601,0.531,保本平仓,,2026
63,A_原策略_6K极值,2026-04-29 16:00,做多,77432.1,77432.1,是,0.615,790.19,1.02,77552.5,77432.1,76641.91,94467.16,2026-04-29 20:00,76641.91,1,-1.0,-1.02,0.17,ATR止损,,2026
64,A_原策略_6K极值,2026-04-27 20:00,做空,77408.6,77408.6,是,0.396,819.47,1.059,76760.0,77408.6,78228.07,68119.57,2026-04-29 08:00,77058.09,9,0.4277,0.453,2.29,KAMA跟踪,,2026
65,A_原策略_6K极值,2026-04-27 08:00,做多,78994.8,78994.8,否,0.0,774.5,0.98,79065.1,78994.8,78220.3,96373.66,2026-04-27 12:00,78220.3,1,-1.0,-0.98,0.169,ATR止损,,2026
66,A_原策略_6K极值,2026-04-26 12:00,做多,77847.0,77847.0,是,0.0,796.7,1.023,78061.5,77847.0,77050.3,94973.34,2026-04-27 04:00,77847.0,4,0.0,0.0,1.474,保本平仓,,2026
67,A_原策略_6K极值,2026-04-22 08:00,做多,76999.0,76999.0,是,0.0,1016.41,1.32,77488.3,76999.0,75982.59,93938.78,2026-04-23 16:00,76999.0,8,0.0,0.0,3.175,保本平仓,,2026
68,A_原策略_6K极值,2026-04-22 00:00,做空,75242.5,75242.5,是,0.0,973.18,1.293,74988.6,75242.5,76215.68,66213.4,2026-04-22 04:00,76215.68,1,-1.0,-1.293,0.399,ATR止损,,2026
69,A_原策略_6K极值,2026-04-21 00:00,做多,75817.7,75817.7,是,0.0,969.82,1.279,76252.5,75817.7,74847.88,92497.59,2026-04-21 20:00,75817.7,5,0.0,0.0,1.558,保本平仓,,2026
70,A_原策略_6K极值,2026-04-20 04:00,做空,74550.0,74550.0,是,0.368,924.35,1.24,73758.4,74550.0,75474.35,65604.0,2026-04-20 12:00,75474.35,2,-1.0,-1.24,1.182,ATR止损,,2026
71,A_原策略_6K极值,2026-04-19 00:00,做空,75710.6,75710.6,否,0.0,985.14,1.301,75604.2,75710.6,76695.74,66625.33,2026-04-19 16:00,75554.2,4,0.1588,0.207,1.171,KAMA跟踪,,2026
72,A_原策略_6K极值,2026-04-17 16:00,做多,75500.0,75500.0,是,0.0,950.91,1.259,75542.2,75500.0,74549.09,92110.0,2026-04-18 16:00,75735.56,6,0.2477,0.312,3.709,KAMA跟踪,,2026
73,A_原策略_6K极值,2026-04-15 12:00,做空,73766.8,73766.8,是,0.468,973.77,1.32,73705.1,73766.8,74740.57,64914.78,2026-04-16 00:00,74740.57,3,-1.0,-1.32,0.307,ATR止损,,2026
74,A_原策略_6K极值,2026-04-14 00:00,做多,72431.0,72431.0,是,1.39,863.73,1.192,73272.2,72431.0,71567.27,88365.82,2026-04-15 00:00,73994.79,6,1.8105,2.159,4.94,KAMA跟踪,,2026
75,A_原策略_6K极值,2026-04-12 20:00,做空,71259.0,71259.0,是,1.674,884.03,1.241,70856.2,71259.0,72143.03,62707.92,2026-04-13 20:00,71259.0,6,0.0,0.0,1.124,保本平仓,,2026
76,A_原策略_6K极值,2026-04-08 04:00,做多,69940.0,69940.0,是,0.0,862.05,1.233,71890.2,69940.0,69077.95,85326.8,2026-04-12 08:00,72133.82,25,2.5449,3.137,5.481,KAMA跟踪,,2026
77,A_原策略_6K极值,2026-04-06 04:00,做多,67828.6,67828.6,是,0.554,712.74,1.051,68997.9,67828.6,67115.86,82750.89,2026-04-07 04:00,69017.45,6,1.668,1.753,3.692,KAMA跟踪,,2026
78,A_原策略_6K极值,2026-04-04 20:00,做多,67350.0,67350.0,是,0.0,811.24,1.205,67357.3,67350.0,66538.76,82167.0,2026-04-05 12:00,67113.4,4,-0.2917,-0.351,0.258,保本平仓,,2026
79,A_原策略_6K极值,2026-04-02 08:00,做空,67534.9,67534.9,是,0.0,1015.38,1.503,66538.4,67534.9,68550.28,59430.71,2026-04-03 00:00,67285.6,4,0.2455,0.369,2.752,KAMA跟踪,,2026
80,A_原策略_6K极值,2026-04-01 12:00,做多,68600.0,68600.0,是,1.07,1041.53,1.518,68651.9,68600.0,67558.47,83692.0,2026-04-02 04:00,68143.7,4,-0.4381,-0.665,0.791,保本平仓,,2026
81,A_原策略_6K极值,2026-03-30 12:00,做多,67487.7,67487.7,是,0.742,972.18,1.441,67595.9,67487.7,66515.52,82334.99,2026-03-31 00:00,66515.52,3,-1.0,-1.441,0.979,ATR止损,,2026
82,A_原策略_6K极值,2026-03-30 04:00,做空,66111.0,66111.0,是,0.185,883.82,1.337,65977.9,66111.0,66994.82,58177.68,2026-03-30 08:00,66994.82,1,-1.0,-1.337,0.54,ATR止损,,2026
83,A_原策略_6K极值,2026-03-26 12:00,做空,70531.4,70531.4,是,0.0,1115.37,1.581,70053.8,70531.4,71646.77,62067.63,2026-03-28 20:00,66635.38,14,3.493,5.524,7.132,KAMA跟踪,,2026
84,A_原策略_6K极值,2026-03-25 16:00,做多,71339.8,71339.8,是,0.0,1121.69,1.572,71650.3,71339.8,70218.11,87034.56,2026-03-26 08:00,71297.5,4,-0.0377,-0.059,0.832,保本平仓,,2026
85,A_原策略_6K极值,2026-03-25 00:00,做空,69467.8,69467.8,是,0.911,1155.5,1.663,69342.6,69467.8,70623.3,61131.66,2026-03-25 04:00,70623.3,1,-1.0,-1.663,0.302,ATR止损,,2026
86,A_原策略_6K极值,2026-03-22 04:00,做空,69701.3,69701.3,是,0.0,961.56,1.38,68881.5,69701.3,70662.86,61337.14,2026-03-23 16:00,69023.47,9,0.7049,0.972,3.445,KAMA跟踪,,2026
87,A_原策略_6K极值,2026-03-18 16:00,做空,73330.3,73330.3,是,0.0,1086.24,1.481,72906.4,73330.3,74416.54,64530.66,2026-03-20 08:00,70564.92,10,2.5458,3.771,6.246,KAMA跟踪,,2026
88,A_原策略_6K极值,2026-03-15 08:00,做多,71272.3,71272.3,是,0.0,1044.24,1.465,71314.8,71272.3,70228.06,86952.21,2026-03-17 16:00,73645.19,14,2.2724,3.329,6.632,KAMA跟踪,,2026
89,A_原策略_6K极值,2026-03-13 08:00,做多,70756.5,70756.5,是,0.0,1183.98,1.673,71366.3,70756.5,69572.52,86322.93,2026-03-14 04:00,70756.5,5,0.0,0.0,4.4,保本平仓,,2026
90,A_原策略_6K极值,2026-03-11 16:00,做空,69184.8,69184.8,是,0.0,1271.18,1.837,69144.0,69184.8,70455.98,60882.62,2026-03-11 20:00,70455.98,1,-1.0,-1.837,0.364,ATR止损,,2026
91,A_原策略_6K极值,2026-03-09 20:00,做多,68441.5,68441.5,是,1.196,1206.74,1.763,68832.3,68441.5,67234.76,83498.63,2026-03-11 12:00,69337.05,10,0.7421,1.308,4.831,KAMA跟踪,,2026
92,A_原策略_6K极值,2026-03-09 04:00,做空,66508.0,66508.0,是,0.0,1135.97,1.708,65934.3,66508.0,67643.97,58527.04,2026-03-09 08:00,67643.97,1,-1.0,-1.708,1.109,ATR止损,,2026
93,A_原策略_6K极值,2026-03-06 20:00,做空,70100.0,70100.0,否,0.0,1448.86,2.067,68468.4,70100.0,71548.86,61688.0,2026-03-08 12:00,67383.78,10,1.8747,3.875,5.124,KAMA跟踪,,2026
94,A_原策略_6K极值,2026-03-04 12:00,做多,68972.9,68972.9,是,0.596,1448.26,2.1,69464.5,68972.9,67524.64,84146.94,2026-03-06 08:00,70484.54,11,1.0438,2.192,7.356,KAMA跟踪,,2026
95,A_原策略_6K极值,2026-03-02 20:00,做多,67333.0,67333.0,是,0.0,1326.52,1.97,69089.1,67333.0,66006.48,82146.26,2026-03-03 16:00,67333.0,5,0.0,0.0,4.109,保本平仓,,2026
96,A_原策略_6K极值,2026-03-01 00:00,做多,66095.2,66095.2,是,0.0,1226.08,1.855,66318.1,66095.2,64869.12,80636.14,2026-03-02 00:00,66095.2,6,0.0,0.0,3.168,保本平仓,,2026
97,A_原策略_6K极值,2026-02-27 16:00,做空,66462.0,66462.0,是,0.0,1173.66,1.766,66094.1,66462.0,67635.66,58486.56,2026-02-28 20:00,65241.82,7,1.0396,1.836,5.24,KAMA跟踪,,2026
98,A_原策略_6K极值,2026-02-25 20:00,做多,66283.1,66283.1,是,0.0,1079.67,1.629,67362.3,66283.1,65203.43,80865.38,2026-02-26 20:00,66980.87,6,0.6463,1.053,5.606,KAMA跟踪,,2026
99,A_原策略_6K极值,2026-02-22 20:00,做空,67763.7,67763.7,是,0.0,863.73,1.275,67659.9,67763.7,68627.43,59632.06,2026-02-25 08:00,64958.26,15,3.2481,4.14,7.913,KAMA跟踪,,2026
100,A_原策略_6K极值,2026-02-21 20:00,做多,68280.0,68280.0,是,0.088,987.1,1.446,68571.5,68280.0,67292.9,83301.6,2026-02-22 12:00,68010.5,4,-0.273,-0.395,0.516,保本平仓,,2026
101,A_原策略_6K极值,2026-02-20 08:00,做多,67299.4,67299.4,是,0.0,1092.61,1.624,67327.2,67299.4,66206.79,82105.27,2026-02-21 00:00,67547.6,4,0.2272,0.369,1.463,KAMA跟踪,,2026
102,A_原策略_6K极值,2026-02-19 00:00,做空,66666.2,66666.2,是,0.237,1181.61,1.772,66138.2,66666.2,67847.81,58666.26,2026-02-19 16:00,67180.4,4,-0.4352,-0.771,1.01,保本平仓,,2026
103,A_原策略_6K极值,2026-02-16 20:00,做空,68029.6,68029.6,是,0.0,1179.55,1.734,67505.5,68029.6,69209.15,59866.05,2026-02-17 08:00,69209.15,3,-1.0,-1.734,0.815,ATR止损,,2026
104,A_原策略_6K极值,2026-02-16 00:00,做空,68741.4,68741.4,是,0.685,1273.81,1.853,68263.6,68741.4,70015.21,60492.43,2026-02-16 16:00,68741.4,4,0.0,0.0,0.933,保本平仓,,2026
105,A_原策略_6K极值,2026-02-13 20:00,做多,68385.0,68385.0,是,0.0,1534.76,2.244,68652.0,68385.0,66850.24,83429.7,2026-02-15 20:00,69613.03,12,0.8001,1.796,3.734,KAMA跟踪,,2026
106,A_原策略_6K极值,2026-02-13 00:00,做空,65834.5,65834.5,是,0.0,1635.49,2.484,65760.7,65834.5,67469.99,57934.36,2026-02-13 16:00,66183.3,4,-0.2133,-0.53,0.998,保本平仓,,2026
107,A_原策略_6K极值,2026-02-11 12:00,做空,67883.0,67883.0,是,0.0,1695.19,2.497,67000.0,67883.0,69578.19,59737.04,2026-02-12 04:00,67651.73,4,0.1364,0.341,3.189,KAMA跟踪,,2026
108,A_原策略_6K极值,2026-02-08 16:00,做多,70000.0,70000.0,是,0.0,2088.04,2.983,70954.0,70000.0,67911.96,85400.0,2026-02-09 16:00,70000.0,6,0.0,0.0,3.286,保本平仓,,2026
109,A_原策略_6K极值,2026-02-07 00:00,做多,69157.9,69157.9,是,0.709,2344.64,3.39,70675.5,69157.9,66813.26,84372.64,2026-02-07 16:00,68050.5,4,-0.4723,-1.601,3.697,保本平仓,,2026
110,A_原策略_6K极值,2026-02-06 00:00,做空,66666.0,66666.0,否,0.0,1918.14,2.877,65237.4,66666.0,68584.14,58666.08,2026-02-06 16:00,65340.71,4,0.6909,1.988,10.299,KAMA跟踪,,2026
111,A_原策略_6K极值,2026-02-04 00:00,做空,77000.5,77000.5,是,0.735,1582.76,2.056,74893.8,77000.5,78583.26,67760.44,2026-02-05 20:00,67760.44,11,5.838,12.0,13.421,固定止盈,,2026
112,A_原策略_6K极值,2026-01-31 20:00,做空,81832.0,81832.0,是,0.0,1285.88,1.571,81268.6,81832.0,83117.88,72012.16,2026-02-02 20:00,77985.09,12,2.9917,4.701,8.893,KAMA跟踪,,2026
113,A_原策略_6K极值,2026-01-29 08:00,做空,88786.0,88786.0,是,0.0,1027.14,1.157,88003.2,88786.0,89813.14,78131.68,2026-01-31 00:00,83974.14,10,4.6847,5.42,8.769,KAMA跟踪,,2026
114,A_原策略_6K极值,2026-01-28 04:00,做多,88983.3,88983.3,是,0.0,979.42,1.101,89197.8,88983.3,88003.88,108559.63,2026-01-28 20:00,88983.3,4,0.0,0.0,1.642,保本平仓,,2026
115,A_原策略_6K极值,2026-01-25 08:00,做空,89116.9,89116.9,是,0.299,890.82,1.0,88920.0,89116.9,90007.72,78422.87,2026-01-26 08:00,87498.98,6,1.8162,1.816,3.473,KAMA跟踪,,2026
116,A_原策略_6K极值,2026-01-19 04:00,做空,94819.5,94819.5,是,0.0,770.59,0.813,93614.0,94819.5,95590.09,83441.16,2026-01-21 20:00,89741.66,16,6.5896,5.355,7.417,KAMA跟踪,,2026
117,A_原策略_6K极值,2026-01-16 20:00,做空,95080.0,95080.0,是,0.0,1072.79,1.128,94537.5,95080.0,96152.79,83670.4,2026-01-17 12:00,95324.1,4,-0.2275,-0.257,0.658,保本平仓,,2026
118,A_原策略_6K极值,2026-01-13 20:00,做多,92676.6,92676.6,是,0.407,897.07,0.968,93407.9,92676.6,91779.53,113065.45,2026-01-15 20:00,95879.35,12,3.5702,3.456,5.671,KAMA跟踪,,2026
119,A_原策略_6K极值,2026-01-11 20:00,做多,90818.0,90818.0,是,0.065,786.51,0.866,90834.1,90818.0,90031.49,110797.96,2026-01-12 16:00,91327.58,5,0.6479,0.561,1.839,KAMA跟踪,,2026
120,A_原策略_6K极值,2026-01-08 12:00,做空,90555.1,90555.1,否,0.0,1016.58,1.123,90509.9,90555.1,91571.68,79688.49,2026-01-09 04:00,90890.9,4,-0.3303,-0.371,1.45,保本平仓,,2026
121,A_原策略_6K极值,2026-01-04 04:00,做多,90456.0,90456.0,是,0.0,800.25,0.885,90595.8,90456.0,89655.75,110356.32,2026-01-07 00:00,93197.91,17,3.4263,3.031,4.758,KAMA跟踪,,2026
