止盈配置,信号时间,年份,月份,方向,突破基准价,回调高点价,回调高点时间,是否有回调高点,回调偏移(%),信号K收盘价,ATR,ATR%,初始止损价,止盈目标价,日线EMA70,偏离度_突破K(%),偏离度_前一K(%),出场时间,出场价,出场原因,涨跌幅_回调高点(%),涨跌幅_突破线(%),R值,MFE_回调高点(%),MFE_突破线(%),MFE的R值,MFE是否≥10%(回调高点),MFE是否≥10%(突破线),MFE是否≥8%(回调高点),持仓K线数,持仓小时
纯KAMA,2019-09-10 20:00,2019,9,做空,10183.31,10183.31,2019-09-10 00:00,是,0.0,10179.1,276.37,2.71,10459.68,,10381.16,-1.95,-1.22,2019-09-12 00:00,10120.92,KAMA跟踪止盈,0.61,0.61,0.23,2.94,2.94,1.08,否,否,否,7,28
纯KAMA,2019-09-12 20:00,2019,9,做多,10205.46,10205.46,2019-09-12 08:00,是,0.0,10326.58,219.29,2.15,9986.17,,10376.05,-0.48,-1.98,2019-09-14 00:00,10218.17,KAMA跟踪止盈,0.12,0.12,0.06,2.4,2.4,1.12,否,否,否,7,28
纯KAMA,2019-09-14 20:00,2019,9,做多,10355.85,10353.72,2019-09-14 08:00,是,0.02,10358.0,169.99,1.64,10185.86,,10373.86,-0.15,-0.79,2019-09-15 08:00,10185.86,ATR止损,-1.62,-1.64,-1.0,0.64,0.62,0.38,否,否,否,3,12
纯KAMA,2019-09-16 20:00,2019,9,做空,10252.28,10265.32,2019-09-16 04:00,是,0.13,10120.07,130.52,1.27,10382.8,,10368.39,-2.39,-0.83,2019-09-17 12:00,10192.16,KAMA跟踪止盈,0.71,0.59,0.46,1.8,1.67,1.31,否,否,否,4,16
纯KAMA,2019-09-19 08:00,2019,9,做空,10097.92,10097.92,2019-09-18 20:00,是,0.0,9821.97,106.74,1.06,10204.66,,10354.25,-5.14,-1.95,2019-09-20 00:00,10008.77,KAMA跟踪止盈,0.88,0.88,0.84,3.14,3.14,2.97,否,否,否,4,16
纯KAMA,2019-09-20 04:00,2019,9,做多,10211.9,9916.0,2019-09-19 12:00,是,2.9,10245.3,132.5,1.3,10079.4,,10354.25,-1.05,-2.58,2019-09-20 20:00,10211.9,保本平仓,2.98,0.0,0.0,3.66,0.66,0.51,否,否,否,4,16
纯KAMA,2019-09-22 08:00,2019,9,做空,9912.63,9912.63,2019-09-21 20:00,是,0.0,9872.07,122.64,1.24,10035.27,,10329.77,-4.43,-3.44,2019-09-22 12:00,10035.27,ATR止损,-1.24,-1.24,-1.0,0.56,0.56,0.45,否,否,否,1,4
纯KAMA,2019-09-23 20:00,2019,9,做空,9878.51,9949.2,2019-09-23 00:00,是,0.72,9867.06,117.27,1.19,9995.78,,10312.08,-4.32,-3.85,2019-09-26 04:00,8435.33,KAMA跟踪止盈,15.22,14.61,12.31,18.21,17.63,14.85,是,是,是,14,56
纯KAMA,2019-09-26 20:00,2019,9,做空,8223.71,8316.61,2019-09-26 08:00,是,1.13,7921.82,200.85,2.44,8424.56,,10152.79,-21.97,-17.39,2019-09-28 04:00,8202.83,KAMA跟踪止盈,1.37,0.25,0.1,7.41,6.36,2.6,否,否,否,8,32
纯KAMA,2019-09-29 20:00,2019,9,做空,8001.14,8038.28,2019-09-29 00:00,是,0.46,7965.7,183.36,2.29,8184.5,,9987.17,-20.24,-19.17,2019-09-30 16:00,8001.14,保本平仓,0.46,0.0,0.0,4.1,3.65,1.59,否,否,否,5,20
纯KAMA,2019-09-30 20:00,2019,9,做多,8127.06,8127.06,2019-09-30 04:00,是,0.0,8280.0,188.79,2.32,7938.27,,9939.24,-16.69,-19.16,2019-10-02 08:00,8220.92,KAMA跟踪止盈,1.15,1.15,0.5,4.58,4.58,1.97,否,否,否,9,36
纯KAMA,2019-10-02 12:00,2019,10,做空,8201.0,8201.0,2019-10-02 12:00,否,0.0,8194.52,185.67,2.26,8386.67,,9849.39,-16.8,-16.35,2019-10-03 04:00,8201.0,保本平仓,0.0,0.0,0.0,0.29,0.29,0.13,否,否,否,4,16
纯KAMA,2019-10-03 20:00,2019,10,做空,8177.29,8209.18,2019-10-03 04:00,是,0.39,8104.71,158.92,1.94,8336.21,,9803.5,-17.33,-16.2,2019-10-04 20:00,8177.29,保本平仓,0.39,0.0,0.0,2.79,2.41,1.24,否,否,否,6,24
纯KAMA,2019-10-05 16:00,2019,10,做空,8080.81,8117.04,2019-10-04 20:00,是,0.45,8077.76,136.39,1.69,8217.2,,9710.34,-16.81,-16.53,2019-10-06 08:00,8080.81,保本平仓,0.45,0.0,0.0,1.33,0.89,0.53,否,否,否,4,16
纯KAMA,2019-10-06 12:00,2019,10,做空,8009.0,8010.0,2019-10-05 20:00,是,0.01,7958.19,126.21,1.58,8135.21,,9658.01,-17.6,-16.76,2019-10-07 16:00,7991.23,KAMA跟踪止盈,0.23,0.22,0.14,3.12,3.11,1.97,否,否,否,7,28
纯KAMA,2019-10-09 20:00,2019,10,做多,8242.52,8206.0,2019-10-09 04:00,是,0.44,8550.09,128.28,1.56,8114.24,,9547.14,-10.44,-14.29,2019-10-10 20:00,8424.97,KAMA跟踪止盈,2.67,2.21,1.42,5.59,5.13,3.29,否,否,否,6,24
纯KAMA,2019-10-11 12:00,2019,10,做空,8419.34,8419.34,2019-10-10 20:00,是,0.0,8385.26,134.46,1.6,8553.8,,9483.62,-11.58,-9.83,2019-10-12 20:00,8368.6,KAMA跟踪止盈,0.6,0.6,0.38,2.49,2.49,1.56,否,否,否,8,32
纯KAMA,2019-10-13 20:00,2019,10,做多,8397.45,8395.0,2019-10-13 00:00,是,0.03,8401.39,116.32,1.39,8281.13,,9417.17,-10.79,-11.38,2019-10-14 04:00,8281.13,ATR止损,-1.36,-1.39,-1.0,0.73,0.7,0.5,否,否,否,2,8
纯KAMA,2019-10-16 00:00,2019,10,做空,8205.02,8251.16,2019-10-15 04:00,是,0.56,8177.46,107.7,1.31,8312.72,,9352.43,-12.56,-11.08,2019-10-17 16:00,8031.09,KAMA跟踪止盈,2.67,2.12,1.61,4.25,3.71,2.83,否,否,否,10,40
纯KAMA,2019-10-18 12:00,2019,10,做空,7930.0,8015.23,2019-10-17 20:00,是,1.07,7909.6,97.74,1.23,8027.74,,9241.44,-14.41,-12.73,2019-10-19 04:00,7930.0,保本平仓,1.06,0.0,0.0,2.54,1.49,1.21,否,否,否,4,16
纯KAMA,2019-10-21 00:00,2019,10,做多,8041.19,7980.04,2019-10-20 04:00,是,0.76,8229.17,97.57,1.21,7943.62,,9177.19,-10.33,-12.58,2019-10-22 20:00,8186.34,KAMA跟踪止盈,2.59,1.81,1.49,4.44,3.65,3.01,否,否,否,11,44
纯KAMA,2019-10-23 04:00,2019,10,做空,8160.0,8164.78,2019-10-22 08:00,是,0.06,8020.89,92.66,1.14,8252.66,,9117.91,-12.03,-10.42,2019-10-25 12:00,7458.96,KAMA跟踪止盈,8.64,8.59,7.57,12.15,12.1,10.65,是,是,是,14,56
纯KAMA,2019-10-25 16:00,2019,10,做多,7495.81,7468.27,2019-10-25 04:00,是,0.37,7575.06,111.27,1.48,7384.54,,9014.04,-15.96,-17.25,2019-10-26 16:00,9046.35,KAMA跟踪止盈,21.13,20.69,13.93,39.37,38.86,26.18,是,是,是,6,24
